"rank","company","industry","temkin experience rating (ter)","company ter vs industry ter"
"1","sam's club","retailer","85%","13.0"
"2","publix","grocery chain","81%","4.9"
"3","a credit union","bank","80%","14.5"
"3","chick-fil-a","fast food chain","80%","6.2"
"3","subway","fast food chain","80%","6.4"
"3","starbucks","fast food chain","80%","6.5"
"3","h.e.b.","grocery chain","80%","3.6"
"3","winn-dixie","grocery chain","80%","3.6"
"3","aldi","grocery chain","80%","3.7"
"10","sonic drive-in","fast food chain","78%","3.6"
"10","kroger","grocery chain","78%","1.7"
"10","shoprite","grocery chain","78%","1.9"
"10","amazon.com","retailer","78%","5.9"
"14","pnc","bank","77%","11.6"
"14","pizza hut","fast food chain","77%","2.5"
"14","target","retailer","77%","4.9"
"14","walgreens","retailer","77%","5.0"
"18","arby's","fast food chain","76%","1.5"
"18","whole foods","grocery chain","76%","-0.4"
"18","hy-vee","grocery chain","76%","-0.1"
"18","bj's wholesale club","retailer","76%","3.5"
"18","lowe's","retailer","76%","3.9"
"23","dunkin donuts","fast food chain","75%","0.8"
"23","taco bell","fast food chain","75%","0.8"
"23","wendy's","fast food chain","75%","1.2"
"23","food lion","grocery chain","75%","-1.7"
"27","little caesar's","fast food chain","74%","-0.3"
"27","giant eagle","grocery chain","74%","-2.7"
"27","safeway","grocery chain","74%","-2.1"
"27","stop &amp; shop","grocery chain","72%","-2.0"
"27","fedex","parcel delivery service","74%","1.4"
"27","jcpenney","retailer","74%","1.7"
"27","home depot","retailer","74%","1.7"
"27","cvs","retailer","74%","1.9"
"35","southwest airlines","airline","73%","11.9"
"35","td bank","bank","73%","7.8"
"35","usaa","bank","73%","8.3"
"35","usaa","credit card issuer","73%","12.7"
"35","dairy queen","fast food chain","73%","-1.1"
"35","albertsons","grocery chain","73%","-3.8"
"35","save-a-lot","grocery chain","73%","-3.3"
"35","usaa","insurance carrier","73%","7.7"
"35","ups","parcel delivery service","73%","0.9"
"35","rite aid","retailer","73%","0.8"
"45","ing direct","bank","72%","6.8"
"45","alamo","car rental agency","72%","11.4"
"45","hampton inn","hotel chain","72%","5.8"
"45","marriott","hotel chain","72%","6.4"
"45","state farm","insurance carrier","72%","6.4"
"45","costco","retailer","72%","-0.5"
"45","staples","retailer","72%","0.0"
"52","kfc","fast food chain","71%","-3.2"
"52","mcdonalds","fast food chain","71%","-2.9"
"52","us postal service","parcel delivery services","71%","-0.8"
"52","toys 'r' us","retailer","71%","-1.2"
"52","old navy","retailer","71%","-1.0"
"57","chevrolet","auto dealer","70%","7.7"
"57","burger king","fast food chain","70%","-4.2"
"57","charles schwab","investment firm","70%","6.7"
"57","wal-mart","retailer","70%","-2.3"
