"local health boards","hospital name","link surgeons"
"abertawe bro    morgannwg university lhb","morriston hospital (swansea)","roger morgan"
"&nbsp;","singleton hospital (swansea)","roger morgan"
"&nbsp;","princess of wales hospital (bridgend)","roger morgan"
"aneurin bevan lhb","neville hall hospital (abergavenny)","richard blackett"
"&nbsp;","royal gwent hospital (newport)","ahmed shandall"
"cardiff and vale lhb","university hospital llandough","wyn lewis"
"&nbsp;","university hospital of wales (cardiff)","wyn lewis"
"cwm taff lhb","prince charles hospital (merthyr tydfil)","professor p n haray "
"&nbsp;","royal glamorgan hospital (llantrisant)","alan woodward"
"hywel dda lhb          (link surgeon to be appointed)","bronglais hospital (aberystwyth)","&nbsp;"
"&nbsp;","prince philip hospital (llanelli)","&nbsp;"
"&nbsp;","glangwili hospital  (carmarthen)","&nbsp;"
"&nbsp;","withybush hospital (haverford west)","&nbsp;"
"betsi cadwalader university lhb","ysbyty gwynedd (bangor)","anil lala"
"&nbsp;","ysbyty glan clwyd (rhyl)","richard morgan"
"&nbsp;","maelor hospital (wrexham)","mr p j billings"
