"&nbsp;","capital","currency","language"
"united    kingdom","london","british pound (gbp)","english"
"ireland","dublin","euro (eur)","english gaelic"
"france","paris","euro (eur)","french"
"germany","berlin","euro (eur)","german"
"spain","madrid","euro (eur)","spanish"
"italy","rome","euro (eur)","italian"
"vatican    city","vatican city","euro (eur)","italian"
"netherlands","amsterdam","euro (eur)","dutch"
"belgium","brussels","euro (eur)","dutch french"
"switzerland","bern","swiss franc (chf)","french german"
"austria","vienna","euro (eur)","german"
"greece","athens","euro (eur)","greek"
"monaco","monte carlo","euro (eur)","french"
"norway","oslo","euro (eur)","norwegian"
"sweden","stockholm","swedish krona (sek)","swedish"
"denmark","copenhagen","danish krone (dkk)","danish"
"finland","helsinki","euro (eur)","finnish"
"poland","warsaw","polish zloty (pln)","polish"
"belarus","minsk","belarusian ruble (byr)","belarusian russian"
"czech    republic","prague","czech koruna (czk)","czech"
"russia","moscow","ruble (rub)","russian"
"slovakia","bratislava","euro (eur)","slovak"
"turkey","istanbul","turkish lira (try)","turkish"
"egypt","cairo","egyptian pound (egp)","arabic"
"albania","tirana","lek (all)","albanian"
"macedonia","skopje","macedonian denar (mkd)","macedonian"
"serbia","belgrade","serbian dinar (rsd)","serbian"
"bulgaria","sofia","lev (bgn)","bulgarian"
"bosnia    herzagovina","sarajevo","convertible mark (bam)","bosnian croatian serbian"
"croatia","zagreb","kuna (hrk)","croatian"
"hungary","budapest","forint (huf)","hungarian"
"montenegro","podgorica","euro (eur)","montenegrin serbian"
