"company","{symbol|}","industry","{date added|}"
"3m","mmm","diversified industrials","8/9/1976"
"alcoa","aa","aluminum","6/1/1959"
"american express","axp","consumer finance","8/30/1982"
"at&amp;t","t","telecommunication","11/1/1999"
"bank of america","bac","institutional and retail banking","2/19/2008"
"boeing","ba","aerospace &amp; defense","3/12/1987"
"caterpillar","cat","construction and mining equipment","5/6/1991"
"chevron corporation","cvx","oil and gas","2/19/2008"
"citigroup","c","banking","3/17/1997"
"coca-cola","ko","beverages","3/12/1987"
"dupont","dd","commodity chemicals","11/20/1935"
"exxonmobil","xom","integrated oil &amp; gas","10/1/1928"
"general electric","ge","conglomerate","11/7/1907"
"{general motors|}","gm","automobiles","8/31/1925"
"hewlett-packard","hpq","diversified computer systems","3/17/1997"
"the home depot","hd","home improvement retailers","11/1/1999"
"intel","intc","semiconductors","11/1/1999"
"ibm","ibm","computer services","6/29/1979"
"johnson &amp; johnson","jnj","pharmaceuticals","3/17/1997"
"jpmorgan chase","jpm","banking","5/6/1991"
"kraft foods","kft","food processing","9/22/2008"
"mcdonald&#8217;s","mcd","restaurants &amp; bars","10/30/1985"
"merck","mrk","pharmaceuticals","6/29/1979"
"microsoft","msft","software","11/1/1999"
"pfizer","pfe","pharmaceuticals","4/8/2004"
"procter &amp; gamble","pg","non-durable household products","5/26/1932"
"united technologies corporation","utx","aerospace heating/cooling elevators","3/14/1939"
"verizon communications","vz","telecommunication","4/8/2004"
"wal-mart","wmt","broadline retailers","3/17/1997"
