"name of water body","net area                        (square kilometres)","total area                        (square kilometres)","elevation                        (metres)"
"lake superior","not                        available","28 700*","184"
"lake huron","not                        available","36 000*","177"
"lake erie","not                        available","12 800*","174"
"lake ontario","not                        available","10 000","75"
"lake nipigon","4 510","4 848","260"
"lake of                         the woods","2 458","3 150","323"
"lac seul","1 373","1 657","357"
"lake st.                         clair","436","490","175"
"rainy                         lake","692","741","338"
"lake abitibi","903","931","265"
"lake nipissing","822","832","196"
"lake simcoe","723","744","219"
"big trout                         lake","624","661","213"
"sandy                         lake","507","527","275"
"st. joseph                         lake","459","493","371"
"trout                         lake","368","413","394"
