"oaustate","official language","imfsdrs","date ofindependence","head ofcentral bank","capital","imf#votes","name ofcurrency"
"algeria","arabic","914.4","jul 1962","abdelouahab keramane","algiers","9394","dinar"
"angola","portuguese","207.3","nov 1975","mario de alcantara monteiro","luanda","2323","new kwanza"
"benin","french","45.3","aug 1960","moise mensah","porto-novo","703","cfa franc"
"bostwana","english","36.6","sep 1966","balendzi gaolathe","gaborone","616","pula"
"burkina faso","french","44.2","aug 1960","tertius zongo","ouagadougou","696","cfa franc"
"burundi","rundi/french","57.2","jul 1962","mathias sinamenye","bujumbuna","822","brundi franc"
"cameroon","french/eng.","135.1","jan 1960","edouard akame mfoumou","yaounde","1.601","cfa franc"
"cape verde","portuguese","7.0","jul 1975","antonio gualberto do rosario","praia","320","escudo"
"central africanrepublic","french sango","41.2","aug 1960","anicet-georges dologuele","bangui","662","cfa franc"
"chad","arabic french","41.3","aug 1960","bichara cherif daoussa","n'ojamena","663","cfa franc"
"comoros","comorian","6.5","jul 1975","mohamed ali soilihi","moroni","315","comorian franc"
"congo democraticrepublic of the","french","291.0","aug 1960","vanant","kinshasa","000","cfa franc"
"congo repulic of","french","57.9","jun 1960","nguila moungounga-nkombo","brazaville","829","cfa franc"
"cote d'ivoire","french","238.2","aug 1960","n'goran niamien","abidjan","2632","cfa franc"
"dijibouti","arabic french","11.5","jun 1977","djama mahamoud haid","djibouti","365","djib franc"
"egypt","arabic","678.4","feb 1922","moheiddin el-gharib","cairo","7034","egyptian pound"
"equatorial guinea","spanish","24.3","oct 1968","marceli oyono ntutumu","malabo","493","cfa franc"
"eritrea","none","11.5","may 1993","tekie beyene","asmara","365","nakfa"
"ethiopia","amharic","98.3","1000bc","dubale jale","addis ababa","1233","birr"
"gabon","french","110.3","aug 1960","marcel doupamby matoka","libreville","1242","cfa franc"
"gambia the","english","22.9","feb 1965","dominic mendy","benjul","479","dalasi"
"ghana","english","274.0","mar 1957","kwabena duffour","accra","2990","cedi"
"guinea","french","78.7","oct 1958","ibrahima kassory fofana","conakry","1037","guinean franc"
"guinea-bissau","portuguese","10.5","sep 1974","issufo sanha","bissau","355","guinea-bissau peso"
"kanya","swahili english","199.4","dec 1963","musalia mudavadi","nairobi","2224","kenya shilling"
"lesotho","sotho english","23.9","oct 1966","c.t thamae","maseru","489","malito (loti)"
"liberia","english","71.3","july 1847","elio e. saleeby","monrovia","963","liberian dollar"
"libya","arabic","817.6","dec 1951","taher e. jehaimi","tripoli","8426","libyan dinar"
"madagascar","malagasy french","90.4","jul 1960","andrianarivo tantely","antananarivo","1154","madagasy franc"
"malawi","english","50.9","jul 1964","m.a.p. chikaonda","lilongwe","759","malawi kwacha"
"mali","french","68.9","jul 1965","soumaila cisse","bama ko","939","cfa franc"
"mauritania","arabic","47.5","nov 1960","mohamedou ould michel","nouakchott","725","ouguiya"
"mauritius","english","73.3","mar 1968","vasant kumar bunwaree","porto louis","893","mouritian rupee"
"morocco","arabic","427.7","mar 1956","mohamed seqat","rabat","4527","morrocan dirham"
"mozambique","portuguese","84.0","jun 1975","tomaz augusto salomao","maputo","1090","metical"
"namibia","english","99.6","mar 1990","nangolo mbumba","windhoek","1246","nambian dollar"
"niger","french","48.3","aug 1960","ahmadou mayaki","niamey","733","cfa franc"
"nigeria","english","1281.6","oct 1960","anthony a. ani","lagos","13.006","nigerian naira"
"rwanda","rwanda french","59.5","jul 1962","donat kaberuka","kagali","845","rwandan franc"
"sao tome and principe","portuguese","5.5","jul 1975","carlos quaresma batista","sao tome","305","dobra"
"senegal","french","118.9","aug 1960","papa ousmane sakho","dakar","1439","cfa franc"
"seychelles","none","6.0","jun 1976","james michel","victoria","310","seychelles rupee"
"sierra leone","english","77.2","aug 1960","thaimu bangura","freetown","1022","leon"
"somalia","somali arabic","44.2","jul 1961","vacant","mogadishu","692","someli shilling"
"south africa","english...","1365.4","may 1910","christian lodewyk stals","pretoria","13904","rand"
"sudan","arabic","169.7","jan 1956","vacant","khartoum","000","sudanese dinar"
"swaziland","swazi english","36.5","sep 1968","themba n. mashuka","mbabane","615","lulangeni"
"tanzania","swahili english","146.9","dec 1961","daniel n. yona","dar es salaam","1719","tansanian shilling"
"togo","french","54.3","apr 1960","barry moussa barque","lome","793","cfa franc"
"tunisia","arabic","206.0","mar 1956","mohamed el beji hamda","tunis","2310","dinar"
"uganda","swahili english","133.9","oct 1962","jehoash mayanja-nkangi","kampela","1589","uganda shilling"
"zambia","english","363.5","oct 1964","ronald damson siame penza","lusaka","3885","zambian kwacha"
"zambabwe","english","261.3","sep 1980","herbert murerwa","harare","2863","zambabe dollar"
