"summit","height      (m)","height      (ft)","grid      reference","date","&nbsp;"
"allt      lwyd","654m","2146ft","so079189","19/09/2008","&nbsp;"
"allt-fawr","698m","2290ft","sh682475","&nbsp;","&nbsp;"
"aran      benllyn","885m","2904ft","sh867243","&nbsp;","&nbsp;"
"aran      fawddwy","905m","2969ft","sh863224","&nbsp;","&nbsp;"
"arenig      fach","689m","2260ft","sh820415","19/11/2006","&nbsp;"
"arenig      fawr","854m","2802ft","sh827369","&nbsp;","&nbsp;"
"arenig      fawr south ridge top","712m","2336ft","sh827360","&nbsp;","&nbsp;"
"arenig      fawr south top","836m","2743ft","sh827366","&nbsp;","&nbsp;"
"bache      hill","610m","2001ft","so214636","&nbsp;","&nbsp;"
"bera      bach","807m","2648ft","sh672678","30/05/2010","&nbsp;"
"bera      mawr","794m","2605ft","sh675683","30/05/2010","&nbsp;"
"black      mixen","650m","2133ft","so196644","&nbsp;","&nbsp;"
"black      mountain","703m","2306ft","so255354","20/09/2008","&nbsp;"
"black      mountain south top","637m","2090ft","so266322","20/09/2008","&nbsp;"
"bwlch      y ddwyallt","754m","2474ft","so054203","19/09/2008","&nbsp;"
"cadair      berwyn","827m","2713ft","sj071323","17/11/2006","&nbsp;"
"cadair      berwyn new top","830m","2723ft","sj072327","17/11/2006","&nbsp;"
"cadair      bronwen","785m","2575ft","sj077346","&nbsp;","&nbsp;"
"cadair      bronwen east top","700m","2297ft","sj087352","&nbsp;","de-moted      sept 2007"
"cadair      idris","893m","2930ft","sh711130","26/08/2007","&nbsp;"
"carnedd      dafydd","1044m","3425ft","sh663631","31/05/2010","&nbsp;"
"carnedd      llechwedd-llyfn","643m","2110ft","sh858445","10/03/2006","&nbsp;"
"carnedd      llewelyn","1064m","3491ft","sh684644","31/05/2010","&nbsp;"
"carnedd      y ddelw","688m","2257ft","sh708705","&nbsp;","&nbsp;"
"carnedd      y filiast (arenigs)","669m","2195ft","sh871446","10/03/2006","&nbsp;"
"carnedd      y filiast (glyders)","821m","2694ft","sh620628","&nbsp;","&nbsp;"
"carnedd      y filiast north top","721m","2365ft","sh617631","&nbsp;","promoted      sept 2007"
"castell      y gwynt","972m","3189ft","sh654581","&nbsp;","promoted      sept 2007"
"cefn      gwyntog","615m","2018ft","sh976266","18/11/2006","&nbsp;"
"cefn      yr ystrad","617m","2024ft","so087137","23/09/2008","&nbsp;"
"chwarel      y fan","679m","2228ft","so258294","20/09/2008","&nbsp;"
"cnicht","689m","2260ft","sh645466","&nbsp;","&nbsp;"
"cnicht      north top","686m","2251ft","sh648468","&nbsp;","&nbsp;"
"corn      du","873m","2864ft","so007213","19/09/2008","&nbsp;"
"craig      cerrig-gleisiad","629m","2064ft","sn961218","18/09/2008","&nbsp;"
"craig      cwm amarch","791m","2595ft","sh711121","26/08/2007","&nbsp;"
"craig      cwm silyn","734m","2408ft","sh525503","&nbsp;","&nbsp;"
"craig      eigiau","735m","2411ft","sh713655","&nbsp;","&nbsp;"
"craiglwyn","623m","2044ft","sh730608","&nbsp;","&nbsp;"
"craig-y-llyn","622m","2041ft","sh665119","&nbsp;","&nbsp;"
"craigysgafn","689m","2260ft","sh660443","&nbsp;","&nbsp;"
"creigiau      gleision","678m","2224ft","sh729615","&nbsp;","&nbsp;"
"creigiau      gleision north top","634m","2080ft","sh734622","&nbsp;","&nbsp;"
"crib      goch","923m","3028ft","sh624552","&nbsp;","&nbsp;"
"crib      y ddysgl","1065m","3494ft","sh611552","25/06/2006","&nbsp;"
"cribin      fawr","659m","2162ft","sh795153","&nbsp;","&nbsp;"
"cribyn","795m","2608ft","so024213","19/09/2008","&nbsp;"
"crib-y-rhiw","670m","2198ft","sh663249","03/05/2008","&nbsp;"
"cyfrwy","811m","2661ft","sh704133","26/08/2007","&nbsp;"
"cyrniau      nod","667m","2188ft","sh988279","18/11/2006","&nbsp;"
"dduallt","662m","2172ft","sh811274","02/05/2008","&nbsp;"
"diffwys","750m","2461ft","sh661234","03/05/2008","&nbsp;"
"diffwys      west top","642m","2106ft","sh648229","03/05/2008","&nbsp;"
"drosgl","758m","2487ft","sh664680","30/05/2010","&nbsp;"
"drum","770m","2526ft","sh708696","&nbsp;","&nbsp;"
"drygarn      fawr","641m","2103ft","sn862584","&nbsp;","&nbsp;"
"elidir      fawr","924m","3031ft","sh612613","&nbsp;","&nbsp;"
"erw      y ddafad-ddu","872m","2861ft","sh865234","&nbsp;","&nbsp;"
"esgeiriau      gwynion","671m","2201ft","sh890236","&nbsp;","&nbsp;"
"fan      brycheiniog","802m","2631ft","sn825218","22/09/2008","&nbsp;"
"fan      fawr","734m","2408ft","sn970193","18/09/2008","&nbsp;"
"fan      fraith","668m","2192ft","sn887184","21/09/2008","&nbsp;"
"fan      frynych","629m","2064ft","sn958228","18/09/2008","&nbsp;"
"fan      gyhirych","725m","2379ft","sn881191","21/09/2008","&nbsp;"
"fan      hir","761m","2497ft","sn831209","22/09/2008","&nbsp;"
"fan      llia","632m","2073ft","sn938186","21/09/2008","&nbsp;"
"fan      nedd","663m","2175ft","sn913184","21/09/2008","&nbsp;"
"fan      y big","719m","2359ft","so036207","19/09/2008","&nbsp;"
"foel      boeth","616m","2021ft","sh779342","&nbsp;","&nbsp;"
"foel      cwm sian llwyd","648m","2126ft","sh996314","&nbsp;","&nbsp;"
"foel      goch (arenigs)","611m","2005ft","sh953423","&nbsp;","&nbsp;"
"foel      goch (berwyns)","613m","2011ft","sh943291","18/11/2006","&nbsp;"
"foel      grach","976m","3202ft","sh689659","30/05/2010","&nbsp;"
"foel      gron","629m","2064ft","sh560569","&nbsp;","&nbsp;"
"foel      hafod-fynydd","689m","2260ft","sh877227","&nbsp;","&nbsp;"
"foel      meirich","800m","2625ft","sh659637","31/05/2010","&nbsp;"
"foel      penolau","614m","2014ft","sh661348","04/05/2008","&nbsp;"
"foel      rhudd","659m","2162ft","sh896239","&nbsp;","&nbsp;"
"foel      wen","691m","2267ft","sj099334","17/11/2006","&nbsp;"
"foel      wen south top","687m","2254ft","sj102330","17/11/2006","&nbsp;"
"foel      y geifr","626m","2054ft","sh937275","18/11/2006","&nbsp;"
"foel-fras","942m","3091ft","sh696682","30/05/2010","&nbsp;"
"foel-goch","831m","2726ft","sh629612","&nbsp;","&nbsp;"
"gallt      y daren","619m","2031ft","sh778345","&nbsp;","&nbsp;"
"gallt      y wenallt","619m","2031ft","sh642533","&nbsp;","&nbsp;"
"gallt      yr ogof","763m","2503ft","sh685586","&nbsp;","&nbsp;"
"garnedd      uchaf","926m","3038ft","sh687669","30/05/2010","&nbsp;"
"garnedd-goch","700m","2297ft","sh511495","&nbsp;","&nbsp;"
"garreg      las","635m","2083ft","sn777203","22/09/2008","&nbsp;"
"garreg      lwyd","616m","2021ft","sn740179","21/09/2008","&nbsp;"
"gau      graig","683m","2241ft","sh744141","26/08/2007","&nbsp;"
"glasgwm","780m","2559ft","sh837194","27/08/2007","&nbsp;"
"glyder      fach","994m","3261ft","sh656583","&nbsp;","&nbsp;"
"glyder      fawr","999m","3278ft","sh642579","&nbsp;","&nbsp;"
"godor","679m","2228ft","sj094308","17/11/2006","&nbsp;"
"godor      north top","675m","2215ft","sj089311","17/11/2006","&nbsp;"
"gorllwyn","613m","2011ft","sn918591","&nbsp;","&nbsp;"
"great      rhos","660m","2165ft","so182639","&nbsp;","&nbsp;"
