"state/province","lake name","file size"
"alabama","{h neely henry lake|*}","1289 kb"
"alabama","logan martin lake","1213 kb"
"alabama","weiss lake","1142 kb"
"alberta","gleniffer lake","67 kb"
"arizona","alamo lake","99 kb"
"arizona","bartlett reservoir","173 kb"
"arizona","blue ridge reservoir","183 kb"
"arizona","{pleasant lake|*}","430 kb"
"arizona","sunrise lake","125 kb"
"arkansas","beaver lake","2158 kb"
"arkansas","{columbia lake|*}","312 kb"
"arkansas","degray lake","922 kb"
"arkansas","{erling lake|*}","311 kb"
"arkansas","greers ferry lake","1032 kb"
"arkansas","greeson lake","496 kb"
"arkansas","{monticello lake|*}","388 kb"
"california","castaic lake also includes pyramid lake ca","419 kb"
"california","diamond valley lake","767 kb"
"california","el capitan lake","170 kb"
"california","isabella lake","397 kb"
"california","lopez lake *also includes santa margarita lake ca","628 kb"
"california","{loveland reservoir|*}","276 kb"
"california","perris reservoir","726 kb"
"california","pyramid lake (updated 04/18/2005)also includes castaic lake ca","419 kb"
"california","{san vicente reservoir|*}","371 kb"
"california","santa margarita lake *also includes lopez lake ca","628 kb"
"colorado","blue mesa reservoiralso includes morrow point reservoir co","614 kb"
"colorado","{dillon reservoir|*}","331 kb"
"colorado","mcphee reservoir","248 kb"
"colorado","morrow point reservoiralso includes blue mesa reservoir co","614 kb"
"colorado","{pueblo lake|*}","240 kb"
"colorado","{sanchez reservoir|*}","176 kb"
"connecticut","lillinonah lake","1284 kb"
"florida","istokpoga lakealso includes lake jackson fl lake june in winter fl and lake huntley fl","1194 kb"
"florida","lochloosa lakealso includes most of orange lake fl","644 kb"
"florida","monroe lake","1020 kb"
"georgia","{nottely lake|*}","535 kb"
"georgia","oconee lake","968 kb"
"georgia","sinclair lake","991 kb"
"georgia","sydney lanier lake","2745 kb"
"georgia","{tobesofkee lake|*}","538 kb"
"illinois","clinton lake","597 kb"
"kansas","{big hill lake|*}","373 kb"
"kansas","coffey county lake","274 kb"
"kansas","pomona lake","335 kb"
"kansas","tuttle creek lake","576 kb"
"kentucky","laurel river lake","985 kb"
"kentucky","taylorsville lake","499 kb"
"louisiana","{caney creek reservoir|*}","308 kb"
"louisiana","cotile lake *also includes kincaid reservoir la and lake rodemacher la","519 kb"
"louisiana","d'arbonne lake","388 kb"
"louisiana","{kepler creek lake|*}","292 kb"
"louisiana","kincaid reservoiralso includes cotile lake la and lake rodemacher la","519 kb"
"louisiana","rodemacher lake *also includes cotile lake la and kincaid reservoir la","519 kb"
"massachusetts","quabbin reservoir","687 kb"
"minnesota","fourtown lake","216 kb"
"minnesota","gull lake","526 kb"
"minnesota","moose lake","225 kb"
"mississippi","arkabutla lake","380 kb"
"mississippi","enid lake","532 kb"
"mississippi","{okatibbee lake|*}","544 kb"
"missouri","truman reservoir","1322 kb"
"montana","elwell lake","571 kb"
"nebraska","harlan county lake","286 kb"
"nevada","chimney reservoir","71 kb"
"nevada","las vegas lake","483 kb"
"new jersey","merrill creek reservoir","678 kb"
"new mexico","abiquiu reservoir","298 kb"
"new york","onondaga lake","704 kb"
"north carolina","falls lake","1236 kb"
"north carolina","{james lake|*|new}","873 kb"
"north carolina","{wylie lake|*}","1519 kb"
"ohio","acton lake","442 kb"
"ohio","alum creek lakealso includes delaware lake oh and hoover reservoir oh","1667 kb"
"ohio","atwood lakealso includes leesville lake oh","518 kb"
"ohio","barnesville lake","368 kb"
"ohio","belmont lake","411 kb"
"ohio","burr oak lake","389 kb"
"ohio","charles mill lake","339 kb"
"ohio","cj brown reservoiralso includes clark lake oh","661 kb"
"ohio","clark lakealso includes cj brown reservoir oh","661 kb"
"ohio","deer creek lake","391 kb"
"ohio","delaware lakealso includes alum creek lake oh and hoover reservoir oh","1667 kb"
"ohio","hoover reservoiralso includes alum creek lake oh and delaware lake oh","1667 kb"
"ohio","indian lake","557 kb"
"ohio","knox lake","346 kb"
"ohio","ladue reservoiralso includes punderson lake oh","383 kb"
"ohio","lasuan lake","293 kb"
"ohio","leesville lakealso includes atwood lake oh","518 kb"
"ohio","paint creek lakealso includes rocky fork lake oh","521 kb"
"ohio","punderson lakealso includes ladue reservoir oh","383 kb"
"ohio","rocky fork lakealso includes paint creek lake oh","522 kb"
"ohio","ross lake","460 kb"
"ohio","snowden lake","558 kb"
"ohio","stonelick lake","373 kb"
"ohio","michael j kirwan reservoir","741 kb"
"ohio","mosquito creek lake","668 kb"
"oklahoma","altus lugert lake","333 kb"
"oklahoma","arbuckle reservoir","581 kb"
"oklahoma","arcadia lake","628 kb"
"oklahoma","atoka reservoir *also includes mcgee creek reservoir ok","504 kb"
"oklahoma","birch lake","272 kb"
"oklahoma","broken bow lake","477 kb"
"oklahoma","canton lake","276 kb"
"oklahoma","copan lake","365 kb"
"oklahoma","dripping springs lake","260 kb"
"oklahoma","eucha lake","261 kb"
"oklahoma","eufaula lake","1744 kb"
"oklahoma","fort cobb reservoir","322 kb"
"oklahoma","foss lake","445 kb"
"oklahoma","frederick lake","191 kb"
"oklahoma","hefner lake","493 kb"
"oklahoma","hulah lake","287 kb"
"oklahoma","hugo lake","600 kb"
"oklahoma","kaw lake","639 kb"
"oklahoma","kerr reservoir","1324 kb"
"oklahoma","{keystone lake|*}","1491 kb"
"oklahoma","konawa reservoir","263 kb"
"oklahoma","mcgee creek reservoir (updated 06/08/2005)also includes atoka reservoir ok","504 kb"
"oklahoma","{oologah lake|*}","974 kb"
"oklahoma","overholser lake","571 kb"
"oklahoma","pine creek lake","351 kb"
"oklahoma","rc longmire lake","252 kb"
"oklahoma","sardis lake","428 kb"
"oklahoma","{skiatook lake|*}","788 kb"
"oklahoma","sooner lake","305 kb"
"oklahoma","spavinaw lake","251 kb"
"oklahoma","stanley draper lake","1513 kb"
"oklahoma","tenkiller lake","627 kb"
"oklahoma","thunderbird lake","457 kb"
"oklahoma","tom steed reservoir","254 kb"
"oklahoma","webbers falls reservoir","1008 kb"
"oklahoma","wes watkins reservoir","468 kb"
"oregon","simtustus lake *also includes lake billy chinook or","670 kb"
