"code","airport name","city","state"
"gum","guam international airport","agana","gu"
"alb","albany international airport","albany","ny"
"abq","albuquerque international sunport","albuquerque","nm"
"abe","lehigh valley international airport","allentown","pa"
"ama","amarillo international airport","amarillo","tx"
"anc","anchorage international airport","anchorage","ak"
"atl","atlanta international airport","atlanta","ga"
"aus","austin-bergstrom international airport","austin","tx"
"btr","baton rouge international airport","baton rouge","la"
"bil","billings logan international airport","billings","mt"
"bhm","birmingham international airport","birmingham","al"
"boi","boise airport","boise","id"
"bos","boston logan international airport","boston","ma"
"buf","buffalo niagara international airport","buffalo","ny"
"bur","burbank bob hope airport","burbank","ca"
"bwi","baltimore/washington international airport","bwi airport","md"
"cid","cedar rapids eastern iowa airport","cedar rapids","ia"
"chs","charleston international airport","charleston","sc"
"clt","charlotte/douglas international airport","charlotte","nc"
"stt","cyril e king airport","charlotte amalie","vi"
"mdw","chicago midway airport","chicago","il"
"ord","chicago o&#8217;hare international airport","chicago","il"
"cvg","cincinnati/northern kentucky international airport","cincinnati","oh"
"cle","cleveland hopkins international airport","cleveland","oh"
"cos","colorado springs airport","colorado springs","co"
"cae","columbia metropolitan airport","columbia","sc"
"cmh","port columbus international airport","columbus","oh"
"crp","corpus christi international airport","corpus christi","tx"
"dal","dallas love field","dallas","tx"
"dfw","dallas/fort worth international airport","dallas","tx"
"day","dayton international airport","dayton","oh"
"den","denver international airport","denver","co"
"dsm","des moines international airport","des moines","ia"
"dtw","detroit metro airport","detroit","mi"
"acy","atlantic city international airport","egg harbor twp","nj"
"elp","el paso international airport","el paso","tx"
"fai","fairbanks international airport","fairbanks","ak"
"xna","northwest arkansas regional airport","fayetteville","ar"
"fnt","bishop international airport","flint","mi"
"fll","fort lauderdale hollywood international airport","fort lauderdale","fl"
"rsw","southwest florida international airport","fort myers","fl"
"fat","fresno air terminal","fresno","ca"
"gcn","grand canyon national park airport","grand canyon","az"
"grr","gerald r. ford international airport","grand rapids","mi"
"grb","austin straubel international airport","green bay","wi"
"gso","piedmont triad international airport","greensboro","nc"
"gsp","greenville/spartanburg airport","greenville","sc"
"gpt","gulfport-biloxi international airport","gulfport","ms"
"hrl","valley international airport","harlingen","tx"
"mdt","harrisburg international airport","harrisburg","pa"
"ito","hilo international airport","hilo","hi"
"hnl","honolulu international airport","honolulu","hi"
"iah","bush intercontinental airport","houston","tx"
"hou","hobby airport","houston","tx"
"hsv","huntsville international airport","huntsville","al"
"ind","indianapolis international airport","indianapolis","in"
"isp","macarthur airport","islip","ny"
"jan","jackson-evers international airport","jackson","ms"
"jax","jacksonville international airport","jacksonville","fl"
"jnu","juneau international airport","juneau","ak"
"ogg","kahului airport","kahului","hi"
"mci","kansas city international airport","kansas city","mo"
"koa","kona international airport","keahole","hi"
"tys","mcghee tyson airport","knoxville","tn"
"las","mccarran international airport","las vegas","nv"
"lex","blue grass airport","lexington","ky"
"lih","lihue airport","lihue","hi"
"lit","little rock national airport","little rock","ar"
"lgb","long beach airport","long beach","ca"
"lax","los angeles international airport","los angeles","ca"
"sdf","louisville international airport","louisville","ky"
"lbb","lubbock international airport","lubbock","tx"
"msn","dane county regional airport","madison","wi"
"mht","manchester airport","manchester","nh"
"mem","memphis airport","memphis","tn"
"mia","miami international airport","miami","fl"
"maf","midland international airport","midland","tx"
"mke","general mitchell international airport","milwaukee","wi"
"msp","minneapolis/st. paul international airport","minneapolis","mn"
"mli","quad city international airport","moline","il"
"myr","myrtle beach airport","myrtle beach","sc"
"bna","nashville international airport","nashville","tn"
"msy","new orleans international airport","new orleans","la"
"jfk","john f. kennedy international airport","new york","ny"
"lga","la guardia airport","new york","ny"
"ewr","newark liberty international airport","newark","nj"
"phf","newport news/williamsburg international airport","newport news","va"
"orf","norfolk international airport","norfolk","va"
"cak","akron-canton airport","north canton","oh"
"oak","oakland international airport","oakland","ca"
"okc","will rogers world airport","oklahoma city","ok"
"oma","eppley airfield","omaha","ne"
"ont","ontario international airport","ontario","ca"
"sna","john wayne airport","orange county","ca"
"mco","orlando international airport","orlando","fl"
"psp","palm springs international airport","palm springs","ca"
"pns","pensacola regional airport","pensacola","fl"
"phl","philadelphia international airport","philadelphia","pa"
"phx","phoenix sky harbor international airport","phoenix","az"
"pit","pittsburgh international airport","pittsburgh","pa"
"pdx","portland international airport","portland","or"
"pwm","portland international jetport","portland","me"
"pvd","t.f. green airport","providence","ri"
"rdu","raleigh-durham international airport","rdu airport","nc"
"rno","reno-tahoe international airport","reno","nv"
"ric","richmond international airport","richmond","va"
"roc","greater rochester international airport","rochester","ny"
"smf","sacramento international airport","sacramento","ca"
"stl","lambert-st. louis international airport","saint louis","mo"
"pie","st. petersburg-clearwater international airport","saint petersburg","fl"
"gsn","saipan international airport","saipan island","cq"
"slc","salt lake city international airport","salt lake city","ut"
"sat","san antonio international airport","san antonio","tx"
"san","san diego international airport","san diego","ca"
"sfo","san francisco international airport","san francisco","ca"
"sjc","san jose international airport","san jose","ca"
"sju","luis munoz marin international airport","san juan","pr"
"sfb","orlando sanford international airport","sanford","fl"
"sba","santa barbara airport","santa barbara","ca"
