"rank","was","peak","days on chart","system","game"
"1","1","1","418","xbox 360","the elder scrolls v: skyrim"
"2","2","2","235","playstation 3","final fantasy xiii-2"
"3","3","2","183","pc","the elder scrolls v: skyrim"
"4","4","4","36","playstation 3","soulcalibur v"
"5","5","3","107","playstation 3","the elder scrolls v: skyrim"
"6","6","3","189","pc","star wars: the old republic"
"7","7","1","1214","playstation 3","final fantasy xiii"
"8","8","1","172","playstation 3","dark souls"
"9","9","9","11","xbox 360","soulcalibur v"
"10","11","1","622","pc","league of legends"
"11","10","4","608","wii","the legend of zelda: skyward sword"
"12","12","1","711","ds","pokemon black version"
"13","14","13","15","xbox 360","final fantasy xiii-2"
"14","15","1","2611","pc","world of warcraft"
"15","13","1","246","xbox 360","call of duty: modern warfare 3"
"16","16","13","18","xbox 360","kingdoms of amalur: reckoning"
"17","17","12","21","3ds","resident evil: revelations"
"18","18","2","221","playstation 3","dc universe online"
"19","19","2","119","xbox 360","batman: arkham city"
"20","23","7","189","xbox 360","mass effect 3"
"21","21","4","198","playstation 3","ultimate marvel vs. capcom 3"
"22","22","2","195","xbox 360","battlefield 3"
"23","20","7","108","xbox 360","wwe '12"
"24","26","1","798","xbox 360","mass effect 2"
"25","24","1","4865","playstation","final fantasy vii"
"26","25","3","121","playstation 3","batman: arkham city"
"27","28","2","723","xbox 360","final fantasy xiii"
"28","27","2","500","pc","minecraft"
"29","30","4","98","playstation 3","call of duty: modern warfare 3"
"30","29","11","25","pc","katawa shoujo"
"31","32","1","511","xbox 360","fallout: new vegas"
"32","34","1","227","xbox 360","gears of war 3"
"33","31","2","133","xbox 360","dark souls"
"34","35","1","2108","playstation 2","final fantasy xii"
"35","33","10","79","playstation 3","wwe '12"
"36","47","25","17","playstation 3","kingdoms of amalur: reckoning"
"37","42","2","1301","pc","team fortress 2"
"38","36","7","82","playstation 3","assassin's creed: revelations"
"39","37","1","724","pc","starcraft ii: wings of liberty"
"40","38","2","3843","playstation 2","final fantasy x"
"41","48","41","4","playstation 3","twisted metal"
"42","41","41","92","playstation 3","naruto shippuden: ultimate ninja storm generations"
"43","44","3","3799","pc","diablo ii: lord of destruction"
"44","43","2","2813","game boy advance","pokemon firered version"
"45","40","4","102","xbox 360","saints row: the third"
"46","39","1","151","pc","battlefield 3"
"47","45","18","3779","playstation","final fantasy viii"
"48","46","1","460","playstation 3","gran turismo 5"
"49","49","7","129","playstation 3","battlefield 3"
"50","50","18","2823","playstation","final fantasy ix"
"51","51","1","2537","game boy advance","pokemon emerald version"
"52","52","11","84","playstation 3","tales of graces f"
"53","58","2","2585","pc","maplestory"
"54","56","1","844","pc","dragon age: origins"
"55","57","1","999","ds","pokemon heartgold version"
"56","54","1","1217","psp","monster hunter freedom unite"
"57","55","4","1236","playstation 2","shin megami tensei: persona 4"
"58","53","23","44","playstation 3","street fighter x tekken"
"59","59","7","87","3ds","mario kart 7"
"60","60","2","222","wii","xenoblade chronicles"
"61","64","5","4392","nintendo 64","the legend of zelda: ocarina of time"
"62","61","1","1313","ds","pokemon platinum version"
"63","62","1","605","ds","dragon quest ix: sentinels of the starry skies"
"64","63","2","721","wii","monster hunter tri"
"65","65","1","1224","xbox 360","fallout 3"
"66","70","2","512","psp","dissidia 012: duodecim final fantasy"
"67","68","13","81","playstation 3","saints row: the third"
"68","66","19","345","ds","yu-gi-oh! 5d's world championship 2011: over the nexus"
"69","83","16","125","3ds","kingdom hearts 3d: dream drop distance"
"70","67","2","346","ds","pokemon white version"
"71","73","1","2652","playstation 2","grand theft auto: san andreas"
"72","85","3","153","playstation 3","uncharted 3: drake's deception"
"73","77","2","468","pc","mass effect 2"
"74","72","16","66","xbox 360","nba 2k12"
"75","76","1","265","pc","the witcher 2: assassins of kings"
"76","71","5","120","wii u","super smash bros. wii u"
"77","78","2","479","pc","fallout: new vegas"
"78","75","1","672","xbox 360","red dead redemption"
"79","79","32","71","playstation 3","nba 2k12"
"80","74","3","620","psp","shin megami tensei: persona 3 portable"
"81","89","4","307","psp","metal gear solid: peace walker"
"82","84","1","405","3ds","the legend of zelda: ocarina of time 3d"
"83","82","10","80","xbox 360","assassin's creed: revelations"
"84","94","7","999","pc","plants vs. zombies"
"85","88","11","131","playstation 3","white knight chronicles ii"
"86","87","1","1182","psp","kingdom hearts: birth by sleep"
"87","81","3","177","playstation 3","disgaea 4: a promise unforgotten"
"88","93","1","556","xbox 360","call of duty: black ops"
"89","86","1","841","xbox 360","dragon age: origins"
"90","80","7","1144","playstation 2","shin megami tensei: persona 3 fes"
"91","90","11","452","psp","monster hunter portable 3rd"
"92","92","1","960","pc","the sims 3"
"93","91","5","306","psp","tactics ogre: let us cling together"
"94","95","1","1882","ds","pokemon diamond version"
"95","99","72","6","pc","kingdoms of amalur: reckoning"
"96","96","1","812","xbox 360","mass effect"
"97","97","1","1123","xbox 360","tales of vesperia"
"98","ret","3","595","ds","pokemon soulsilver version"
"99","ret","12","229","psp","final fantasy type-0"
"100","ret","2","787","pc","grand theft auto: san andreas"
