"year","NULL","voted by","inducted as","votes","% of ballots"
"2011","roberto alomar","bbwaa","player","523.0","90.0%"
"2011","bert blyleven","bbwaa","player","463.0","79.7%"
"2011","pat gillick","veterans","executive","NULL","NULL"
"2010","andre dawson","bbwaa","player","420.0","77.9%"
"2010","doug harvey","veterans","umpire","NULL","NULL"
"2010","whitey herzog","veterans","manager","NULL","NULL"
"2009","joe gordon","veterans","player","NULL","NULL"
"2009","rickey henderson","bbwaa","player","511.0","94.8%"
"2009","jim rice","bbwaa","player","412.0","76.4%"
"2008","barney dreyfuss","veterans","pioneer/executive","NULL","NULL"
"2008","rich gossage","bbwaa","player","466.0","85.8%"
"2008","bowie kuhn","veterans","pioneer/executive","NULL","NULL"
"2008","walter o'malley","veterans","pioneer/executive","NULL","NULL"
"2008","billy southworth","veterans","manager","NULL","NULL"
"2008","dick williams","veterans","manager","NULL","NULL"
"2007","tony gwynn","bbwaa","player","532.0","97.6%"
"2007","cal ripken","bbwaa","player","537.0","98.5%"
"2006","raymond brown","negro league","player","NULL","NULL"
"2006","willard brown","negro league","player","NULL","NULL"
"2006","andy cooper","negro league","player","NULL","NULL"
"2006","frank grant","negro league","player","NULL","NULL"
"2006","pete hill","negro league","player","NULL","NULL"
"2006","biz mackey","negro league","player","NULL","NULL"
"2006","effa manley","negro league","pioneer/executive","NULL","NULL"
"2006","jose mendez","negro league","player","NULL","NULL"
"2006","alex pompez","negro league","pioneer/executive","NULL","NULL"
"2006","cum posey","negro league","pioneer/executive","NULL","NULL"
"2006","louis santop","negro league","player","NULL","NULL"
"2006","bruce sutter","bbwaa","player","400.0","76.9%"
"2006","mule suttles","negro league","player","NULL","NULL"
"2006","ben taylor","negro league","player","NULL","NULL"
"2006","cristobal torriente","negro league","player","NULL","NULL"
"2006","sol white","negro league","pioneer/executive","NULL","NULL"
"2006","j. l. wilkinson","negro league","pioneer/executive","NULL","NULL"
"2006","jud wilson","negro league","player","NULL","NULL"
"2005","wade boggs","bbwaa","player","474.0","91.9%"
"2005","ryne sandberg","bbwaa","player","393.0","76.2%"
"2004","dennis eckersley","bbwaa","player","421.0","83.2%"
"2004","paul molitor","bbwaa","player","431.0","85.2%"
"2003","gary carter","bbwaa","player","387.0","78.0%"
"2003","eddie murray","bbwaa","player","423.0","85.3%"
"2002","ozzie smith","bbwaa","player","433.0","91.7%"
"2001","bill mazeroski","veterans","player","NULL","NULL"
"2001","kirby puckett","bbwaa","player","423.0","82.1%"
"2001","hilton smith","veterans","player","NULL","NULL"
"2001","dave winfield","bbwaa","player","435.0","84.5%"
"2000","sparky anderson","veterans","manager","NULL","NULL"
"2000","carlton fisk","bbwaa","player","397.0","79.6%"
"2000","bid mcphee","veterans","player","NULL","NULL"
"2000","tony perez","bbwaa","player","385.0","77.2%"
"2000","turkey stearnes","veterans","player","NULL","NULL"
"1999","george brett","bbwaa","player","488.0","98.2%"
"1999","orlando cepeda","veterans","player","NULL","NULL"
"1999","nestor chylak","veterans","umpire","NULL","NULL"
"1999","nolan ryan","bbwaa","player","491.0","98.8%"
"1999","frank selee","veterans","manager","NULL","NULL"
"1999","smokey joe williams","veterans","player","NULL","NULL"
"1999","robin yount","bbwaa","player","385.0","77.5%"
"1998","george davis","veterans","player","NULL","NULL"
"1998","larry doby","veterans","player","NULL","NULL"
"1998","lee macphail","veterans","pioneer/executive","NULL","NULL"
"1998","bullet rogan","veterans","player","NULL","NULL"
"1998","don sutton","bbwaa","player","386.0","81.6%"
"1997","nellie fox","veterans","player","NULL","NULL"
"1997","tom lasorda","veterans","manager","NULL","NULL"
"1997","phil niekro","bbwaa","player","380.0","80.3%"
"1997","willie wells","veterans","player","NULL","NULL"
"1996","jim bunning","veterans","player","NULL","NULL"
"1996","bill foster","veterans","player","NULL","NULL"
"1996","ned hanlon","veterans","manager","NULL","NULL"
"1996","earl weaver","veterans","manager","NULL","NULL"
"1995","richie ashburn","veterans","player","NULL","NULL"
"1995","leon day","veterans","player","NULL","NULL"
"1995","william hulbert","veterans","pioneer/executive","NULL","NULL"
"1995","mike schmidt","bbwaa","player","444.0","96.5%"
"1995","vic willis","veterans","player","NULL","NULL"
"1994","steve carlton","bbwaa","player","436.0","95.6%"
"1994","leo durocher","veterans","manager","NULL","NULL"
"1994","phil rizzuto","veterans","player","NULL","NULL"
"1993","reggie jackson","bbwaa","player","396.0","93.6%"
"1992","rollie fingers","bbwaa","player","349.0","81.2%"
"1992","bill mcgowan","veterans","umpire","NULL","NULL"
"1992","hal newhouser","veterans","player","NULL","NULL"
"1992","tom seaver","bbwaa","player","425.0","98.8%"
"1991","rod carew","bbwaa","player","401.0","90.5%"
"1991","fergie jenkins","bbwaa","player","334.0","75.4%"
"1991","tony lazzeri","veterans","player","NULL","NULL"
"1991","gaylord perry","bbwaa","player","342.0","77.2%"
"1991","bill veeck","veterans","pioneer/executive","NULL","NULL"
"1990","joe morgan","bbwaa","player","363.0","81.8%"
"1990","jim palmer","bbwaa","player","411.0","92.6%"
"1989","al barlick","veterans","umpire","NULL","NULL"
"1989","johnny bench","bbwaa","player","431.0","96.4%"
"1989","red schoendienst","veterans","player","NULL","NULL"
"1989","carl yastrzemski","bbwaa","player","423.0","94.6%"
"1988","willie stargell","bbwaa","player","352.0","82.4%"
"1987","ray dandridge","veterans","player","NULL","NULL"
"1987","catfish hunter","bbwaa","player","315.0","76.3%"
"1987","billy williams","bbwaa","player","354.0","85.7%"
"1986","bobby doerr","veterans","player","NULL","NULL"
"1986","ernie lombardi","veterans","player","NULL","NULL"
"1986","willie mccovey","bbwaa","player","346.0","81.4%"
"1985","lou brock","bbwaa","player","315.0","79.7%"
"1985","enos slaughter","veterans","player","NULL","NULL"
"1985","arky vaughan","veterans","player","NULL","NULL"
"1985","hoyt wilhelm","bbwaa","player","331.0","83.8%"
"1984","luis aparicio","bbwaa","player","341.0","84.6%"
"1984","don drysdale","bbwaa","player","316.0","78.4%"
"1984","rick ferrell","veterans","player","NULL","NULL"
"1984","harmon killebrew","bbwaa","player","335.0","83.1%"
"1984","pee wee reese","veterans","player","NULL","NULL"
"1983","walter alston","veterans","manager","NULL","NULL"
"1983","george kell","veterans","player","NULL","NULL"
"1983","juan marichal","bbwaa","player","313.0","83.7%"
"1983","brooks robinson","bbwaa","player","344.0","92.0%"
"1982","hank aaron","bbwaa","player","406.0","97.8%"
"1982","happy chandler","veterans","pioneer/executive","NULL","NULL"
"1982","travis jackson","veterans","player","NULL","NULL"
"1982","frank robinson","bbwaa","player","370.0","89.2%"
"1981","rube foster","veterans","manager","NULL","NULL"
"1981","bob gibson","bbwaa","player","337.0","84.0%"
"1981","johnny mize","veterans","player","NULL","NULL"
"1980","al kaline","bbwaa","player","340.0","88.3%"
"1980","chuck klein","veterans","player","NULL","NULL"
"1980","duke snider","bbwaa","player","333.0","86.5%"
"1980","tom yawkey","veterans","pioneer/executive","NULL","NULL"
"1979","warren giles","veterans","pioneer/executive","NULL","NULL"
"1979","willie mays","bbwaa","player","409.0","94.7%"
"1979","hack wilson","veterans","player","NULL","NULL"
"1978","addie joss","veterans","player","NULL","NULL"
"1978","larry macphail","veterans","pioneer/executive","NULL","NULL"
"1978","eddie mathews","bbwaa","player","301.0","79.4%"
"1977","ernie banks","bbwaa","player","321.0","83.8%"
"1977","martin dihigo","negro league","player","NULL","NULL"
"1977","pop lloyd","negro league","player","NULL","NULL"
"1977","al lopez","veterans","manager","NULL","NULL"
"1977","amos rusie","veterans","player","NULL","NULL"
"1977","joe sewell","veterans","player","NULL","NULL"
"1976","oscar charleston","negro league","player","NULL","NULL"
"1976","roger connor","veterans","player","NULL","NULL"
"1976","cal hubbard","veterans","umpire","NULL","NULL"
"1976","bob lemon","bbwaa","player","305.0","78.6%"
"1976","freddie lindstrom","veterans","player","NULL","NULL"
"1976","robin roberts","bbwaa","player","337.0","86.9%"
"1975","earl averill","veterans","player","NULL","NULL"
"1975","bucky harris","veterans","manager","NULL","NULL"
"1975","billy herman","veterans","player","NULL","NULL"
