"emperor","reign","years","no.coins","coin/ year"
"domitian","81-96","15","1","00667"
"trajan","98-117","19","3","01579"
"hadrian","117-138","21","2+1","01429"
"[antonins dynasty]","&nbsp;","&nbsp;","(1)","&nbsp;"
"(faustina)","&nbsp;","&nbsp;","(3)","&nbsp;"
"antoninus pius","138-161","23","7+3","04348"
"(lucilla) =&gt; lucius verus","161-166","&nbsp;","(1)","&nbsp;"
"marcus aurelius","161-180","19","1+1","01053"
"commodus","180-192","12","0","00000"
"septimius severus","193-211","18","4","02222"
"caracalla","211-217","6","1","01667"
"(julia pia)","&nbsp;","&nbsp;","4","&nbsp;"
"elagabalus","218-222","4","1+4","12500"
"julia mamaea","&nbsp;","&nbsp;","1","&nbsp;"
"severus alexander","222-235","13","7+1","06154"
"gordian iii","238-244","6","8","13333"
"philippus","244-249","5","2","04000"
"decius","249-251","2","1+2","15000"
"etruscilla","&nbsp;","&nbsp;","(2)","&nbsp;"
