"entity","currency","alphabetic code","numeric code"
"afghanistan","afghani","afa","4"
"albania","lek","all","8"
"algeria","algerian dinar","dzd","12"
"american samoa","us dollar","usd","840"
"andorra","spanish peseta","esp","724"
"NULL","french franc","frf","250"
"NULL","andorran peseta","adp","20"
"angola","new kwanza","aon","24"
"NULL","kwanza reajustado","aor","982"
"anguilla","east caribbean dollar","xcd","951"
"antarctica","no universal currency","NULL","NULL"
"antigua and barbuda","east caribbean dollar","xcd","951"
"argentina","argentine peso","ars","32"
"armenia","armenian dram","amd","51"
"aruba","aruban guilder","awg","533"
"australia","australian dollar","aud","36"
"austria","schilling","ats","40"
"azerbaijan","azerbaijanian manat","azm","31"
"bahamas","bahamian dollar","bsd","44"
"bahrain","bahraini dinar","bhd","48"
"bangladesh","taka","bdt","50"
"barbados","barbados dollar","bbd","52"
"belarus","belarussian ruble","byr","974"
"belgium","belgian franc","bef","56"
"belize","belize dollar","bzd","84"
"benin","cfa franc bceao","xof","952"
"bermuda","bermudian dollar","bmd","60"
"bhutan","indian rupee","inr","356"
"NULL","ngultrum","btn","64"
"bosnia and herzegovina","convertible marks","bam","977"
"botswana","pula","bwp","72"
"bouvet island","norwegian krone","nok","578"
"brazil","brazilian real","brl","986"
"british indian ocean territory","us dollar","usd","840"
"brunei darussalam","brunei dollar","bnd","96"
"bulgaria","lev","bgl","100"
"NULL","bulgarian lev","bgn","975"
"burkina faso","cfa franc bceao","xof","952"
"burundi","burundi franc","bif","108"
"cambodia","riel","khr","116"
"cameroon","cfa franc beac","xaf","950"
"canada","canadian dollar","cad","124"
"cape verde","cape verde escudo","cve","132"
"cayman islands","cayman islands dollar","kyd","136"
"central african republic","cfa franc beac","xaf","950"
"chad","cfa franc beac","xaf","950"
"chile","chilean peso","clp","152"
"NULL","unidades de fomento","clf","990"
"china","yuan renminbi","cny","156"
"christmas island","australian dollar","aud","36"
"cocos (keeling) islands","australian dollar","aud","36"
"colombia","colombian peso","cop","170"
"comoros","comoro franc","kmf","174"
"congo","cfa franc beac","xaf","950"
"congo the democratic republic of","franc congolais","cdf","976"
"cook islands","new zealand dollar","nzd","554"
"costa rica","costa rican colon","crc","188"
"cote d'ivoire","cfa franc bceao","xof","952"
"croatia","kuna","hrk","191"
"cuba","cuban peso","cup","192"
"cyprus","cyprus pound","cyp","196"
"czech republic","czech koruna","czk","203"
"denmark","danish krone","dkk","208"
"djibouti","djibouti franc","djf","262"
"dominica","east caribbean dollar","xcd","951"
"dominican republic","dominican peso","dop","214"
"east timor","timor escudo","tpe","626"
"NULL","rupiah","idr","360"
"ecuador","sucre","ecs","218"
"NULL","unidad de valor constante (uvc)","ecv","983"
"egypt","egyptian pound","egp","818"
"el salvador","el salvador colon","svc","222"
"equatorial guinea","cfa franc beac","xaf","950"
"estonia","kroon","eek","233"
"eritrea","nakfa","ern","232"
"ethiopia","ethiopian birr","etb","230"
"faeroe islands","danish krone","dkk","208"
"falkland islands (malvinas)","pound","fkp","238"
"fiji","fiji dollar","fjd","242"
"finland","markka","fim","246"
"france","french franc","frf","250"
"french guiana","french franc","frf","250"
"french polynesia","cfp franc","xpf","953"
"french southern territories","french franc","frf","250"
"gabon","cfa franc beac","xaf","950"
"gambia","dalasi","gmd","270"
"georgia","lari","gel","981"
"germany","deutsche mark","dem","276"
"ghana","cedi","ghc","288"
"gibraltar","gibraltar pound","gip","292"
"greece","drachma","grd","300"
"greenland","danish krone","dkk","208"
"grenada","east caribbean dollar","xcd","951"
"guadeloupe","french franc","frf","250"
"guam","us dollar","usd","840"
"guatemala","quetzal","gtq","320"
"guinea","guinea franc","gnf","324"
"guinea-bissau","guinea-bissau peso","gwp","624"
"NULL","cfa franc bceao","xof","952"
"guyana","guyana dollar","gyd","328"
"haiti","gourde","htg","332"
"NULL","us dollar","usd","840"
"heard and mcdonald islands","australian dollar","aud","36"
"honduras","lempira","hnl","340"
"hong kong","hong kong dollar","hkd","344"
"hungary","forint","huf","348"
"iceland","iceland krona","isk","352"
"india","indian rupee","inr","356"
"indonesia","rupiah","idr","360"
"international monetary fund (imf)","sdr","xdr","960"
"iran (islamic republic of)","iranian rial","irr","364"
"iraq","iraqi dinar","iqd","368"
"ireland","irish pound","iep","372"
"israel","new israeli sheqel","ils","376"
"italy","italian lira","itl","380"
"jamaica","jamaican dollar","jmd","388"
"japan","yen","jpy","392"
"jordan","jordanian dinar","jod","400"
"kazakhstan","tenge","kzt","398"
"kenya","kenyan shilling","kes","404"
"kiribati","australian dollar","aud","36"
"korea democratic people's republic of","north korean won","kpw","408"
"korea republic of","won","krw","410"
"kuwait","kuwaiti dinar","kwd","414"
"kyrgyzstan","som","kgs","417"
"lao people's democratic republic","kip","lak","418"
"latvia","latvian lats","lvl","428"
"lebanon","lebanese pound","lbp","422"
"lesotho","rand","zar","710"
"NULL","(financial rand)","zal","991"
