"title(s)[10][11][12][13]","year first released[10][11][14][15]","developer[14][16]","publisher[10][11][14][17][18]","regions released[10][11][12][13][19]","number of players[10][12][13][20]","esrb/elspa rating[10][17][21]","genre[10][11][15][18][22][23]"
"1080° snowboarding","1998","nintendo","nintendo","jp na pal","{4 !|1–4}","e/3+","sports/snowboarding"
"64 hanafuda: tenshi no yakusoku","1999","altron","altron","jp","1","—","card game"
"64 ōzumō","1997","bottom up","bottom up","jp","{4 !|1–4}","—","sports/wrestling/sumo"
"64 ōzumō 2","1999","bottom up","bottom up","jp","{4 !|1–4}","—","sports/wrestling/sumo"
"64 trump collection: alice no waku waku trump world","1998","bottom up","bottom up","jp","{4 !|1–4}","—","adventure/card games"
"aerofighters assault•sonic wings assaultjp","1997","paradigm entertainment","video system","jp na pal","{4 !|1–4}","k-a/3+","simulation/flight combat"
"aerogauge","1997","pacific coast power &amp; light","ascii entertainment","jp na pal","{4 !|1–4}","e/3+","racing/automotive"
"ai shogi 3","1998","i4","i4","jp","{4 !|1–4}","—","board game/strategy"
"aidyn chronicles: the first mage","2001","h2o interactive","thq","na pal","1","t/11+","adventure/role playing"
"air boarder 64","1998","human entertainment","human entertainment","jp pal","{4 !|1–4}","—/3+","sports/stunts"
"all-star baseball 99","1998","acclaim","acclaim","na pal","{4 !|1–4}","e/3+","sports/baseball"
"all-star baseball 2000","1999","acclaim","acclaim","na pal","{4 !|1–4}","e/3+","sports/baseball"
"all-star baseball 2001","2000","acclaim","acclaim","na","{4 !|1–4}","e/—","sports/baseball"
"all star tennis '99•yannick noah all star tennis '99fra","1999","smart dog","ubisoft","na pal","{4 !|1–4}","e/3+","sports/tennis"
"animal crossing•dōbutsu no morijp","2001","nintendo","nintendo","jp","1","—","simulation/living/social"
"armorines: project s.w.a.r.m.","1999","acclaim","acclaim","na pal","{4 !|1–4}","t/11+","action/adventure/3d shooter"
"army men: air combat","2000","3do","3do","na","{4 !|1–4}","t/—","action/adventure/3d shooter"
"army men: sarge's heroes","1999","3do","3do","na pal","{4 !|1–4}","t/11+","action/adventure/3d shooter"
"army men: sarge's heroes 2","2000","3do","3do","na","{4 !|1–4}","t/—","action/adventure/3d shooter"
"asteroids hyper 64","1999","syrox developments","crave entertainment","na","{4 !|1–4}","e/—","arcade/action/shooter"
"automobili lamborghini•super speed race 64jp","1997","titus software","titus softwaretaito","jp na pal","{4 !|1–4}","k-a/3+","racing/automobile"
"bakuretsu muteki bangai-ō","1999","treasure","esp","jp","1","—","action/adventure"
"bakushō jinsei 64: mezase! resort ō","1998","taito","taito","jp","{4 !|1–4}","—","board game"
"banjo-kazooie•banjo to kazooie no daibokenjp","1998","rare","nintendo","jp na pal","1","e/3+","adventure/3d platformer"
"banjo-tooie•banjo to kazooie no daiboken 2jp","2000","rare","nintendo","jp na pal","{4 !|1–4}","e/3+","adventure/3d platformer"
"bass hunter 64","1999","gear head entertainment","take-two interactive","na pal","1","e/3+","sports/fishing"
"bass masters 2000","1999","mass media","thq","na","{4 !|1–4}","e/—","sports/fishing"
"bass rush: ecogear powerworm championship","2000","visco corporation","visco corporation","jp","1","—","sports/fishing"
"batman beyond: return of the joker•batman of the future: return of the jokerpal","2000","kemco","ubisoft","na pal","1","e/3+","action/adventure"
"battletanx","1998","3do","3do","na","{4 !|1–4}","t/—","simulation/tank combat"
"battletanx: global assault","1999","3do","3do","na pal","{4 !|1–4}","t/11+","simulation/tank combat"
