"name","h&ouml;he","kanton","tourenart","schwierigkeit","datum","...bericht"
"dufourspitze (pointe dufour)","4634","vs","alpine skitour","s+ ii","29.05.2005",""
"zumsteinspitze","4563","vs/i","skitour","ws","28.05.2005",""
"dom","4545","vs","hochtour","ws- ii","26.07.2002",""
"nadelhorn","4327","vs","hochtour","ws ii","07.09.2002",""
"grand combin de grafeneire","4314","vs","hochtour","ws i","16.08.2002",""
"lenzspitze","4294","vs","nordwand","s iv","01.08.2011",""
"finsteraarhorn","4274","be/vs","alpine skitour","ws+ ii","07.04.2007",""
"zinalrothorn","4221","vs","hochtour","zs iii","26.08.2008",""
"alphubel","4206","vs","alpine skitour","ws","18.04.2003",""
"rimpfischhorn","4199","vs","alpine skitour","s iii","12.05.2008",""
"aletschhorn","4195","vs","alpine skitour","ws+ ii","20.05.2009",""
"strahlhorn","4190","vs","alpine skitour","s i","15.04.2003",""
"jungfrau","4158","be/vs","hochtour","zs ii","14.09.2002",""
"bishorn","4153","vs","hochtour","ws","23.07.2002",""
"m�nch","4107","be/vs","hochtour","zs- ii","13.09.2002",""
"grosses fiescherhorn","4049","be/vs","hochtour","ws+ ii","12.08.2005",""
"piz bernina","4049","gr","hochtour","zs iii","08.08.2003",""
"allalinhorn","4027","vs","alpine skitour","ws","14.04.2003",""
"hinter fiescherhorn","4025","vs","hochtour","ws+ ii","12.08.2005",""
"fletschhorn","3993","vs","hochtour","ws","18.07.2004",""
"eiger","3970","be","alpine skitour","ss+","02.04.2011",""
"ulrichshorn","3925","vs","hochtour","ws","12.06.2005",""
"gross wannenhorn","3906","vs","alpine skitour","ws+","08.04.2007",""
"piz pal�","3905","gr/i","hochtour","zs iii","28.07.2003",""
"aiguille d'argenti�re","3900","vs/f","alpine skitour","ss+ ii","17.04.2011",""
"mittaghorn","3892","be/vs","alpine skitour","zs","08.04.2006",""
"gr�negghorn","3860","vs","alpine skitour","zs+ ii","07.04.2006",""
"cima di jazzi","3803","vs/i","skitour","ws","13.04.2004",""
"balfrin","3796","vs","hochtour","ws ii","30.07.2004",""
"breithorn (l�tschentaler)","3785","vs","nordwand","ss iv","05.06.2005",""
"piz morteratsch","3751","gr","hochtour","ws- i","06.07.2002",""
"balmhorn","3699","be/vs","hochtour","zs iii","03.07.2005",""
"wetterhorn","3692","be","skitour","ws+","08.05.2008",""
"doldenhorn","3638","be","hochtour","zs iii","19.06.2005",""
"dammastock","3630","ur/vs","skitour","ws+","13.05.2011",""
"altels","3629","be","alpine skitour","s ii","14.04.2009",""
"grosses bigerhorn","3626","vs","hochtour","ws ii","30.07.2004",""
"morgenhorn","3623","be","hochtour","zs ii","26.06.2005",""
"t�di","3614","gl/gr","alpine skitour","zs","16.03.2003",""
"schneestock","3608","ur/vs","skitour","ws","13.05.2011",""
"rhonestock","3589","ur/vs","skitour","zs","13.05.2011",""
"galenstock","3586","ur/vs","alpine skitour","zs i","26.02.2003",""
"pointes de mourti","3564","vs","hochtour","ws ii","19.07.2003",""
"monte leone","3553","vs/i","alpine skitour","zs iii","22.03.2009",""
"aiguille de la varappe","3519","vs","alpine klettertour","6b","26.08.2007",""
"vorder galmihorn","3517","vs","alpine skitour","ws","08.04.2007",""
"tiefenstock","3515","ur/vs","alpine skitour","s- i","15.05.2005",""
"sustenhorn","3503","be/ur","skitour","zs","07.05.2009",""
"breithorn (simplon)","3438","vs","alpine skitour","ws","22.03.2009",""
"gw�chtenhorn","3420","be/ur","skitour","s","07.05.2009",""
"hinter tierberg (n-gipfel)","3418","be/ur","alpine skitour","ws","03.05.2009",""
"piz kesch","3418","gr","alpine skitour","zs- i","26.02.2006",""
"rheinwaldhorn","3402","gr/ti","hochtour","ws+ ii","14.09.2003",""
"piz calderas","3397","gr","skitour","ws","05.04.2009",""
"piz platta","3392","gr","alpine skitour","s ii","09.04.2009",""
"piz d'err","3378","gr","skitour","ws","06.04.2009",""
"fr�ndenhorn","3369","be","hochtour","s- iv","18.06.2006",""
"piz picuogl","3333","gr","skitour","ws ii","05.04.2009",""
"oberalpstock","3328","gr/ur","skitour","s+","26.03.2007",""
"tschima da flix","3316","gr","skitour","ws","05.04.2009",""
"stucklistock","3313","ur","alpine skitour","ss+ ii","17.02.2008",""
"piz buin grond","3312","gr/a","alpine skitour","zs ii","17.02.2007",""
"mittler tierberg","3311","be/ur","alpine skitour","ws","03.05.2009",""
"gross sch�rhorn","3295","ur","skitour","zs i","27.04.2008",""
"pizzo tambo","3279","gr/i","skitour","zs","03.06.2005",""
"bas�dino","3274","ti/i","alpine skitour","s","10.02.2011",""
"clariden","3268","gl/ur","skitour","ws+","09.03.2003",""
"gross d�ssi","3256","gr/ur","skitour","ss","01.02.2011",""
"piz jenatsch","3251","gr","skitour","zs i","06.04.2009",""
"wildhorn","3248","be/vs","skitour","zs","12.01.2012",""
"ringelspitz","3247","gr/sg","hochtour","zs iv","28.09.2003",""
"titlis","3238","be/ow","alpine skitour","ss","01.04.2007",""
"rorspitzli","3220","ur","alpine skitour","zs+ i","18.03.2007",""
"gw�chtenhorn","3215","be","alpine skitour","ss- iii","10.02.2008",""
"gross bielenhorn","3210","ur","alpine klettertour","6b+","21.08.2008",""
"piz timun","3209","gr/i","skitour","s i","18.03.2009",""
"piz d'agnel","3205","gr","skitour","ws+","05.04.2009",""
"winterstock","3203","ur","alpine skitour","ss+ iv","26.03.2011",""
"gross spannort","3198","ur","skitour","s ii","29.01.2008",""
"piz surgonda","3197","gr","skitour","ws","04.04.2009",""
"bortelhorn","3194","vs/i","skitour","zs ii","21.03.2009",""
"pizzo rotondo","3192","ti/vs","skitour","s+ i","22.02.2007",""
"piz sarsura","3178","gr","skitour","zs","05.05.2011",""
"signalhorn","3174","gr/a","alpine skitour","zs","17.02.2007",""
"piz della pal�","3172","gr/i","skitour","zs","18.03.2009",""
"hausstock","3158","gr","skitour","s","18.02.2003",""
"piz traunter ovas","3152","gr","skitour","ws","04.04.2009",""
"piz terri","3149","gr/ti","hochtour","ws+ ii","15.09.2003",""
"chli spannort","3140","ur","alpine skitour","zs+ ii","19.02.2011",""
