"rank","company","country","industry","sales  ($bil)","profits  ($bil)","assets  ($bil)","market  value ($bil)"
"1","hsbc  holdings","united    kingdom","banking","146.50","19.13","2348.98","180.81"
"2","general  electric","united    states","conglomerates","172.74","22.21","795.34","330.93"
"3","bank  of america","united    states","banking","119.19","14.98","1715.75","176.53"
"4","jpmorgan  chase","united    states","banking","116.35","15.37","1562.15","136.88"
"5","exxonmobil","united    states","oil &amp; gas operations","358.60","40.61","242.08","465.51"
"6","royal  dutch shell","netherlands","oil &amp; gas operations","355.78","31.33","266.22","221.09"
"7","bp","united    kingdom","oil &amp; gas operations","281.03","20.60","236.08","204.94"
"8","toyota  motor","japan","consumer durables","203.80","13.99","276.38","175.08"
"9","ing  group","netherlands","insurance","197.93","12.65","1932.15","75.78"
"10","berkshire  hathaway","united    states","diversified financials","118.25","13.21","273.16","216.65"
"10","royal  bank of scotland","united    kingdom","banking","108.45","14.62","3807.51","76.64"
"12","at&amp;t","united    states","telecommunications services","118.93","11.95","275.64","210.22"
"13","bnp  paribas","france","banking","116.16","10.71","2494.41","81.90"
"14","allianz","germany","insurance","139.12","10.90","1547.48","80.30"
"15","total","france","oil &amp; gas operations","199.74","19.24","165.75","181.80"
"16","wal-mart  stores","united    states","retailing","378.80","12.73","163.38","198.60"
"17","chevron","united    states","oil &amp; gas operations","203.97","18.69","148.79","179.97"
"18","american  intl group","united    states","insurance","110.06","6.20","1060.51","118.20"
"19","gazprom","russia","oil &amp; gas operations","81.76","23.30","201.72","306.79"
"20","axa  group","france","insurance","151.70","7.75","1064.67","70.33"
"21","banco  santander","spain","banking","72.26","10.02","1332.72","113.27"
"22","conocophillips","united    states","oil &amp; gas operations","171.50","11.89","177.76","129.15"
"23","goldman  sachs group","united    states","diversified financials","87.97","11.60","1119.80","67.16"
"24","citigroup","united    states","banking","159.23","3.62","2187.63","123.44"
"25","barclays","united    kingdom","banking","79.70","8.76","2432.34","62.43"
"26","edf  group","france","utilities","81.60","7.69","271.66","170.81"
"27","e.on","germany","utilities","94.04","9.86","200.84","126.22"
"28","eni","italy","oil &amp; gas operations","119.27","13.70","128.15","127.38"
"29","petrobras-petróleo  brasil","brazil","oil &amp; gas operations","87.52","11.04","129.98","236.67"
"30","petrochina","china","oil &amp; gas operations","88.24","18.21","111.70","546.14"
