"date","company","total laid off","industry"
"mm/dd/yyyy","company name","####","industry"
"1/28/2009","starbucks","6700","restaurants"
"1/28/2009","boeing","10000","aerospace"
"1/28/2009","time warner","1500","media"
"1/27/2009","target","1000","retailing"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"1/27/2009","masco","600","construction"
"1/26/2009","ibm","2800","software"
"1/26/2009","texas  instruments","3400","semiconductors"
"1/26/2009","lincoln  national","540","insurance"
"1/26/2009","caterpillar","20814","capital goods"
"1/26/2009","general motors","9758","durables"
"1/26/2009","home depot","7000","retailing"
"1/26/2009","pfizer","19800","pharmaceuticals"
"1/26/2009","sprint nextel","8000","telecommunications"
"1/23/2009","abercrombie &amp; fitch","50","retailing"
"1/23/2009","deere &amp; company","662","capital goods"
"1/23/2009","harley-davidson","1100","consumer durables"
"1/22/2009","microsoft","5000","software"
"1/22/2009","huntsman","1665","chemicals"
"1/21/2009","burlington santa fe","2500","transportation"
"1/21/2009","ual","1000","transportation"
"1/21/2009","spx","400","conglomerates"
"1/21/2009","intel","5000","semiconductors"
"1/21/2009","walt disney","600","media"
"1/21/2009","wynn resorts","53","leisure"
"1/21/2009","eaton","5609","capital goods"
"1/20/2009","clear channel","1850","media"
"1/20/2009","deere &amp; co.","160","capital goods"
"1/16/2009","conocophillips","1300","oil &amp; gas"
"1/16/2009","hertz global holdings","4000","business services"
"1/16/2009","wellpoint","600","health care"
"1/16/2009","advanced micro devices","1700","semiconductors"
"1/15/2009","xerox","275","business services"
"1/15/2009","meadwestvaco","2000","materials"
"1/15/2009","autodesk","750","software"
"1/15/2009","marshall &amp; ilsley","830","banking"
"1/15/2009","general electric","1000","conglomerates"
"1/14/2009","ecolab","1000","chemicals"
"1/14/2009","delta air lines","2000","transportation"
"1/14/2009","motorola","4000","technology"
"1/14/2009","google","100","software"
"1/13/2009","keycorp","200","banking"
"1/13/2009","newell rubbermaid","75","household"
"1/13/2009","cummins","1300","capital goods"
"1/12/2009","textron","2665","conglomerates"
"1/12/2009","mosaic","1000","chemicals"
"1/12/2009","best buy","500","retailing"
"1/12/2009","precision castparts","40","defense"
"1/9/2009","oracle","500","software"
"1/9/2009","smithfield  foods","75","food"
"1/9/2009","freeport-mcmoran copper &amp; gold","2750","materials"
"1/8/2009","union pacific","230","transportation"
"1/8/2009","general dynamics","179","defense"
"1/7/2009","walgreen","1000","retailing"
"1/7/2009","emc","2400","technology"
"1/6/2009","alcoa","13500","materials"
"1/5/2009","cigna","1100","health care"
"1/5/2009","united    states steel","4225","materials"
"12/31/2008","mohawk industries","160","consumer durables"
"12/31/2008","tyson foods","120","food"
"12/31/2008","target","132","retailing"
"12/30/2008","allegheny technologies","323","materials"
"12/30/2008","motorola","400","technology"
"12/23/2008","ula (boeing lockheed martin)","172","joint venture"
"12/23/2008","johnson controls","125","consumer durables"
"12/23/2008","las vegas  sands","11500","leisure"
"12/22/2008","parker-hannifin","405","capital goods"
"12/19/2008","genworth financial","1000","insurance"
"12/19/2008","electronic arts","1000","software"
"12/19/2008","sovereign bancorp","1000","banking"
"12/18/2008","omnicom group","3145","media"
"12/17/2008","ryder system","3100","services"
"12/17/2008","western digital","2500","technology"
"12/17/2008","aetna","1000","health care"
"12/17/2008","parker-hannifin","46","capital goods"
"12/17/2008","bristol-myers squibb","3700","pharmaceuticals"
"12/16/2008","cbs","30","media"
"12/15/2008","merrill lynch","400","financials"
"12/15/2008","charles schwab","100","financials"
"12/13/2008","berkshire hathaway","345","finance"
"12/12/2008","international paper","2050","materials"
"12/11/2008","bank of america","35000","banking"
"12/11/2008","whirlpool","250","durables"
"12/10/2008","mohawk industries","105","durables"
"12/10/2008","procter &amp; gamble","320","household"
"12/09/2008","praxair","1600","chemicals"
"12/08/2008","anheuser-busch co.","1400","food"
"12/08/2008","3m","2300","conglomerates"
"12/08/2008","wyndham worldwide","4000","leisure"
"12/08/2008","dow chemical","5000","chemicals"
"12/05/2008","legg mason","200","financials"
"12/05/2008","cablevision","100","media"
"12/05/2008","staples","140","retailing"
"12/04/2008","steel dynamics","65","materials"
"12/04/2008","windstream","170","telecommunications"
"12/04/2008","general electric","500","conglomerates"
"12/04/2008","e.i. du pont de nemours","2500","chemicals"
"12/04/2008","at&amp;t","12000","telecommunications"
"12/03/2008","united technologies","350","conglomerates"
"12/03/2008","gannett","2000","media"
"12/03/2008","adobe systems","600","software"
"12/03/2008","jefferies group","300","financials"
"12/03/2008","viacom","850","media"
"12/01/2008","jpmorgan chase","9200","banking"
"12/01/2008","pepsico","87","food"
"11/25/2008","dana holding","50","durables"
"11/24/2008","blackrock","10","financials"
"11/21/2008","western union","200","business services"
"11/20/2008","bank of new york  mellon","1800","banking"
"11/20/2008","boeing","800","aerospace"
"11/17/2008","citigroup","52000","banking"
"11/14/2008","sun microsystems","6000","technology"
"11/12/2008","applied materials","1800","technology"
"11/12/2008","morgan stanley","2000","finance"
"11/12/2008","liberty  media","910","retailing"
"11/11/2008","ak steel holding","800","materials"
"11/7/2008","ford motor","2600","durables"
"11/6/2008","mattel","1000","household"
"11/6/2008","mgm mirage","400","leisure"
"11/4/2008","hartford  financial services group","500","finance"
