"saint","anglican","ethiopian","orthodox","catholic","non-historical"
"abraham the syrian","--","yes","--","--","--"
"adalbert of magdeburg","--","--","--","yes","--"
"adalbert of prague","--","--","--","yes","--"
"adelaide of italy","--","--","--","yes","--"
"pope adeodatus i","--","--","--","yes","--"
"adrian of nicomedia","--","--","yes","yes","--"
"pope adrian iii","--","--","--","yes","--"
"pope agapitus i","--","--","--","yes","--"
"pope agatho","--","--","--","yes","--"
"agnes","--","--","--","yes","--"
"aidan of lindisfarne","yes","--","--","yes","--"
"alban","yes","--","yes","yes","--"
"pope alexander i","--","--","--","yes","--"
"alphege","--","--","--","yes","--"
"ambrose of milan","yes","--","yes","yes","--"
"pope anacletus","--","--","--","yes","--"
"pope anastasius i","--","--","--","yes","--"
"andrew","yes","yes","yes","yes","--"
"pope anicetus","--","--","--","yes","--"
"anselm","yes","--","--","yes","--"
"pope antheros","--","--","--","yes","--"
"anthony the great","--","yes","yes","yes","--"
"anthony of padua","yes","--","--","yes","--"
"athanasius of alexandria","yes","yes","yes","yes","--"
"augustine of hippo","yes","--","--","yes","--"
"augustine of canterbury","yes","--","--","yes","--"
"barbara[?]","--","yes","yes","--","possible"
"barnabas","yes","yes","yes","yes","--"
"bartholomew","yes","--","--","yes","--"
"basil the great","yes","--","yes","--","--"
"benedict","--","--","--","yes","--"
"benedict of aniane[?]","--","--","--","yes","--"
"pope benedict ii","--","--","--","yes","--"
"bernard of clairvaux","yes","--","--","yes","--"
"birgitta","--","--","--","yes","--"
"bride","--","--","--","yes","--"
"bride of the isles","--","--","--","yes","--"
"bridget","--","--","--","yes","--"
"brigid of ireland","--","--","--","yes","--"
"brigid of kildare","--","--","--","yes","--"
"brigit","--","--","--","yes","--"
"boniface","yes","--","yes","yes","--"
"pope boniface i","--","--","--","yes","--"
"pope boniface iv","--","--","--","yes","--"
"bruno of querfurt","--","--","--","yes","--"
"pope caius","--","--","--","yes","--"
"pope callistus i","--","--","--","yes","--"
"casimir","--","--","--","yes","--"
"catherine of alexandria","--","--","--","yes","--"
"catherine of siena","yes","--","--","yes","--"
"pope celestine i","--","--","--","yes","--"
"pope celestine v","--","--","--","yes","--"
"charlie","--","--","--","yes","--"
"christopher","--","--","--","yes","--"
"pope clement i","--","--","--","yes","--"
"columba","yes","--","--","yes","--"
"columbanus","--","--","--","yes","--"
"pope cornelius","--","--","--","yes","--"
"cunigunde of luxemburg[?]","--","--","--","yes","--"
"cyril apostle to the slavs","??","??","yes","??","--"
"cyril of alexandria","yes","yes","yes","yes","--"
"cyril of jerusalem","yes","yes","yes","yes","--"
