"grad","gipfel","h&ouml;he","kanton","entfernung"
"153.4","charenstock","2422","gl","53.85 km"
"153.5","planggenstock","1675","gl","31.34 km"
"154.0","wageten","1755","gl","32.95 km"
"154.4","rautispitz","2283","gl","38.67 km"
"155.0","wiggis","2282","gl","39.18 km"
"155.9","b&auml;rensolspitz","1831","gl","34.72 km"
"155.9","lachnerstock","1428","sz","29.87 km"
"156.1","br&uuml;cklerbr&uuml;ggler","1777","gl","32.61 km"
"157.5","gumenstock","2256","gl","39.08 km"
"158.1","chli gumen","2245","gl","38.96 km"
"158.1","ch&ouml;pfenberg","1876","gl/sz","31.96 km"
"159.0","schijen","2259","gl","38.85 km"
"159.6","isikerberg","768","zh","0.73 km"
"159.7","br&uuml;nnelistock","2133","gl/sz","35.77 km"
"160.3","bockmattli","1932","sz","33.69 km"
"160.3","schwander grat","2883","gl","45.14 km"
"160.5","rossalpelispitz","2075","gl/sz","35.90 km"
"160.5","ruchen","2901","gl","44.22 km"
"160.7","ebnerberg","864","zh","5.00 km"
"160.7","plattenberg","2082","gl/sz","34.94 km"
"161.3","gl&auml;rnisch","2915","gl","45.42 km"
"161.4","schiberg","2044","gl/sz","34.38 km"
"161.6","zindlenspitz","2097","gl/sz","36.29 km"
"162.4","b&auml;chistock","2914","gl","45.82 km"
"162.4","lachenstock","2027","gl/sz","37.26 km"
"162.5","br&uuml;schstockb&uuml;gel","1489","sz","32.41 km"
"162.8","inner f&uuml;rberg","2627","gl","44.27 km"
"163.2","b&auml;chihorn","2637","gl","45.32 km"
"163.8","usser f&uuml;rberg","2605","gl","43.95 km"
"164.4","redertenstock","2292","gl/sz","38.89 km"
"164.7","mutteristock","2294","gl/sz","38.89 km"
"166.0","spitzberg","1087","sz","29.41 km"
"166.3","gugelberg","1146","sz","31.71 km"
"166.7","hinter gassenstock","2541","gl","47.13 km"
"167.0","ochsenchopf","2179","gl/sz","39.54 km"
"167.1","b&ouml;s fulen","2802","gl/sz","47.78 km"
"168.0","grisset","2721","sz","48.27 km"
"168.1","wannenst&ouml;ckli","1988","gl/sz","39.39 km"
"168.8","h&ouml;ch turm","2666","sz","51.46 km"
"169.1","schijen","2610","gl/sz/ur","52.81 km"
"169.6","bifertenstockdurschin","3419","gl/gr","65.76 km"
"169.8","gross aubrig","1695","sz","31.13 km"
"170.3","pfannenstock","2573","sz","47.92 km"
"170.4","turner","2069","sz","36.96 km"
"170.8","silberentw&auml;renen-r&auml;ui","2319","sz","44.41 km"
"171.1","diethelmfluebrig","2093","sz","36.61 km"
"171.5","gemsfairenstock","2972","gl/ur","59.13 km"
"171.6","sandgipfel","3390","gl","63.75 km"
"171.7","w&auml;nifirst","2004","sz","39.24 km"
"171.8","gantspitz","1970","sz","38.50 km"
"172.3","glarner t&ouml;di","3586","gl","64.54 km"
"172.3","piz russeint&ouml;di","3614","gl/gr","64.54 km"
"172.6","speichstock","2967","gl/ur","59.38 km"
"172.7","chli aubrig","1642","sz","31.36 km"
"172.7","rot nossen","2502","sz/ur","54.25 km"
"172.9","t&uuml;fels st&ouml;ck","2961","gl/ur","59.71 km"
"173.0","fl&auml;schenspitz","2073","sz","40.16 km"
"173.4","bocktschingel","3079","gl/ur","60.17 km"
"173.5","l&auml;ckistock","2486","ur","54.80 km"
"174.3","lauiberg","2057","sz","41.62 km"
"174.5","rinderweidhorn","1327","sz","27.78 km"
"174.9","mieserenstock","2199","sz","42.88 km"
"175.1","clariden","3268","gl/ur","60.83 km"
"175.7","leiterenstollen","1789","sz","37.99 km"
"176.3","biet","1966","sz","39.00 km"
"176.3","chl&auml;bd&auml;cher","2175","sz","42.48 km"
"176.6","r&uuml;tistein","2025","sz","41.65 km"
"177.0","unteriberg ober weid(andere)","1608","sz","38.32 km"
"177.1","tw&auml;riberg","2117","sz","41.74 km"
"177.3","druesberg","2282","sz","42.66 km"
"178.0","bocktschingelgrat","3207","ur","62.94 km"
"178.3","forstberg","2215","sz","43.02 km"
"178.5","chli sch&auml;rhorn","3234","ur","62.18 km"
"179.7","alpler horn","2380","ur","53.05 km"
"179.7","chalchschijen","2830","ur","63.63 km"
"179.9","griessstockhinter griessstock","2734","ur","61.84 km"
