"publication","number of transactions","number of journalists / clients  positively identified using services"
"daily mail","952","58"
"sunday people","802","50"
"daily mirror","681","45"
"mail on sunday","266","33"
"news of the world","182","19"
"sunday mirror","143","25"
"best magazine","134","20"
"evening standard","130","1"
"the observer","103","4"
"daily sport","62","4"
"sunday times","52","7"
"the people","37","19"
"daily express","36","7"
"weekend magazine (daily mail)","30","4"
"sunday express","29","8"
"the sun","24","4"
"closer magazine","22","5"
"sunday sport","15","1"
"night and day (mail on sunday)","9","2"
"sunday business news","8","1"
"daily record","7","2"
"saturday (express)","7","1"
"sunday mirror magazine","6","1"
"real magazine","4","1"
"woman’s own","4","2"
"daily mirror magazine","3","2"
"mail in ireland","3","1"
"daily star","2","4"
"marie claire","2","1"
"personal magazine","1","1"
"sunday world","1","1"
