"fianna fail","NULL","total votes","","NULL"
"fine gael","NULL","total votes","","NULL"
"labour party","NULL","total votes","","NULL"
"green party","NULL","total votes","","NULL"
"independents","NULL","total votes","","NULL"
"socialist party","NULL","total votes","","NULL"
"workers party","NULL","total votes","","NULL"
"other","NULL","total votes","","NULL"
"virtual candidate elected on agenda","NULL","total votes","","NULL"
"sinn f�in","NULL","total votes","","NULL"
"fis nua","NULL","total votes","","NULL"
