"hospital name","city","staffedbeds","totaldischarges","patientdays","gross patientrevenue ($000)"
"6th medical group - macdill air force base","macdill air force base","0","0","0","$0"
"96th medical group - united states air force eglin regional hospital","eglin air force base","0","0","0","$0"
"aventura hospital and medical center","aventura","407","20016","94099","$1474042"
"baptist hospital","pensacola","514","12698","63883","$954338"
"baptist hospital of miami","miami","658","35273","187353","$3200363"
"baptist medical center beaches","jacksonville beach","146","7663","34989","$412420"
"baptist medical center downtown","jacksonville","815","35656","196180","$2446002"
"baptist medical center nassau","fernandina beach","54","2920","11597","$170085"
"baptist medical center south","jacksonville","0","0","0","$0"
"bartow regional medical center","bartow","72","5205","19667","$304140"
"bascom palmer eye institute","miami","56","129","512","$290105"
"bay medical","panama city","323","16075","73444","$885854"
"bay pines va healthcare system","bay pines","0","0","0","$0"
"bayfront medical center","saint petersburg","391","16317","89116","$1188225"
"bert fish medical center","new smyrna beach","112","4396","19325","$235662"
"bethesda memorial hospital","boynton beach","401","18853","96123","$1284760"
"blake medical center","bradenton","383","12066","52338","$762747"
"boca raton community hospital","boca raton","369","15799","78072","$1430147"
"brandon regional hospital","brandon","345","25006","95134","$1754761"
"brooksville regional hospital","brooksville","244","12806","54844","$958293"
"broward general medical center","fort lauderdale","640","26723","146185","$1836106"
"cape canaveral hospital","cocoa beach","150","6039","30065","$402058"
"cape coral hospital","cape coral","291","16839","68106","$685536"
"capital regional medical center","tallahassee","198","11128","49455","$740885"
"central florida regional hospital","sanford","226","9085","41716","$632086"
"charlotte regional medical center","punta gorda","208","8223","34403","$569011"
"citrus memorial hospital","inverness","198","10370","44235","$707057"
"cleveland clinic in florida - weston","weston","155","10761","41451","$665190"
"columbia hospital","west palm beach","240","5737","20973","$472621"
"community hospital","new port richey","302","12853","55582","$982022"
"coral gables hospital","coral gables","245","5824","28839","$474907"
"coral springs medical center","coral springs","200","12850","52281","$617322"
"delray medical center","delray beach","465","16825","79175","$1508654"
"desoto memorial hospital","arcadia","49","2282","10877","$99416"
"doctors hospital","coral gables","281","7442","41171","$717301"
"doctors hospital of sarasota","sarasota","168","7153","27191","$539364"
"doctors' memorial hospital","perry","48","1308","3964","$50874"
"dr. p. phillips hospital","orlando","0","0","0","$0"
"ed fraser memorial hospital","macclenny","92","18","50","$42858"
"edward white hospital","saint petersburg","110","3605","16432","$319214"
"englewood community hospital","englewood","100","3840","14071","$274723"
"fawcett memorial hospital","port charlotte","238","10438","49202","$956591"
"flagler hospital","saint augustine","316","13795","68127","$750369"
"florida hospital altamonte","altamonte springs","0","0","0","$0"
"florida hospital apopka","apopka","0","0","0","$0"
"florida hospital carrollwood","tampa","109","4661","17702","$392350"
"florida hospital celebration health","celebration","0","0","0","$0"
"florida hospital deland","deland","156","7890","32988","$429447"
"florida hospital east orlando","orlando","0","0","0","$0"
"florida hospital fish memorial","orange city","139","9110","38819","$467956"
"florida hospital flagler","palm coast","99","6280","25693","$429160"
"florida hospital heartland medical center","sebring","159","11573","47973","$604027"
"florida hospital kissimmee","kissimmee","0","0","0","$0"
"florida hospital lake placid","lake placid","0","0","0","$0"
"florida hospital memorial medical center","daytona beach","0","0","0","$0"
"florida hospital oceanside","ormond beach","396","12833","55311","$715830"
"florida hospital orlando","orlando","2067","116729","548711","$8014197"
"florida hospital pepin heart institute","tampa","0","0","0","$0"
"florida hospital tampa","tampa","475","20395","104567","$1450929"
"florida hospital waterman","tavares","204","13495","55687","$700537"
"florida hospital zephyrhills","zephyrhills","154","8942","36178","$671308"
"florida state hospital","chattahoochee","58","122","5007","$72678"
"fort walton beach medical center","fort walton beach","257","10308","52313","$1174213"
"good samaritan medical center","west palm beach","333","8387","38264","$530112"
"gulf breeze hospital","gulf breeze","67","4251","16482","$304947"
"gulf coast medical center","panama city","176","12986","43939","$929555"
"gulf coast medical center","fort myers","349","23019","97473","$1015964"
"h. lee moffitt cancer center & research institute","tampa","206","8710","53662","$1427776"
"health central","ocoee","171","11728","46728","$547614"
"healthmark regional medical center","defuniak springs","50","1300","4118","$32547"
"healthpark medical center","fort myers","0","0","0","$0"
"heart of florida regional medical center","davenport","194","11910","44362","$770180"
"helen ellis memorial hospital","tarpon springs","168","4831","19439","$253459"
"hialeah hospital","hialeah","362","11842","57944","$736277"
"highlands regional medical center","sebring","126","5498","22867","$281353"
"holmes regional medical center","melbourne","666","29033","166588","$1846462"
"holy cross hospital","fort lauderdale","571","17237","83180","$1674177"
"homestead hospital","homestead","142","10904","44792","$732599"
"imperial point medical center","fort lauderdale","180","7318","29015","$425742"
"indian river memorial hospital","vero beach","335","13756","62337","$473784"
"jackson hospital","marianna","88","3342","14721","$123955"
"jackson memorial hospital","miami","1724","57431","384289","$4153632"
"jackson north medical center","north miami beach","0","0","0","$0"
"jackson south community hospital","miami","0","0","0","$0"
"james a. haley veterans' hospital","tampa","0","0","0","$0"
"jay hospital","jay","55","1188","5357","$49548"
"jfk medical center","atlantis","448","26589","115201","$2239441"
"jupiter medical center","jupiter","163","10089","46800","$778496"
"kendall regional medical center","miami","412","17298","75778","$1383071"
"kindred hospital melbourne","melbourne","60","122","3228","$14204"
"lake city medical center","lake city","67","4429","19801","$276781"
"lake city va medical center","lake city","0","0","0","$0"
"lake wales medical center","lake wales","131","6017","22611","$369337"
"lakeland regional medical center","lakeland","851","39283","180512","$2213354"
"lakeside medical center","belle glade","70","2996","12189","$124936"
"lakewood ranch medical center","lakewood ranch","120","4965","15046","$232345"
"largo medical center","largo","380","16697","78330","$1392144"
"larkin community hospital","south miami","130","6320","29102","$204887"
"lawnwood regional medical center & heart institute","fort pierce","341","14480","72627","$1359408"
"lee memorial hospital","fort myers","931","38119","176015","$1868241"
"leesburg regional medical center","leesburg","309","17452","73696","$821405"
"lehigh regional medical center","lehigh acres","88","3937","15724","$267050"
"lower keys medical center","key west","152","5098","17953","$229597"
"lucerne hospital","orlando","0","0","0","$0"
"m.d. anderson cancer center orlando","orlando","0","0","0","$0"
"malcom randall va medical center","gainesville","0","0","0","$0"
"manatee memorial hospital","bradenton","319","17210","73413","$829660"
"martin memorial hospital south","stuart","0","0","0","$0"
"martin memorial medical center","stuart","344","18027","75916","$1335558"
"mayo clinic florida","jacksonville","214","11832","58280","$871121"
"mayo clinic hospital","jacksonville","0","0","0","$0"
"mease countryside hospital","safety harbor","307","17394","73248","$901509"
"mease dunedin hospital","dunedin","124","5894","26482","$340225"
"medical center of daytona beach","daytona beach","550","22675","109972","$1101180"
"medical center of port orange","port orange","0","0","0","$0"
"memorial hospital","jacksonville","415","20400","118647","$2016547"
"memorial hospital miramar","miramar","178","10132","42561","$681502"
"memorial hospital of tampa","tampa","180","4328","18308","$288843"
"memorial hospital pembroke","pembroke pines","301","6359","28373","$644773"
"memorial hospital west","pembroke pines","304","21386","101622","$1705009"
"memorial regional hospital","hollywood","993","34817","187931","$3134352"
"memorial regional hospital south","hollywood","0","0","0","$0"
"mercy hospital","miami","343","14517","73169","$1094492"
"metropolitan hospital of miami","miami","146","4765","20468","$184456"
"miami jewish health systems","miami","494","437","2160","$77052"
"miami va healthcare system - bruce w. carter department of veterans affairs medical center","miami","0","0","0","$0"
"morton plant hospital","clearwater","666","25691","104639","$1533462"
"morton plant north bay hospital","new port richey","226","5899","26510","$301249"
"mount sinai medical center","miami beach","668","19379","117503","$1865143"
"munroe regional medical center","ocala","399","24235","111236","$1292403"
"naval hospital jacksonville","jacksonville","0","0","0","$0"
"naval hospital pensacola","pensacola","0","0","0","$0"
"nch downtown naples hospital","naples","681","36459","134771","$1390147"
"nch north naples hospital","naples","0","0","0","$0"
"north broward medical center","deerfield beach","343","13369","67681","$827015"
"north florida regional medical center","gainesville","325","24096","108307","$2144666"
"north okaloosa medical center","crestview","110","6249","22536","$610129"
"north shore medical center","miami","778","23416","128476","$1553639"
"north shore medical center - fmc campus","fort lauderdale","434","9083","49815","$839316"
"northside hospital & tampa bay heart institute","saint petersburg","227","9822","49487","$864161"
"northwest medical center","margate","215","13235","52872","$880473"
"oak hill hospital","brooksville","224","13763","60888","$1271156"
"ocala regional medical center","ocala","270","15385","65729","$1140380"
"orange park medical center","orange park","255","14656","68685","$1442447"
"orlando regional medical center","orlando","1401","94474","415164","$5712584"
"osceola regional medical center","kissimmee","235","17107","78457","$1491939"
"palm bay community hospital","palm bay","0","0","0","$0"
"palm beach gardens medical center","palm beach gardens","199","9818","50046","$858565"
"palm springs general hospital","hialeah","247","7213","37571","$234281"
"palmetto general hospital","hialeah","360","20210","102029","$1433270"
"palms of pasadena hospital","saint petersburg","307","4616","21650","$282611"
"palms west hospital","loxahatchee","175","12330","50132","$769062"
"parrish medical center","titusville","210","7766","37953","$528401"
"pasco regional medical center","dade city","120","4941","15651","$334194"
"peace river regional medical center","port charlotte","189","9421","42962","$501156"
"physicians regional - collier boulevard","naples","0","0","0","$0"
"physicians regional - pine ridge","naples","201","8659","34037","$729015"
"plantation general hospital","plantation","264","18155","55986","$644360"
"putnam community medical center","palatka","99","5484","27381","$245301"
"raulerson hospital","okeechobee","100","4791","21114","$276180"
"reception and medical center","lake butler","0","0","0","$0"
"regional medical center bayonet point","hudson","268","13951","64123","$1145609"
"sacred heart hospital","pensacola","466","29612","124978","$1366000"
"sacred heart hospital on the emerald coast","miramar beach","55","4694","13752","$351657"
"sacred heart hospital on the gulf","port saint joe","19","561","1642","$25980"
"saint anthony's hospital","saint petersburg","280","13162","61958","$643939"
"saint cloud regional medical center","saint cloud","84","4969","20964","$253313"
"saint joseph's hospital","tampa","881","54866","231629","$2550669"
"saint joseph's hospital - north","lutz","0","0","0","$0"
"saint joseph's women's hospital","tampa","0","0","0","$0"
"saint lucie medical center","port saint lucie","229","11572","50467","$834928"
"saint mary's medical center","west palm beach","463","14539","94524","$1069673"
"saint petersburg general hospital","saint petersburg","219","8904","43435","$744144"
"saint vincent's medical center riverside","jacksonville","518","26849","126190","$1579212"
"saint vincent's medical center southside","jacksonville","313","7700","38804","$363540"
"santa rosa medical center","milton","129","4035","14056","$212165"
"sarasota memorial hospital","sarasota","786","22919","107630","$1603759"
"sebastian river medical center","sebastian","117","5178","21436","$394963"
"seven rivers regional medical center","crystal river","128","7550","26497","$384152"
"shands at the university of florida","gainesville","870","42972","224426","$2437782"
"shands jacksonville","jacksonville","607","30810","151764","$1836668"
"shands lake shore regional medical center","lake city","99","4240","18970","$151970"
"south bay hospital","sun city center","112","6606","31507","$466246"
"south florida baptist hospital","plant city","147","6834","25757","$349017"
"south lake hospital","clermont","104","7629","28251","$508835"
"south miami hospital","south miami","444","15562","90088","$1580026"
"south seminole hospital","longwood","0","0","0","$0"
"spring hill regional hospital","spring hill","0","0","0","$0"
"sun coast hospital - largo medical center","largo","177","4886","22705","$199048"
"sylvester comprehensive cancer center/umhc","miami","40","1358","7673","$967366"
"tallahassee memorial hospital","tallahassee","603","25369","110628","$1396970"
"tampa general hospital","tampa","915","36709","251633","$4164666"
"the villages regional hospital","the villages","192","10548","43776","$429035"
"town and country hospital","tampa","201","4476","20674","$281501"
"tri-county hospital williston","williston","20","573","1191","$11563"
"twin cities hospital","niceville","57","2042","7227","$253687"
"university hospital and medical center","tamarac","317","7309","31377","$551302"
"university of miami hospital","miami","506","19331","117184","$1445409"
"venice regional medical center","venice","312","11373","50682","$729106"
"viera hospital","viera","0","0","0","$0"
"wellington regional medical center","wellington","158","13111","46815","$590063"
"west boca medical center","west boca raton","195","9972","46008","$483662"
"west florida hospital","pensacola","531","11468","54009","$964341"
"west kendall baptist hospital","miami","0","0","0","$0"
"west marion community hospital","ocala","0","0","0","$0"
"west palm beach va medical center","west palm beach","0","0","0","$0"
"westchester general hospital","miami","197","5930","34770","$166177"
"westside regional medical center","plantation","224","13235","56638","$940611"
"winter haven hospital","winter haven","527","16114","73581","$1035296"
"winter park memorial hospital","winter park","0","0","0","$0"
"wuesthoff medical center - melbourne","melbourne","115","6172","25500","$250933"
"wuesthoff medical center - rockledge","rockledge","291","12481","56812","$569969"
"t o t a l","&nbsp;","53155","2372982","11142895","$160491061"
