"adam av bremen","1040–85","historieskriver"
"hildegard fra bingen","1098–1179","abbedisse klostergrunnlegger visjonær-profetisk forfatter komponist urtemedisiner og naturforsker"
"johannes regiomontanus","1436–76","astronom og matematiker"
"albrecht dürer","1471–1528","maler tegner kobberstikker tresnittkunstner; det største navn i tysk kunsthistorie"
"martin luther","1483–1546","prest; opphavsmann til reformasjonen reformerte også det høytyske skriftspråket gjennom bibel-oversettelsen"
"thomas münzer","før 1491–1525","prest og opprører; en av lederne under bondekrigen"
"hans sachs","1494–1576","skomaker og dikter; en av mestersangerne fra nürnberg udødeliggjort i richard wagners opera"
"hans holbein d.y.","1497–1543","maler tegner og grafiker"
"johannes kepler","1571–1630","astronom og matematiker; fant lovene for planetenes bevegelser"
"gottfried wilhelm leibniz","1646–1716","filosof og matematiker; ledende rasjonalist"
"johann sebastian bach","1685–1750","komponist; barokkmusikkens store hovedfigur"
"georg friedrich händel","1685–1759","komponist; skrev bl.a. water music (ca. 1717)"
"immanuel kant","1724–1804","filosof; en av filosofiens mast ruvende skikkelser"
"johann gottfried von herder","1744–1803","filosof og forfatter; øvde stor innflytelse på tysk kultur"
"johann wolfgang van goethe","1749–1832","forfatter og naturvitenskapsmann; ansett som tysk litteraturs største dikter"
"friedrich von schiller","1759–1805","forfatter; skrev dramaer og dikt"
"wilhelm von humboldt","1767–1835","filosof språkforsker og politiker"
"alexander von humboldt","1769–1859","naturvitenskapsmann: kjent geograf og geolog"
"ludwig van beethoven","1770–1827","komponist; et av de største navn i musikkhistorien"
"georg wilhelm friedrich hegel","1770–1831","filosof; øvde store innflytelse på 1800-tallets tenkere"
"caspar david friedrich","1774–1840","maler; romantikkens store maler i tyskland"
"e. t. a. hoffmann","1776–1822","forfatter; kjent for sine fantastiske fortellinger"
"heinrich von kleist","1777–1811","dramatiker; betydelig skildrer av sjelelivet"
"carl friedrich gauss","1777–1855","matematiker fysiker og astronom; en av de mest sentrale på alle disse områder"
"karl friedrich schinkel","1781–1841","arkitekt og maler; en av nyklassisismens fremste arkitekter"
"jacob og wilhelm grimm","1785–1863 og 1786–1859","litteratur- og språkforskere; samlet og utgav tyske folkeeventyr"
"friedrich krupp","1787–1826","industrimann; grunnla krupp-konsernet"
"arthur schopenhauer","1788–1860","filosof; an av 1800-tallets mest særegne tenkere"
"helmuth carl bernhard moltke","1800–91","offiser; betydelig feltherre hvis ideer danner grunnlaget for moderne generalstabsvirksomhet"
"justus von liebig","1803–73","kjemiker; en av 1800-tallets mast betydelige vitenskapsmenn"
"felix mendelssohn-bartholdy","1809–47","komponist; en av romantikkens førende skikkelser"
"robert schumann","1810–56","komponist; en av romantikkens førende skikkelser"
"richard wagner","1813–83","komponist; operakunstens store fornyer"
"otto von bismarck","1815–98","statsmann; skaperen av det tyske rike"
"theodor mommsen","1817–1903","historiker og forfatter"
"karl marx","1818–83","filosof; marxismens opphavsmann og forfatter av kapitalen"
"clara schumann (f. wieck)","1819–96","pianist og komponist: en av 1800-tallets fremste pianister"
"friedrich engels","1820–95","filosof; medforfatter av det kommunistiske manifest"
"heinrich schliemann","1822–90","arkeolog; ledet utgravningene av troja"
"leopold kronecker","1823–91","matematiker; sentral innen tallteori og algebra"
"gustav robert kirchhoff","1824–87","fysiker; grunnlegger av den matematiske fysikk"
"georg friedrich bernhard riemann","1826–66","matematiker; meget sentral innen analyse og funksjonsteori også stor innflytelse på fysikken"
"johannes brahms","1833–97","komponist skrev bl.a. fire symfonier og ein deutsches requiem"
"gottlieb daimler","1834–1900","ingeniør; en av bilens «fedre»"
"ernst haeckel","1834–1919","biolog; arbeidet mye med utviklingslæren formulerte den biogenetiske grunnlov"
"friedrich wilhelm nietzsche","1844–1900","filosof og dikter; en av filosofiens mest omstridte skikkelser"
"carl friedrich benz","1844–1929","ingeniør; konstruerte benz-motoren som ble grunnlaget for produksjon av benz-bilene"
"georg cantor","1845–1918","matematiker; grunnlegger av mengdelæren"
"wilhelm von röntgen","1845–1923","fysiker; oppdaget røntgenstrålingen nobelprisen 1901"
"emil fischer","1852–1919","kjemiker; en av de betydeligste organiske kjemikere. nobelprisen 1902"
"max karl ernst ludwig planck","1858–1947","fysiker; viktige bidrag til kvanteteorien nobelprisen 1918"
"david hilbert","1862–1943","matematiker; viktige arbeider innen geometriens aksiomer og oppbygning"
"max weber","1864–1920","sosiolog; en av sosiologiens grunnleggere skrev bl.a. den protestantiske etikk og kapitalismens ånd (1904–05)"
"richard strauss","1864–1949","komponist og dirigent: skrev bl.a. operaen rosenkavaleren"
"rosa luxemburg","1870–1919","revolusjonær politiker: en av initiativtakerne till spartakusforbundet"
"thomas mann","1875–1955","forfatter; kjent for sine romaner og noveller. nobelprisen 1929"
"albert einstein","1879–1955","fysiker; særlig kjent for sin relativitetsteori"
"waiter gropius","1883–1969","arkitekt; en av funksjonalismens skapere"
"wilhelm furtwängler","1886–1954","dirigent; en av 1900-tallets største dirigenter"
"ludwig mies van der rohe","1886–1969","arkitekt; en av modernismens største arkitekter"
"karl von frisch","1886–1982","zoolog; særlig kjent for atferdsstudier hos bier. nobelprisen 1973"
"friedrich wilhelm murnau","1888–1931","filmregissør; stumfilmens største tyske navn"
"martin heidegger","1889–1976","filosof; førende navn innenfor eksistensfilosofien"
"walter benjamin","1892–1940","filosof; sentral marxistisk kulturteoretiker"
"wilhelm kempff","1895–1991","pianist og komponist; en av sin tids fremste tolkere av beethoven schumann og brahms"
"bertolt brecht","1898–1956","forfatter og teaterleder; kjent for sine skuespill"
"kurt weill","1900–50","komponist; kjent for sitt samarbeid med bertolt brecht"
"warner karl heisenberg","1901–76","fysiker; en av grunnleggerne av kvantefysikken særlig kjent for sin usikkerhetsrelasjon. nobelprisen 1932"
"marlene dietrich","1901–92","filmskuespiller og kabaretartist"
"theodor adorno","1903–69","filosof; innflytelsesrik estetikkteoretiker og kulturfilosof"
"konrad lorenz","1903–89","zoolog og lege; en av grunnleggerne av etologien. nobelprisen i fysiologi og medisin 1973"
"wernher von braun","1912–77","rakettforsker sentral i usas romfartsprogram"
"willy brandt","1913–92","politiker; forbundskansler 1969–74. nobels fredspris 1971 for sin tilnærmingspolitikk overfor øst-europa"
"heinrich böll","1917–85","forfatter; kjent for sine romaner og noveller; nobelprisen 1972"
"siegfried lenz","1926–","forfatter; kjent for sine romaner og noveller"
"günter grass","1927–","forfatter og billedkunstner; kjent for sine romaner og noveller nobelprisen 1999"
"christa wolf","1929–","forfatter; kjent for sine romaner og noveller"
"jürgen habermas","1929–","filosof; en hovedtalsmann for den «kritiske teori»."
"franz beckenbauer","1945–","fotballspiller; årets spiller i europa 1972 og 1976"
"anselm kiefer","1945–","billedkunstner; forløper for retningen «die neue wilden»"
"rainer werner fassbinder","1946–82","filmregissør; en av filmens produktive realister"
"daniel libeskind","1946–","arkitekt; en rekke monumentalbygg i de senere år"
"joschka fischer","1948–","politiker; den ledende politiker fra de grønne utenriksminister og visekansler 1998–2005"
"michael schumacher","1969–","racerkjører; sju verdensmesterskap i formel 1"
