"r&ouml;mischer kaiser","zeit (n. chr.)","bauprojekt"
"augustus","13 v. chr.","augustus-tempel; 2. ostkolonnaden (kleine bibliothek) des isis-tempels; s&auml;ulenhof des hathor-tempels reliefs im mammisi und an au&szlig;enwand (sankuarbereich) des isis-tempel; terrassenanlagen"
"tiberius","14 - 37","reliefs im mammisi westkolonnade und innere fassade des 2.pylons des isis-tempels; ebenso reliefs an au&szlig;enwand isis-tempel (sanktuarbereich);  reliefs im arensnuphis-tempel; torbau in der ostkolonnade im isis-tempelhof"
"claudius","41 - 54","reliefs im harendotes-tempel"
"nero","54 - 68","reliefs in westkolonnade des isis-tempels"
"domitian","81 - 96","kiosk vor dodekaschoinos-stele"
"trajan","98 - 117","kiosk vor dodekaschoinos-stele; trajan-kiosk"
"hadrian","117 - 138","kiosk vor dodekaschoinos-stele; hadrian-tor"
"marc aurel","161 - 180","reliefs im hadrian-tor; vorraum osiriszimmer (am dach des isistempels)"
"commodus","180 - 192","kartuschen im hadrian-tor"
"caracalla","211 - 217","reliefs im vestib&uuml;l der osiris-dachkapelle des isis-tempels und im hadrian-tor"
"diokletian","284 - 305","diokletian-tor; stadtmauer (?)"
