"rank","brand","value","industry"
"1","microsoft","62039","software"
"2","ge","55834","technology"
"3","coca-cola","41406","f&amp;d&amp;t"
"4","china mobile","39168","telecom"
"5","marlboro","38510","f&amp;d&amp;t"
"6","wal-mart","37567","retail"
"7","google","37445","software"
"8","ibm","36084","software"
"9","citibank","31028","bank"
"10","toyota","30201","cars"
"11","mcdonald's","28985","f&amp;d&amp;t"
"12","bof america","28155","bank"
"13","home depot","27312","retail"
"14","nokia","26538","technology"
"15","intel","25156","technology"
"16","vodafone","24072","telecom"
"17","bmw","23820","cars"
"18","disney","22232","software"
"19","ups","21829","retail"
"20","cisco","20922","technology"
"21","hp","19732","technology"
"22","tim","19551","telecom"
"23","ntt docomo","19518","telecom"
"24","louis vuitton","19479","luxury"
"25","american express","18780","finance"
"26","dell","18303","technology"
"27","gillette","17832","personal care"
"28","mercedes","17801","cars"
"29","apple","15976","technology"
"30","tesco","15532","retail"
"31","movistar","15188","telecom"
"32","verizon","14908","telecom"
"33","honda","14394","cars"
"34","yahoo!","14101","software"
"35","oracle","13913","software"
"36","hsbc","13889","bank"
"37","ford","13844","cars"
"38","ebay","13191","software"
"39","deutsche bank","13022","bank"
"40","santander","12537","bank"
"41","chevrolet","12458","cars"
"42","pfizer","12372","personal care"
"43","samsung","12028","technology"
"44","porsche","12025","cars"
"45","t-mobile","11870","telecom"
"46","budweiser","11724","f&amp;d&amp;t"
"47","pepsi","11484","f&amp;d&amp;t"
"48","starbucks","11077","f&amp;d&amp;t"
"49","nissan","10915","cars"
"50","carrefour","10803","retail"
"51","nike","10783","apparel"
"52","l'oréal","10692","personal care"
"53","morgan stanley","10619","finance"
"54","wachovia","10228","finance"
"55","merrill lynch","10073","finance"
"56","harley-davidson","9955","cars"
"57","canon","9908","technology"
"58","accenture","9786","software"
"59","chase","9716","bank"
"60","sap","9574","software"
"61","ubs","9541","bank"
"62","orange","9431","telecom"
"63","sony","9358","technology"
"64","motorola","9072","technology"
"65","goldman sachs","8863","finance"
"66","fedex","8240","retail"
"67","h&amp;m","8022","apparel"
"68","state farm","7905","finance"
"69","ikea","7206","retail"
"70","jp morgan","7078","finance"
"71","vw","6793","cars"
"72","siemens","6741","technology"
"73","cingular","6680","telecom"
"74","avon","6598","personal care"
"75","chanel","6499","luxury"
"76","ing","6353","bank"
"77","target","6135","retail"
"78","amazon","5983","software"
"79","colgate","5839","personal care"
"80","aig","5665","finance"
"81","wrigley's","5550","f&amp;d&amp;t"
"82","cartier","5548","luxury"
"83","bp","5470","oil &amp; gas"
"84","auchan","5354","retail"
"85","electronic arts","5300","software"
"86","renault","5173","cars"
"87","zara","5112","apparel"
"88","barclays","5070","bank"
"89","lexus","5050","cars"
"90","rolex","4925","luxury"
"91","allstate","4842","finance"
"92","hermès","4830","luxury"
"93","caterpillar","4747","technology"
"94","mizuho","4740","bank"
"95","wamu","4686","bank"
"96","asda","4650","retail"
"97","mitsui sumitomo","4528","finance"
"98","gucci","4370","luxury"
"99","esprit","4206","apparel"
"100","hennessy","4191","luxury"
