"n","title","year","director","imdb rating","imdb votes"
"1","the social network","2010","david fincher","8.3","45993"
"2","inception","2010","christopher nolan","8.9","333261"
"3","alice in wonderland","2010","tim burton","6.6","84086"
"4","shutter island","2010","martin scorsese","8.0","160301"
"5","how to train your dragon","2010","dean deblois","8.2","68159"
"6","toy story 3","2010","lee unkrich","8.7","121941"
"7","avatar","2009","james cameron","8.2","309270"
"8","harry potter and the half-blood prince","2009","david yates","7.3","86656"
"9","ice age: dawn of the dinosaurs","2009","carlos saldanha","7","39731"
"10","transformers: revenge of the fallen","2009","michael bay","5.9","107488"
"11","the hangover","2009","todd phillips","7.9","154719"
"12","up","2009","pete docter","8.4","140482"
"13","inglourious basterds","2009","quentin tarantino","8.4","217665"
"14","district 9","2009","neill blomkamp","8.2","181066"
"15","the dark knight","2008","christopher nolan","8.9","519149"
"16","wall·e","2008","andrew stanton","8.5","211143"
"17","gran torino","2008","clint eastwood","8.4","153744"
"18","slumdog millionaire","2008","danny boyle","8.3","203313"
"19","pirates of the caribbean: at world's end","2007","gore verbinski","7","146294"
"20","no country for old men","2007","ethan coen","8.3","222815"
"21","the departed","2007","martin scorsese","8.5","296186"
"22","casino royale","2006","martin campbell","8","184927"
"23","pan's labyrinth","2006","guillermo del toro","8.4","174313"
"24","the prestige","2006","christopher nolan","8.4","239145"
"25","the lives of others","2006","florian henckel von donnersmarck","8.5","86143"
"26","sin city","2005","frank miller","8.3","280220"
"27","batman begins","2005","christopher nolan","8.3","298081"
"28","downfall","2004","oliver hirschbiegel","8.4","92932"
"29","the incredibles","2004","brad bird","8.1","178618"
"30","the notebook","2004","nick cassavetes","8","106492"
"31","eternal sunshine of the spotless mind","2004","michel gondry","8.5","245209"
"32","million dollar baby","2004","clint eastwood","8.2","159967"
"33","the lord of the rings: the return of the king","2003","peter jackson","8.8","404167"
"34","the last samurai","2003","edward zwick","7.8","117573"
"35","the lord of the rings: the two towers","2002","peter jackson","8.7","361697"
"36","city of god","2002","fernando meirelles","8.8","188485"
"37","the lord of the rings: the fellowship of the ring","2001","peter jackson","8.8","426915"
"38","amélie","2001","jean-pierre jeunet","8.6","203136"
"39","requiem for a dream","2000","darren aronofsky","8.5","208362"
"40","gladiator","2000","ridley scott","8.4","312838"
"41","memento","2000","christopher nolan","8.7","307570"
"42","fight club","1999","david fincher","8.8","429958"
"43","the matrix","1999","andy wachowski","8.7","423173"
"44","the green mile","1999","frank darabont","8.4","226337"
"45","american beauty","1999","sam mendes","8.6","321864"
"46","armageddon","1998","michael bay","6.1","129112"
"47","saving private ryan","1998","steven spielberg","8.5","299141"
"48","american history x","1998","tony kaye","8.6","253038"
"49","l.a. confidential","1997","curtis hanson","8.4","178671"
"50","independence day","1996","roland emmerich","6.6","162072"
"51","the usual suspects","1995","bryan singer","8.7","292552"
"52","braveheart","1995","mel gibson","8.4","265922"
"53","heat","1995","michael mann","8.3","160171"
"54","toy story","1995","john lasseter","8.2","174961"
"55","the shawshank redemption","1994","frank darabont","9.2","582364"
"56","forrest gump","1994","robert zemeckis","8.7","342386"
"57","pulp fiction","1994","quentin tarantino","9","463522"
"58","leon: the professional","1994","luc besson","8.4","228374"
"59","schindler's list","1993","steven spielberg","8.9","308310"
"60","groundhog day","1993","harold ramis","8.2","152654"
"61","reservoir dogs","1992","quentin tarantino","8.4","234483"
"62","unforgiven","1992","clint eastwood","8.4","110409"
"63","terminator 2: judgment day","1991","james cameron","8.6","264472"
"64","the silence of the lambs","1991","jonathan demme","8.7","275574"
"65","goodfellas","1990","martin scorsese","8.8","255897"
"66","pretty woman","1990","garry marshall","6.7","66634"
"67","indiana jones and the last crusade","1989","steven spielberg","8.3","187473"
"68","full metal jacket","1987","stanley kubrick","8.4","169397"
"69","the princess bride","1987","rob reiner","8.1","132380"
"70","back to the future","1985","robert zemeckis","8.4","228908"
"71","star wars: episode vi - return of the jedi","1983","richard marquand","8.3","230560"
"72","e. t. the extra-terrestrial","1982","steven spielberg","7.9","113331"
"73","blade runner","1982","ridley scott","8.3","201053"
"74","raiders of the lost ark","1981","steven spielberg","8.7","256247"
"75","star wars: episode v - the empire strikes back","1980","irvin kershner","8.8","305345"
"76","the shining","1980","stanley kubrick","8.5","199489"
"77","apocalypse now","1979","francis ford coppola","8.6","189857"
"78","alien","1979","ridley scott","8.5","198951"
"79","star wars: episode iv - a new hope","1977","george lucas","8.8","348807"
"80","annie hall","1977","woody allen","8.2","72015"
"81","taxi driver","1976","martin scorsese","8.6","175498"
"82","one flew over the cuckoo's nest","1975","milos forman","8.9","241183"
"83","jaws","1975","steven spielberg","8.1","152601"
"84","nashville","1975","robert altman","7.7","9680"
"85","chinatown","1974","roman polanski","8.5","86744"
"86","the godfather part ii","1974","francis ford coppola","9","275384"
"87","the godfather","1972","francis ford coppola","9.2","452038"
"88","a clockwork orange","1971","stanley kubrick","8.5","213573"
"89","easy rider","1969","dennis hopper","7.3","34720"
"90","midnight cowboy","1968","john schlesinger","8","36136"
"91","once upon a time in the west","1968","sergio leone","8.8","84553"
"92","planet of the apes","1968","franklin j. schaffner","8","62673"
"93","bonnie and clyde","1967","arthur penn","8","44756"
"94","the graduate","1967","mike nichols","8.2","85917"
"95","the good the bad and the ugly","1966","sergio leone","9","183850"
"96","psycho","1960","alfred hitchcock","8.7","159840"
"97","12 angry men","1957","sidney lumet","8.9","138336"
"98","the night of the hunter","1955","charles laughton","8.2","28418"
"99","rebel without a cause","1955","nicholas ray","7.9","29327"
"100","casablanca","1942","michael curtiz","8.8","182487"
