"#","catcheur","nombre de règnes","jours combinés"
"1.","lex luger","5","948"
"2.","ric flair","5","811†"
"3.","blackjack mulligan","3","498"
"4.","montel vontavious porter","2","419"
"5.","greg valentine","2","391"
"6.","rick rude","1","378†"
"7.","chris benoit","5","357"
"8.","nikita koloff","1","328"
"9.","sgt. slaughter","2","305"
"10.","magnum t.a.","2","302"
"11.","wahoo mcdaniel","5","289†"
"12.","barry windham","1","283"
"13.","booker t","4","271"
"14.","ricky steamboat","4","263"
"15.","steve austin","2","240"
"15.","shelton benjamin","1","240"
"17.","sting","2","234"
"18.","jimmy snuka","1","231"
"19.","dustin rhodes","2","229†"
"20.","john cena","3","221"
"21.","roddy piper","3","220"
"22.","jeff jarrett","3","184"
"23.","harley race","1","183"
"24.","bret hart","4","181"
"25.","orlando jordan","1","173"
"26.","scott steiner","2","169"
"27.","paul jones","2","167"
"28.","eddie guerrero","2","161"
"29.","konnan","1","160"
"30.","diamond dallas page","2","147"
"30.","the big show","1","147"
"32.","dusty rhodes","1","141"
"33.","tully blanchard","1","130"
"34.","dick slater","1","129"
"35.","kofi kingston","1","126"
"36.","big van vader","1","117"
"37.","lance storm","3","115"
"38.","curt hennig","1","104"
"39.","jim duggan","1","100"
