"mathematician","year of phd","granting institution","supervisor","thesis"
"keith f. taylor","1975","university of alberta","anthony to-ming lau","the structure of the regular representation of a locally compact group"
"anthony to-ming lau","1969","university of british columbia","edmond e. granirer","topological semigroups"
"edmond e. granirer","1962","hebrew university","harry kesten","on amenable semigroups with a finite dimensional set of invariant mean"
"harry kesten","1958","cornell university","mark kac","symmetric random walks on groups"
"mark kac","1937","university of lw�w","hugo steinhaus","unknown"
"hugo steinhaus","1911","georg-august-universit�t g�ttingen","david hilbert","neue anwendungen des dirichlet'schen prinzips"
"david hilbert","1885","universit�t k�nigsberg","c. l. ferdinand lindemann","�ber invariante eigenschaften specieller bin�rer formen insbesondere der kugelfunctionen"
"c. l. ferdinand lindemann","1873","friedrich-alexander-universit�terlangen-n�rnberg","c. felix klein","�ber unendlich kleine bewegungen und �ber kraftsysteme bei allgemeiner projektivischerma�bestimmung"
"c. felix klein","1868","rheinische friedrich-wilhelms-universit�tbonn","julius pl�cker and rudolf lipschitz","�ber die transformation der allgemeinen gleichung des zweiten grades zwischen linien-koordinaten auf eine kanonische form"
"julius pl�cker","1823","philipps - universit�t marburg","christian gerling","generalem analyeseos applicationem ad ea quae geometriae altioris et mechanicae basis et fundamenta sunt e serie tayloria deducit"
"christian ludwig gerling","1812","georg-august-universit�t g�ttingen","carl friedrich gauss","methodi proiectionis orthographicae usum ad calculos parallacticos facilitandos explicavit simulque eclipsin solarem die"
"carl friedrich gauss","1799","universit�t helmstedt","johann friedrich pfaff","demonstratio nova theorematis omnem functionem algebraicam rationalem integram unius variabilis in factores reales primi vel secundi gradus resolvi posse"
"johann friedrich pfaff","1786","georg-august-universit�t g�ttingen","abraham gotthelf kaestner","commentatio de ortibus et occasibus siderum apud auctores classicos commemoratis"
"abraham gotthelf kaestner","1739","universit�t leipzig","christian august hausen","theoria radicum in aequationibus"
"christian august hausen","1713","martin-luther-universit�t halle-wittenberg","christian andreas siber","ex philologicis de asiarchis"
"christian andreas siber","1682","martin-luther-universit�t halle-wittenberg","unknown","de stylo novi testamenti graeco"
"rudolf lipschitz","1853","universit�t berlin","gustav dirichlet and martin ohm","determinatio status magnetici viribus inducentibus commoti in ellipsoide"
"gustav peter lejeune dirichlet","1827","rheinische friedrich-wilhelms-universit�tbonn","simeon poisson and jean-baptiste fourier","unknown"
"simeon denis poisson","unknown","unknown","joseph lagrange","unknown"
"jean-baptiste fourier","unknown","unknown","joseph louis lagrange","unknown"
"joseph louis lagrange","unknown","unknown","leonhard euler","unknown"
"leonhard euler","1726","universit�t basel","johann bernoulli","unknown"
"johann bernoulli","1694","unknown","jacob bernoulli","unknown"
"jacob bernoulli","unknown","unknown","unknown","unknown"
"martin ohm","1811","friedrich-alexander-universit�t erlangen-n�rnberg","karl christian von langsdorf","de elevatione serierum infinitarum secundi ordinis ad potestatem exponentis indeterminati"
"karl christian von langsdorf","unknown","unknown","unknown","unknown"
