"call letters","frequency","city"
"knbr","680 am","san francisco san jose oakland ca"
"knbr","1050 am","san francisco san jose oakland ca"
"ksan","107.7 fm","san francisco san jose oakland ca"
"kthu","100.7 fm","chico"
"kata","1340 am","eureka ca"
"knco","830 am","grass valley ca"
"kezk","730 am","medford or"
"kmfb","96.7 fm","mendocino ca"
"kesp","970 am","modesto"
"kprl","1230 am","paso robles ca"
"kjfk","1230 am","reno"
"kctc","1320 am","sacramento"
"kkjl","1400 am","san luis obispo"
"kion","1460 am","salinas"
"kuik","1360 am","hillsboro/portland or"
"kjdx","93.3 fm","susanville"
"kpua","670 am","hilo"
"krkc","1490 am","king city"
"kblf","1490 am","red bluff"
"kfig","1430 am","fresno"
"kkxs","96.1 fm","redding ca"
