"game","genre","platform","release"
"aliens: colonial marines","shooter","ps3","late 2008"
"all-pro football 2k8","sports","ps3","07/16/07"
"alone in the dark","survival horror","ps3","11/18/08"
"alpha protocol","rpg","ps3","tba 2009"
"army of two","action","ps3","03/04/08"
"army of two: the 40th day","action","ps3","01/12/10"
"assassin's creed","action","ps3","11/13/07"
"batman: arkham asylum","action","ps3","08/25/09"
"bioshock","action","ps3","10/21/08"
"blacksite: area 51","action","ps3","12/10/07"
"bladestorm: the hundred years war","real time strategy","ps3","11/06/07"
"blazing angels: squadrons of wwii","flight - action","ps3","12/12/06"
"blur","racing","ps3","05/25/10"
"borderlands","action","ps3","holiday 2008"
"brothers in arms: hell's highway","first person shooter","ps3","09/23/08"
"burnout paradise","racing","ps3","01/22/08"
"call of duty 3","first person shooter","ps3","12/14/06"
"call of duty 4: modern warfare","shooter","ps3","11/05/07"
"call of duty: world at war","first person shooter","ps3","11/11/08"
"calling all cars","action","ps3","05/10/07"
"civilization revolution","strategy","ps3","spring 2008"
"college hoops 2k8","sports","ps3","11/19/07"
"conan","action","ps3","10/23/07"
"condemned 2: bloodshot","action","ps3","03/11/08"
"conflict: denied ops","shooter","ps3","02/12/08"
"damnation","action","ps3","tba 2008"
"dark sector","action","ps3","03/25/08"
"darksiders: wrath of war","action","ps3","tba 2008"
"dead space","action","ps3","10/20/08"
"destroy all humans! path of the furon","action","ps3","q1 2008"
"devil may cry 4","action","ps3","02/05/08"
"dirt","racing","ps3","09/11/07"
"dj hero","music","ps3","09/27/09"
"dynasty warriors 6","action","ps3","02/19/08"
"eternal sonata","rpg","ps3","10/21/08"
"f.e.a.r.","shooter","ps3","04/24/07"
"facebreaker","sports","ps3","09/03/08"
"fallout 3","rpg","ps3","10/28/08"
"fantastic 4: rise of the silver surfer","action","ps3","06/15/07"
"far cry 2","first person shooter","ps3","10/21/08"
"fatal inertia","racing action","ps3","may 2008"
"fifa soccer 08","sports","ps3","10/09/07"
"fight night round 3","sports","ps3","12/05/06"
"final fantasy xiii","rpg","ps3","tba 2009"
"folklore","rpg","ps3","10/09/07"
"fracture","action","ps3","10/07/08"
"full auto 2: battlelines","racing action","ps3","12/12/06"
"genji: days of the blade","action","ps3","11/17/06"
"ghostbusters: the video game","action","ps3","tba"
"god of war iii","action","ps3","tba"
"god of war iii","action","ps3","03/06/10"
"gran turismo 5 prologue","racing","ps3","04/15/08"
"grand theft auto iv","action","ps3","04/29/08"
"guitar hero iii: legends of rock","music","ps3","10/29/07"
"guitar hero world tour","music","ps3","10/26/08"
"guitar hero: aerosmith","music","ps3","06/29/08"
"guitar hero: metallica","music","ps3","03/29/09"
"harry potter and the order of the phoenix","adventure","ps3","06/25/07"
"haze","action","ps3","05/20/08"
"heavenly sword","action","ps3","09/12/07"
"heavy rain","adventure","ps3","02/23/10"
"hellboy: science of evil","action","ps3","tba 2008"
"hot shots golf: out of bounds","sports","ps3","03/18/08"
"infamous","action","ps3","tba 2008"
"iron man","action","ps3","05/02/08"
"james bond 007 in quantum of solace","action","ps3","11/04/08"
"jericho","actin","ps3","10/23/07"
"john woo presents stranglehold","action","ps3","10/29/07"
"juiced 2: hot import nights","racing","ps3","09/25/07"
"kane & lynch: dead men","action","ps3","11/13/07"
"killzone 2","action","ps3","tba 2008"
"lair","action","ps3","09/04/07"
"legendary","shooter","ps3","summer 2008"
"lego batman: the videogame","action","ps3","09/23/08"
"little big planet","action","ps3","10/21/08"
"lost planet: extreme condition","action","ps3","02/26/08"
"lost: via domus","adventure","ps3","02/26/08"
"madden nfl 07","sports","ps3","11/17/06"
"madden nfl 08","sports","ps3","08/14/07"
"madden nfl 09","sports","ps3","08/12/08"
