"title","category","rating","release"
"sonic chronicles: the dark brotherhood","rpg","95%","tba"
"mario kart ds","driving","93%","11/13/05"
"castlevania: dawn of sorrow","action","92%","10/03/05"
"advance wars: dual strike","strategy","92%","08/21/05"
"kirby super star ultra","action","90%","09/22/08"
"osu! tatakae! ouendan!","music","89%","07/27/05"
"new super mario bros.","platform","88%","05/14/06"
"bomberman land touch!","puzzle","88%","11/06/06"
"meteos","puzzle","88%","06/26/05"
"picross ds","puzzle","88%","07/29/07"
"mario & luigi: partners in time","rpg","89%","11/27/05"
"kirby: canvas curse","platform","89%","06/12/05"
"metroid prime: hunters","shooter","85%","03/19/06"
"pokemon pearl","rpg","86%","04/21/07"
"pokemon diamond","rpg","86%","04/21/07"
"elite beat agents","music","86%","11/05/06"
"animal crossing: wild world","rpg","86%","12/04/05"
"spectrobes: beyond the portals","action","85%","10/07/08"
"nintendogs: chihuahua and friends","other","85%","08/21/05"
"tetris ds","puzzle","85%","03/19/06"
"nintendogs: labrador and friends","other","85%","08/21/05"
"nintendogs: dachshund and friends","other","85%","08/21/05"
"clubhouse games","cards","84%","10/08/06"
"shin megami tensei: devil survivor","rpg","84%","06/22/09"
"age of empires: age of kings","strategy","83%","02/13/06"
"dragon quest heroes: rocket slime","rpg","83%","09/18/06"
"tony hawk's american sk8land","sports","83%","11/14/05"
"mario vs. donkey kong: minis march again!","action","83%","06/07/09"
"asphalt urban gt","sports","66%","11/16/04"
"trauma center: under the knife","action","82%","10/03/05"
"sonic rush","action","81%","11/14/05"
"phoenix wright: ace attorney","adventure","82%","10/10/05"
"new york times crosswords the","puzzle","81%","05/21/07"
"super mario 64 ds","platform","86%","11/19/04"
"metroid prime pinball","pinball","82%","10/23/05"
"warioware touched!","puzzle","81%","02/13/05"
"mega man zx","platform","81%","09/11/06"
"phoenix wright: ace attorney trials and tribulations","simulation","81%","10/22/07"
"star wars: the force unleashed","action","80%","09/16/08"
"jam with the band","music","80%","tba"
"simcity creator","simulation","80%","09/22/08"
"etrian odyssey","rpg","80%","05/14/07"
"mr. driller drill spirits","puzzle","71%","11/29/04"
"chibi-robo park patrol","action","80%","10/01/07"
"puyo pop fever","puzzle","79%","05/02/05"
"madden nfl 2005","sports","69%","11/16/04"
"hotel dusk room 215","adventure","79%","01/21/07"
"yoshi's island ds","platform","78%","11/12/06"
"ridge racer ds","driving","61%","12/06/04"
"sonic rush adventure","platform","78%","09/17/07"
"super robot taisen og saga: endless frontier","rpg","78%","04/28/09"
"ultimate spider-man","action","80%","09/18/05"
"bomberman ds","puzzle","77%","06/20/05"
"yoshi's touch & go","platform","74%","03/13/05"
"ping pals","other","22%","12/06/04"
"final fantasy iii","rpg","77%","11/13/06"
"animaniacs: lights camera action!","action","77%","11/13/05"
"nintendogs: dalmatian and friends","other","77%","10/15/06"
"mega man zx advent","adventure","77%","10/14/07"
"donkey kong jungle climber","action","76%","09/14/07"
"spectrobes","rpg","76%","03/12/07"
"spider-man 2","action","64%","11/16/04"
"brain age: train your brain in minutes a day","puzzle","76%","04/16/06"
"need for speed carbon","driving","76%","10/30/06"
"front mission","strategy","76%","09/30/07"
"zoo keeper","puzzle","76%","01/16/05"
"star wars episode iii: revenge of the sith","action","77%","05/03/05"
"dark spire the","rpg","76%","04/13/09"
"sprung","adventure","47%","12/07/04"
"pokemon trozei","puzzle","75%","03/05/06"
"digimon world ds","rpg","75%","11/06/06"
"legend of kage 2 the","action","75%","10/07/08"
"asphalt: urban gt 2","driving","75%","11/13/06"
"my frogger: toy trials","action","75%","11/06/06"
"spongebob squarepants: the yellow avenger","action","75%","11/06/05"
"that's so raven: psychic on the scene","adventure","75%","10/30/06"
"fifa 07","sports","75%","10/02/06"
"custom robo arena","fighting","75%","03/18/07"
"viewtiful joe double trouble","action","75%","11/17/05"
"meteos: disney magic edition","puzzle","75%","02/26/07"
"super princess peach","platform","74%","02/26/06"
"final fantasy fables: chocobo tales","rpg","74%","04/02/07"
"gunpey","puzzle","74%","11/13/06"
"sims 2 the","strategy","74%","10/23/05"
"big brain academy","puzzle","74%","06/04/06"
"luminous arc","rpg","74%","08/13/07"
"polarium","puzzle","75%","04/17/05"
"pac-pix","puzzle","76%","04/25/05"
"tony hawk's downhill jam","sports","74%","10/23/06"
"pac 'n roll","action","74%","08/22/05"
"phoenix wright: ace attorney justice for all","adventure","73%","01/15/07"
"madagascar","platform","73%","05/22/05"
"bust-a-move ds","puzzle","73%","12/12/05"
"feel the magic: xy/xx","adventure","74%","10/15/04"
"2006 fifa world cup","sports","73%","04/23/06"
"konami classics series: arcade hits","compilation","73%","03/26/07"
"prism: light the way","puzzle","73%","10/15/07"
"true swing golf","sports","72%","01/22/06"
"nanostray","shooter","72%","07/18/05"
"open season","platform","72%","09/18/06"
"star fox command","action","72%","08/27/06"
"dragon ball z: supersonic warriors 2","fighting","72%","11/19/05"
"world championship poker","cards","72%","04/13/05"
"pokemon mystery dungeon: blue rescue team","rpg","72%","09/17/06"
"fifa 06","sports","72%","10/03/05"
"trace memory","adventure","72%","09/25/05"
"yu-gi-oh! nightmare troubadour","puzzle","72%","08/29/05"
"drawn to life","adventure","71%","09/09/07"
"lost in blue","rpg","72%","09/26/05"
"legend of spyro: a new beginning the","action","71%","10/09/06"
"electroplankton","puzzle","73%","01/07/06"
"contact","rpg","70%","10/18/06"
"mario vs donkey kong 2: march of the minis","platform","70%","09/24/06"
"izuna: legend of the unemployed ninja","rpg","70%","02/19/07"
"dig dug: digging strike","platform","69%","10/17/05"
"disgaea ds","rpg","70%","09/23/08"
"disney's chicken little: ace in action","action","70%","11/08/06"
"pictochat","puzzle","70%","tba"
"point blank ds","shooter","70%","06/12/06"
"finding nemo: escape to the big blue","puzzle","70%","02/08/06"
"pokemon ranger","rpg","70%","10/29/06"
"avatar: the last airbender","action","70%","10/09/06"
"mega man star force 3: black ace","action","70%","06/29/09"
"egg monster heroes","action","70%","tba"
"mega man star force 3: red joker","action","70%","06/29/09"
"frogger helmet chaos","platform","70%","09/26/05"
"nervous brickdown","puzzle","70%","06/25/07"
"break 'em all","puzzle","70%","06/19/06"
"resident evil: deadly silence","action","69%","02/06/06"
"magical starsign","rpg","69%","10/22/06"
"namco museum ds","compilation","69%","09/17/07"
"mega man battle network 5: double team","platform","69%","10/31/05"
"need for speed underground 2","driving","69%","05/09/05"
"disney's kim possible: kimmunicator","action","69%","11/08/05"
"madden nfl 07","sports","69%","08/21/06"
"harvest moon ds","strategy","68%","09/11/06"
"over the hedge","platform","68%","05/04/06"
"harry potter and the goblet of fire","action","68%","11/07/05"
"tamagotchi connection: corner shop 2","strategy","67%","11/13/06"
"tak: the great juju challenge","platform","70%","09/18/05"
"magnetica","puzzle","67%","06/04/06"
"monster house","action","67%","07/17/06"
"urbz: sims in the city the","strategy","66%","11/16/04"
"flash focus: vision training in minutes a day","puzzle","66%","10/14/07"
"mario hoops 3 on 3","sports","66%","09/10/06"
"cooking mama","other","66%","09/11/06"
"disney's american dragon: jake long","action","65%","10/11/06"
"naruto: path of the ninja 2","rpg","65%","10/14/08"
"lost in blue: shipwrecked","action","65%","09/23/08"
"eragon","action","65%","11/13/06"
"chronicles of narnia: the lion the witch and the wardrobe the","action","65%","11/13/05"
"transformers: autobots","action","65%","06/18/07"
"lost magic","rpg","68%","04/24/06"
"transformers: decepticons","action","64%","06/18/07"
"wario: master of disguise","action","64%","03/04/07"
"rub rabbits! the","puzzle","67%","02/06/06"
"goldeneye: rogue agent","shooter","65%","06/12/05"
"scooby-doo! unmasked","platform","63%","10/16/05"
"fossil league: dino tournament championship","rpg","63%","01/15/07"
"deep labyrinth","rpg","63%","08/14/06"
"star trek: tactical assault","strategy","62%","10/23/06"
"children of mana","rpg","62%","10/29/06"
"lost in blue 2","adventure","62%","03/26/07"
"super monkey ball: touch & roll","puzzle","64%","02/20/06"
"madden nfl 06","sports","62%","08/07/05"
"sudoku gridmaster","puzzle","61%","06/25/06"
"honeycomb beat","puzzle","61%","03/26/07"
"tiger woods pga tour 2005","sports","61%","12/13/04"
"mage knight: destiny's soldier","strategy","61%","09/25/06"
"danny phantom: urban jungle","platform","60%","09/18/06"
"scurge: hive","action","60%","10/23/06"
"texas hold 'em poker ds","cards","60%","11/01/05"
"spider-man: battle for new york","action","60%","11/13/06"
"worms: open warfare","strategy","60%","03/21/06"
"pirates of the caribbean: dead man's chest","action","60%","06/26/06"
"shrek superslam","fighting","59%","10/24/05"
"battles of prince of persia","strategy","58%","12/05/05"
"mech assault: phantom war","shooter","58%","09/11/06"
"nacho libre","action","57%","10/23/06"
"winning eleven: pro evolution soccer 2007","sports","57%","02/05/07"
"lunar: dragon song","rpg","59%","09/26/05"
"incredibles: rise of the underminer the","platform","56%","10/31/05"
"rayman ds","platform","56%","03/23/05"
"sega casino","cards","55%","11/14/05"
"teenage mutant ninja turtles 3: mutant nightmare","action","55%","10/31/05"
"spongebob squarepants: creature from the krusty krab","platform","55%","10/15/06"
"ice age 2","platform","55%","03/13/06"
"guilty gears: dust strikers","fighting","55%","04/24/06"
"flower sun and rain","other","55%","06/15/09"
"dynasty warriors ds: fighter's battle","fighting","55%","07/23/07"
"cake mania","puzzle","55%","04/02/07"
"tom and jerry tales","puzzle","55%","10/30/06"
"sbk: snowboard kids","sports","55%","11/21/05"
"spyro shadow legacy","platform","54%","10/17/05"
"dynasty warriors","action","53%","tba"
"nicktoons unite!","platform","53%","01/09/06"
"tao's adventure: curse of the demon seal","rpg","53%","03/20/06"
"snood 2: on vacation","puzzle","53%","11/07/05"
"touch detective","puzzle","53%","10/23/06"
"tamagotchi connection: corner shop","strategy","51%","01/30/06"
"rainbow islands revolution","platform","51%","09/28/06"
"flushed away","platform","50%","10/17/06"
"suite life of zack & cody: tipton trouble the","action","50%","09/18/06"
"golden nugget casino ds","cards","50%","02/27/06"
"strawberry shortcake: strawberryland games","action","50%","10/16/06"
"happy feet","music","50%","11/13/06"
"rayman raving rabbids","platform","50%","03/05/07"
"top spin 2","sports","50%","03/28/06"
"lego star wars ii: the original trilogy","action","49%","09/11/06"
"brain boost: gamma wave","puzzle","49%","11/14/06"
"ford racing 3","driving","49%","12/06/05"
"tom clancy's splinter cell chaos theory","stealth","50%","06/27/05"
"x-men: the official game","action","48%","05/15/06"
"cars","driving","48%","06/05/06"
"sims 2: pets the","strategy","48%","10/30/06"
"superman returns: the videogame","action","48%","11/19/06"
"justice league heroes","rpg","47%","10/16/06"
"need for speed most wanted","driving","47%","11/14/05"
"monopoly / boggle / yahtzee / battleship","compilation","46%","12/23/05"
"zoo tycoon ds","strategy","45%","10/09/05"
"pokemon dash","driving","45%","03/13/05"
"robots","platform","45%","02/22/05"
"bratz: forever diamondz","action","45%","09/17/06"
"retro atari classics","compilation","45%","03/14/05"
"space invaders revolution","action","44%","09/19/05"
"freedom wings","simulation","44%","08/20/06"
"greg hastings' tournament paintball max'd","sports","44%","01/29/06"
"crash boom bang!","puzzle","43%","10/09/06"
"top gun","simulation","43%","04/25/06"
"konductra","puzzle","42%","10/24/06"
"blades of thunder 2","simulation","42%","04/12/06"
"burnout legends","driving","41%","11/28/05"
"alex rider: stormbreaker","action","40%","09/26/06"
"arthur and the invisibles","action","40%","01/08/07"
"big mutha truckers","driving","40%","10/03/05"
"miss spider: harvest time hop and fly","action","40%","05/29/06"
"super black bass fishing","sports","39%","03/27/06"
"tenchu: dark secret","action","39%","08/20/06"
"brain boost: beta wave","puzzle","39%","11/14/06"
"fifa street 2","sports","38%","02/27/06"
"pac-man world 3","platform","36%","12/05/05"
"bubble bobble revolution","puzzle","36%","09/28/06"
"hi hi puffy amiyumi: the genie & the amp","action","35%","06/26/06"
"atv quad frenzy","driving","31%","11/13/05"
"dragon booster","action","31%","12/05/05"
"marvel nemesis: rise of the imperfects","fighting","29%","10/10/05"
"peter jackson's king kong","action","29%","11/20/05"
"real time conflict: shogun empires","strategy","29%","11/20/05"
"dino master","action","25%","05/23/06"
"sudoku mania","puzzle","24%","06/22/06"
"elf bowling 1 & 2","sports","15%","11/14/05"
"monster trucks ds","driving","10%","11/22/05"
"professional fisherman's tour: northern hemisphere","sports","n/a","08/27/07"
"garfield's nightmare","action","n/a","08/27/07"
"tiger woods pga tour 08","sports","n/a","08/27/07"
"jam sessions","music","n/a","09/10/07"
"juiced 2: hot import nights","driving","n/a","09/16/07"
"shin megami tensei ds","rpg","n/a","tba"
"digimon world: dawn","rpg","n/a","09/17/07"
"digimon world: dusk","rpg","n/a","09/17/07"
"animates","simulation","n/a","09/16/07"
"fantastic 4: rise of the silver surfer","action","n/a","06/14/07"
"mysims","strategy","n/a","09/17/07"
"turn it around","puzzle","n/a","08/20/07"
"brain age 2: more training in minutes a day","puzzle","n/a","08/19/07"
"chameleon: to dye for!","puzzle","n/a","07/29/07"
"bratz ponyz","adventure","n/a","07/29/07"
"spelling challenges and more!","puzzle","n/a","09/10/07"
"glory days 2","strategy","n/a","07/30/07"
"worms: open warfare 2","strategy","n/a","09/03/07"
"pet alien","action","n/a","08/05/07"
"high school musical: makin' the cut","music","n/a","08/06/07"
"mega man star force: dragon","rpg","n/a","08/06/07"
"mega man star force: leo","rpg","n/a","08/06/07"
"mobile suit gundam seed","action","n/a","tba"
"mega man star force: pegasus","rpg","n/a","08/06/07"
"choroq","driving","n/a","tba"
"rune factory: fantasy harvest moon","rpg","n/a","08/13/07"
"madden nfl 08","sports","n/a","08/13/07"
"heroes of mana","strategy","n/a","08/13/07"
"operation: vietnam","shooter","n/a","08/13/07"
"ultimate puzzle games: sudoku edition","puzzle","n/a","07/23/07"
"nancy drew","adventure","n/a","09/17/07"
"crayola treasure adventures","puzzle","n/a","09/27/07"
"legend of spyro: the eternal night the","action","n/a","10/01/07"
"holly hobbie & friends","party","n/a","10/01/07"
"fifa soccer 08","sports","n/a","10/08/07"
"call of duty 4: modern warfare","shooter","n/a","11/04/07"
"cheetah girls: pop star sensations the","music","n/a","10/08/07"
"touch detective 2 1/2","adventure","n/a","10/08/07"
"flipper critters","pinball","n/a","10/08/07"
"bleach: the blade of fate","fighting","n/a","10/08/07"
"thrillville: off the rails","strategy","n/a","10/08/07"
"backyard football 2008","sports","n/a","10/01/07"
"wild petz: dolphinz","other","n/a","10/15/07"
"tony hawk's proving ground","sports","n/a","10/14/07"
"avatar: the burning earth","action","n/a","10/15/07"
"bee game the","action","n/a","10/14/07"
"fish tycoon","strategy","n/a","10/15/07"
"hannah montana: music jam","music","n/a","10/15/07"
"kurupoto cool cool stars","puzzle","n/a","09/30/07"
"moonlight fables","action","n/a","tba"
"jackass: the game","action","n/a","01/07/08"
"world series of poker 2008: battle for the bracelets","cards","n/a","11/05/07"
"math play","other","n/a","09/23/07"
"original frisbee disc sports: ultimate & golf","sports","n/a","09/23/07"
"xenosaga ds","rpg","n/a","tba"
"animal genius","puzzle","n/a","09/24/07"
"backyard hockey","sports","n/a","09/24/07"
"backyard basketball","sports","n/a","09/24/07"
"lunar knights","rpg","n/a","02/05/07"
"final fantasy: crystal chronicles","rpg","n/a","tba"
"balls of fury","sports","n/a","10/24/07"
"master jin jin's iq challenge","puzzle","n/a","10/07/07"
"kenshuui tendo dokuta","puzzle","n/a","tba"
"crash of the titans","action","n/a","10/01/07"
"spider-man: friend or foe","action","n/a","10/01/07"
"race driver: create & race","driving","n/a","09/30/07"
"europa universalis ii","strategy","n/a","tba"
"power rangers super legends","action","n/a","10/15/07"
"vegas casino high 5!","cards","n/a","07/02/07"
"inuyasha: secret of the divine jewel","rpg","n/a","01/22/07"
"major league baseball 2k6","sports","n/a","12/28/06"
"ds air","action","n/a","tba"
"diddy kong racing","driving","n/a","02/04/07"
"death jr and the science fair of doom","platform","n/a","05/21/07"
"hamsterz life","simulation","n/a","11/27/06"
"cartoon network racing","driving","n/a","11/27/06"
"lionel trains: on track","simulation","n/a","11/26/06"
"totally spies! 2: undercover","action","n/a","11/20/06"
"panzer tactics ds","simulation","n/a","tba"
"puzzle de harvest moon","puzzle","n/a","11/30/06"
"rampage: total destruction","action","n/a","11/30/06"
"yu-gi-oh! gx spirit caller","strategy","n/a","01/01/07"
"final fantasy crystal chronicles: ring of fates","rpg","n/a","tba"
"super collapse! 3","puzzle","n/a","01/01/07"
"underground pool","sports","n/a","01/14/07"
"barbie 12 dancing princesses","action","n/a","11/15/06"
"star wars: lethal alliance","simulation","n/a","12/11/06"
"full metal alchemist: dual sympathy","action","n/a","12/11/06"
"kirby: squeak squad","platform","n/a","12/03/06"
"march of the penguins","adventure","n/a","11/19/06"
"uno","cards","n/a","11/13/06"
"lara croft tomb raider: legend","action","n/a","11/13/06"
"nicktoons: battle for volcano island","action","n/a","10/23/06"
"micro machines v4","driving","n/a","11/06/06"
"barbie in the 12 dancing princesses","action","n/a","11/06/06"
"over the hedge: hammy goes nuts","action","n/a","10/23/06"
"scooby doo! who's watching who?","action","n/a","10/10/06"
"monster bomber","puzzle","n/a","10/09/06"
"garfield: a tail of two kitties","action","n/a","10/08/06"
"harlem globetrotters world tour","sports","n/a","09/25/06"
"kirby ds","platform","n/a","tba"
"winx club: quest for the codex","action","n/a","11/06/06"
"legend of zelda: phantom hourglass the","rpg","n/a","09/30/07"
