"species","code","1999","2000","2001"
"horned grebe","hogr","x","x",""
"pied-billed               grebe *","pbgr","x","x","x"
"common loon","colo","x","x","x"
"herring gull               *","herg","x","x","x"
"ring-billed               gull *","rbgu","x","x","x"
"franklin's               gull","frgu","","",""
"greater               black-backed gull","gbbg","&nbsp;","&nbsp;","x"
"bonaparte's               gull","bogu","x","x","x"
"caspian tern               *","cate","x","x","x"
"forster's               tern *","fote","x","x","x"
"common tern               *","cote","x","x",""
"black tern               *","blte","x","x",""
"double-crested               cormorant *","dcco","x","x","x"
"american               white pelican *","awpe","x","x","x"
"common merganser               *","come","x","x","x"
"red-breasted               merganser","rbme","x","x","x"
"hooded merganser               *","home","x","x","x"
"mallard *","mall","x","x","x"
"american               black duck *","abdu","x","x","x"
"gadwall *","gadw","x","x","x"
"american               wigeon *","amwi","x","x","x"
"eurasion               wigeon","euwi","&nbsp;","x",""
"green-winged               teal *","agwt","x","x","x"
"blue-winged               teal *","bwte","x","x","x"
"northern               shoveler *","nsho","x","x","x"
"northern               pintail *","nopi","x","x","x"
"wood duck               *","wodu","x","x","x"
"redhead *","redh","x","x","x"
"canvasback               *","canv","x","x","x"
"greater scaup","grsc","x","x","x"
"lesser scaup               *","lesc","x","x","x"
"ring-necked               duck","rndu","x","x","x"
"common goldeneye","cogo","x","x","x"
"bufflehead","buff","x","x","x"
"oldsquaw","olds","x","",""
"harlequin               duck","hard","&nbsp;","x",""
"black scoter","blsc","x","x",""
"white-winged               scoter","wwsc","x","",""
"ruddy duck               *","rudu","x","x","x"
"snow goose               (lesser white phase","lsgo","x","",""
"snow goose               (lesser blue phase","blgo","x","",""
"canada goose               *","cago","x","x","x"
"tundra swan","whsw","x","x","x"
"american               bittern *","ambi","x","x",""
"least bittern               *","lebi","&nbsp;","x",""
"great blue               heron *","gbhe","x","x","x"
"great egret               *","greg","x","x","x"
"snowy egret               *","sneg","&nbsp;","x",""
"green heron               *","grhe","x","x","x"
"black-crowned               night-heron *","bcnh","x","x",""
"sandhill               crane *","sacr","x","x","x"
"virginia               rail *","vira","x","",""
"sora *","sora","x","x","x"
"common moorhen               *","como","x","",""
"american               coot *","amco","x","x","x"
"wilson's               phalarope","wiph","NULL","x",""
"red-necked               phalarope","rnph","","",""
"american               woodcock *","amwo","x","x","x"
"common snipe               *","cosn","x","x","x"
"short-billed               dowitcher","sbdo","","","x"
"long-billed               dowitcher","lbdo","","",""
"red knot","rekn","x","",""
"pectoral               sandpiper","pesa","x","x","x"
"white-rumped               sandpiper","wrsa","","",""
"baird's sandpiper","basa","x","x","x"
"least sandpiper","lesa","x","x","x"
"dunlin","dunl","x","x","x"
"semipalmated               sandpiper","sesa","x","x","x"
"sanderling","sand","x","x",""
"marbled godwit","mago","x","",""
"hudsonian               godwit","hugo","","",""
"greater yellowlegs","grye","x","x","x"
"lesser yellowlegs","leye","x","x","x"
"solitary               sandpiper","sosa","x","x","x"
"willet","will","x","",""
"spotted sandpiper               *","spsa","x","x","x"
"black-bellied               plover","bbpl","x","x","x"
"american               golden plover","amgp","x","",""
"killdeer               *","kill","x","x","x"
"semipalmated               plover","sepl","x","x","x"
"ruddy turnstone","rutu","x","x","x"
"ruffed grouse               *","rugr","","x",""
"ring-necked               pheasant *","rphe","x","",""
"wild turkey               *","witu","&nbsp;","x","x"
"rock dove               *","rodo","x","x",""
"mourning               dove *","modo","x","x","x"
"turkey vulture","tuvu","x","x","x"
"northern               harrier *","noha","","x","x"
"sharp-shinned               hawk","ssha","x","x","x"
"cooper's               hawk *","coha","x","x","x"
"northern               goshawk","nogo","","","x"
"red-tailed               hawk *","rtha","x","x","x"
"broad-winged               hawk","bwha","x","",""
"rough-legged               hawk","rlha","x","x",""
"bald eagle               *","baea","x","x","x"
"peregrine               falcon *","pefa","x","","x"
"merlin","merl","x","x","x"
