"#","catholics","population","percent catholic","country","dioceses","diocesan priests","religious priests","total priests","permanent deacons","male religious","female religious","parishes"
"1","145446000","184227000","78.95%","brazil","268","9951","6902","16853","1456","13282","32827","9222"
"2","123393000","142364000","86.67%","m�xico","90","11016","3602","14618","744","6509","29051","6101"
"3","69630000","85930000","81.03%","philippines","86","5037","2298","7335","11","5694","12102","2909"
"4","64621000","285538000","22.63%","usa","194","30207","14699","44906","14362","21698","71250","19081"
"5","57665000","59725000","96.55%","italy","225","32974","17174","50148","2850","23719","102089","25694"
"6","44499000","58905000","75.54%","france","98","17238","4692","21930","1857","8361","42442","18844"
"7","38406000","44508000","86.29%","colombia","75","5661","2259","7920","278","4163","15178","3831"
"8","37165000","42335000","87.79%","spain","70","16920","7944","25281","176","13364","52243","22680"
"9","35010000","37109000","94.34%","poland","44","22556","5901","28457","3","9356","23967","10421"
"10","34480000","38631000","89.25%","argentina","69","3577","2071","5648","626","3385","9070","2642"
"11","29500000","59293000","49.75%","congo (dem. rep.)","47","2671","1635","4306","NULL","3649","7883","1258"
"12","28160000","32079000","87.78%","peru","45","1502","1267","2769","57","2569","5589","1421"
"13","26297000","82727000","31.79%","germany","29","14323","4042","18365","2494","5875","31811","12488"
"14","24815000","28256000","87.82%","venezuela","38","1493","1064","2557","138","1628","3775","1256"
"15","17906000","124517000","14.38%","nigeria","50","3678","759","4437","6","1938","3716","2041"
"16","17005000","1098096000","1.55%","india","149","11437","8509","19946","8","17352","82348","8583"
"17","13070000","29503000","44.30%","canada","71","5296","3145","8441","902","5181","19880","4865"
"18","11749000","13112000","89.60%","ecuador","24","1076","721","1797","74","1381","4617","1208"
"19","11219000","26537000","42.28%","uganda","19","1253","331","1584","2","1183","2989","436"
"20","11021000","15488000","71.16%","chile","27","1177","1155","2332","685","1984","5086","931"
"21","10465000","39204000","26.69%","tanzania","30","1441","699","2140","1","1745","7591","847"
"22","10304000","13453000","76.59%","guatemala","14","430","641","1071","7","1040","2645","448"
"23","10302000","20589000","50.04%","angola","16","336","293","629","1","723","1731","271"
"24","9457000","10460000","90.41%","portugal","21","3000","936","3936","147","1376","5963","4395"
"25","8253000","9737000","84.76%","bolivia","18","482","631","1113","83","1130","2563","583"
"26","8039000","9344000","86.03%","dominican republic","12","424","454","878","363","605","1723","569"
"27","8018000","32296000","24.83%","kenya","26","1083","814","1897","1","2204","3747","708"
"28","7775000","10292000","75.54%","belgium","9","4410","2869","7279","558","3971","13288","3949"
"29","6743000","10316000","65.36%","ha�ti","9","400","291","691","4","682","1789","296"
"30","6439000","204229000","3.15%","indonesia","37","1317","1721","3038","13","4146","7372","1130"
"31","6330000","12544000","50.46%","cuba","11","180","119","299","60","152","650","290"
"32","6056000","10402000","58.22%","hungary","16","1845","330","2175","52","483","1237","2221"
"33","5790000","7288000","79.45%","honduras","8","203","214","417","1","243","779","182"
"34","5755000","7982000","72.10%","austria","12","2629","1731","4360","425","2374","5220","3058"
"35","5658000","82312000","6.87%","vi�t nam","25","2194","474","2668","11","2793","11443","2228"
"36","5436000","7144000","76.09%","el salvador","9","469","238","707","4","344","1491","418"
"37","5239000","18841000","27.81%","australia","32","1943","1172","3115","53","2138","6876","1378"
"38","5239000","5722000","91.56%","paraguay","15","333","766","1099","112","1011","2127","374"
"39","5212000","6385000","81.63%","nicaragua","8","296","123","419","27","219","1028","252"
"40","5042000","16117000","31.28%","netherlands","8","1387","2031","3418","310","3383","9128","1520"
"41","4787000","56276000","8.51%","great britain","32","4031","1622","5653","612","2177","7109","3099"
"42","4766000","64915000","7.34%","ukraine","19","2348","411","2770","11","665","1095","4026"
"43","4701000","20072000","23.42%","madagascar","20","498","645","1143","NULL","1494","3930","314"
"44","4567000","6999000","65.25%","burundi","7","340","95","435","NULL","302","1093","132"
"45","4377000","49409000","8.86%","korea (south)","18","2672","539","3211","NULL","1472","8397","1366"
"46","4314000","19318000","22.33%","mozambique","12","186","312","498","1","536","979","280"
"47","4287000","17109000","25.06%","cameroon","23","902","504","1406","16","1019","1958","740"
"48","4161000","5467000","76.11%","ireland","26","3097","1593","4690","1","2460","8088","1312"
"49","4133000","8625000","47.92%","rwanda","9","413","124","537","NULL","331","1390","138"
"50","4019000","44028000","9.13%","sudan","9","269","95","364","4","167","343","195"
"51","3942000","5395000","73.07%","slovakia","9","2037","591","2628","20","996","3018","1507"
"52","3867000","5259000","73.53%","croatia","15","1496","833","2329","1","1018","3288","1603"
"53","3763000","4513000","83.38%","costa rica","8","549","212","761","3","327","948","307"
"54","3519000","10284000","34.22%","czech republic","9","1376","620","1996","152","798","1935","3139"
"55","3425000","12138000","28.22%","zambia","10","283","354","637","1","596","1596","265"
"56","3281000","15081000","21.76%","malawi","7","281","127","408","NULL","265","963","147"
"57","3186000","6914000","46.08%","switzerland","8","1775","1225","3000","157","1606","5679","1662"
"58","3101000","48770000","6.36%","south africa","27","453","645","1098","213","1132","2577","736"
"59","2964000","397673000",".75%","china","117","2270","2289","4559","6","1933","6079","2335"
"60","2841000","18805000","15.11%","c�te d'ivoire","14","652","237","889","6","533","831","287"
"61","2799000","3823000","73.21%","puerto rico","5","369","365","734","418","469","1158","327"
"62","2766000","3457000","80.01%","lithuania","8","681","98","779","4","145","773","677"
"63","2675000","21520000","12.43%","ghana","18","876","193","1069","1","476","794","366"
"64","2315000","3176000","72.89%","uruguay","10","203","256","459","76","382","1089","226"
"65","2233000","8241000","27.10%","antilles","21","287","337","624","81","518","1055","465"
"66","2077000","4114000","50.49%","congo","7","176","62","238","1","152","232","158"
"67","1883000","-","NULL","lebanon","23","1001","602","1603","4","1030","2728","1253"
"68","1875000","21709000","8.64%","romania","12","1551","182","1733","4","437","1326","1430"
"69","1799000","2107000","85.38%","panama","8","199","197","396","64","270","447","186"
"70","1688000","4968000","33.98%","papua new guinea","19","185","328","513","7","672","861","305"
"71","1646000","7155000","23.00%","benin","10","394","107","501","NULL","227","939","212"
"72","1623000","1997000","81.27%","slovenia","3","854","296","1150","8","372","741","803"
"73","1545000","13169000","11.73%","burkina faso","13","559","157","716","NULL","491","1218","141"
"74","1483000","5968000","24.85%","togo","7","321","127","448","NULL","337","735","151"
