"title","year","media type","director","writer","length","matting"
"10 things i hate about you","1999","dvd","gil junger","karen mccullah lutz","97","widescreen"
"12 angry men","1957","dvd","sidney lumet","reginald rose","96","widescreen"
"2 fast 2 furious","2003","dvd","john singleton","michael brandt","107","fullscreen"
"2001: a space odyssey","1968","dvd","stanley kubrick","arthur c. clarke","145","widescreen"
"2008 nhl winter classic","2008","dvd","nbc sports","n/a","139","widescreen"
"3 ninjas","1992","dvd","jon turteltaub","edward emanuel","84","widescreen"
"7 television commercials","1998","dvd","magnus carlsson","thom yorke","34","fullscreen"
"across the universe","2007","blu-ray","julie taymor","dick clement","133","widescreen"
"amadeus","1984","blu-ray","milos forman","peter shaffer","180","widescreen"
"american beauty","1999","dvd","sam mendes","alan ball","122","widescreen"
"american history x","1998","dvd","tony kaye","david mckenna","119","widescreen"
"apollo 13","1995","dvd","ron howard","william broyles jr.","140","widescreen"
"aristocrats the","2005","dvd","paul provenza","n/a","89","fullscreen"
"batman begins","2005","blu-ray","christopher nolan","christopher nolan","140","widescreen"
"batman the movie","1966","dvd","leslie h. martinson","lorenzo semple jr.","105","widescreen"
"be kind rewind","2008","blu-ray","michel gondry","michel gondry","102","widescreen"
"big daddy","1999","dvd","dennis dugan","steve franks","93","widescreen"
"big fish","2003","dvd","tim burton","john august","125","widescreen"
"big lebowski the","1998","dvd","joel coen","ethan coen","118","widescreen"
"billy madison","1995","dvd","tamra davis","tim herlihy","89","widescreen"
"birdcage the","1996","dvd","mike nichols","elaine may","119","both"
"black hawk down","2001","dvd","ridley scott","ken nolan","144","widescreen"
"blair witch project the","1999","dvd","daniel myrick","eduardo sanchez","86","fullscreen"
"blazing saddles","1974","blu-ray","mel brooks","mel brooks","93","widescreen"
"blood diamond","2006","blu-ray","edward zwick","charles leavitt","143","widescreen"
"blue man group audio","1999","dvd","blue man group","blue man group","64","fullscreen"
"borat","2006","dvd","larry charles","sacha baron cohen","84","widescreen"
"bourne identity the","2002","blu-ray","doug liman","tony gilroy","119","widescreen"
"bourne supremacy the","2004","blu-ray","paul greengrass","tony gilroy","109","widescreen"
"bourne ultimatum the","2007","blu-ray","paul greengrass","tony gilroy","116","widescreen"
"bowling for columbine","2002","dvd","michael moore","michael moore","120","widescreen"
"brazil","1985","dvd","terry gilliam","terry gilliam","142","widescreen"
"bret hitman hart","2005","dvd","kevin dunn","n/a","540","fullscreen"
"casablanca","1943","dvd","michael curtiz","julius j. epstein","103","fullscreen"
"casino royale","2006","blu-ray","martin campbell","neal purvis","144","widescreen"
"chasing amy","1997","dvd","kevin smith","kevin smith","111","widescreen"
"chicago","2002","dvd","rob marshall","bill condon","113","widescreen"
"children of men","2006","blu-ray","alfonso cuarón","alfonso cuarón","110","widescreen"
"christmas story a","1983","blu-ray","bob clark","jean shepherd","94","widescreen"
"citizen kane","1941","dvd","orson welles","herman j. mankiewicz","119","fullscreen"
"civil action a","1998","dvd","steven zaillian","steven zaillian","112","widescreen"
"clerks","1994","dvd","kevin smith","kevin smith","92","widescreen"
"clifford","1994","dvd","paul flaherty","jay dee rock","90","fullscreen"
"climb dance","1989","dvd","jean louis maurey","n/a","5","fullscreen"
"clockwork orange a","1971","dvd","stanley kubrick","stanley kubrick","137","widescreen"
"closer","2004","dvd","mike nichols","patrick marber","104","widescreen"
"colin mcrae - rally legend","2007","dvd","derick allsop","n/a","89","widescreen"
"crash","2005","dvd","paul haggis","paul haggis","115","widescreen"
"daria - volume 1","1997","dvd","karen disher","glenn eichler","748","fullscreen"
"daria - volume 2","1997","dvd","karen disher","glenn eichler","604","fullscreen"
"dark knight the","2008","blu-ray","christopher nolan","jonathan nolan","153","widescreen"
"days of thunder","1990","dvd","tony scott","robert towne","107","widescreen"
"dead poets society","1989","dvd","peter weir","tom schulman","129","widescreen"
"deja vu","2006","blu-ray","tony scott","bill marsilii","130","widescreen"
"demetri martin. person.","2007","dvd","jay karas","demetri martin","42","fullscreen"
"departed the","2006","dvd","martin scorsese","william monahan","151","widescreen"
"devil's advocate","1997","dvd","taylor hackford","jonathan lemkin","144","widescreen"
"dogma","1999","dvd","kevin smith","kevin smith","130","both"
"donnie darko","2001","dvd","richard kelly","richard kelly","133","widescreen"
"doubt","2008","blu-ray","john patrick shanley","john patrick shanley","103","widescreen"
"dr. horrible's sing-along blog","2009","dvd","joss whedon","maurissa tancharoen","42","widescreen"
"dr. strangelove","1964","dvd","stanley kubrick","peter george","90","fullscreen"
"drop dead fred","1991","dvd","ate de jong","carlos davis","103","fullscreen"
"edward scissorhands","1990","blu-ray","tim burton","caroline thompson","105","widescreen"
"eight crazy nights","2002","dvd","seth kearsley","brooks arthur","76","both"
"enemy at the gates","2001","dvd","jean-jacques annaud","alain godard","131","widescreen"
"envy","2004","dvd","barry levinson","steve adams","99","both"
"espn sportscentury: wayne gretzky","2000","dvd","espn","mike strom","48","fullscreen"
"eternal sunshine of the spotless mind","2004","dvd","michel gondry","charlie kaufman","108","widescreen"
"falling down","1993","dvd","joel schumacher","ebbe roe smith","113","both"
"fargo","1996","dvd","joel coen","ethan coen","98","widescreen"
"fast & furious","2009","blu-ray","justin lin","chris morgan","107","widescreen"
"fast and the furious  the","2001","dvd","rob cohen","gary scott thompson","106","widescreen"
"fear and loathing in las vegas","1998","dvd","terry gilliam","terry gilliam","118","widescreen"
"ferris bueller's day off","1986","dvd","john hughes","john hughes","102","widescreen"
"few good men  a","1992","dvd","rob reiner","aaron sorkin","138","widescreen"
"fight club","1999","dvd","david fincher","jim uhls","139","widescreen"
"finding forrester","2000","dvd","gus van sant","mike rich","136","widescreen"
"finding neverland","2004","dvd","marc forster","david magee","106","widescreen"
"forrest gump","1994","dvd","robert zemeckis","eric roth","142","widescreen"
"four rooms","1995","dvd","quentin tarantino","allison anders","98","widescreen"
"freaks and geeks - volume 1","1999","dvd","jake kasdan","paul feig","360","fullscreen"
"freaks and geeks - volume 2","1999","dvd","jake kasdan","paul feig","360","fullscreen"
"freaks and geeks - volume 3","1999","dvd","jake kasdan","paul feig","360","fullscreen"
"full metal jacket","1987","blu-ray","stanley kubrick","gustav hasford","116","widescreen"
"gandhi","1982","blu-ray","richard attenborough","john briley","188","widescreen"
"gangs of new york","2002","dvd","martin scorsese","jay cocks","166","widescreen"
"garden state","2004","dvd","zach braff","zach braff","109","widescreen"
"glengarry glen ross","1992","dvd","james foley","david mamet","100","both"
"godfather the","1972","dvd","francis ford coppola","mario puzo","175","widescreen"
"gone in sixty seconds","2000","dvd","dominic sena","scott rosenberg","117","widescreen"
"gone with the wind","1939","dvd","victor fleming","sidney howard","238","fullscreen"
"good shepherd the","2006","dvd","robert de niro","eric roth","168","widescreen"
"good will hunting","1997","dvd","gus van sant","ben affleck","126","widescreen"
"goodfellas","1990","dvd","martin scorsese","nicholas pileggi","145","widescreen"
"gran torino","2008","blu-ray","clint eastwood","nick schenk","116","widescreen"
"grand prix","1966","dvd","john frankenheimer","robert alan aurthur","179","widescreen"
"great cars: porsche","2004","dvd","michael rose","michael rose","90","fullscreen"
"great gatsby the","1974","dvd","jack clayton","francis ford coppola","144","widescreen"
"groundhog day","1993","dvd","harold ramis","danny rubin","101","widescreen"
"hackers","1995","dvd","iain softley","rafael moreu","107","widescreen"
