"dial location","call letters","format","address","telephone"
"am 790","kabc(talk radio)","news/talk","3321 s la cienega blvd los angeles 90016","(310) 840-4901"
"am 900","kali am(simulcast of kbla)","spanish variety","12145 woodruff ave downey90242","(562) 401- 4030"
"am 610","kavl(fox sports 610)","sports","352 e ave k-4 lancaster 93535","(661) 942-1121"
"am 1600","kahz(simulcast of kazn)","chinese programming","747 e green st #400 pasadena91101","(626) 568-1300"
"am 1300","kazn(asianradio)","mandarin programming","747 e green st #400 pasadena91101","(626) 568-1300"
"am 1580","kbla(radio zion)","spanish variety","12145 woodruff ave downey90242","(562) 401- 4030"
"am 740","kbrt(k-brite)","christian talk","3183-d airway ave costa mesa 92626","(714) 754-4450"
"am 1110","kdis(radio disney)","children�s radio","500 s buena vista st mc 6107 burbank 91505","(818) 569-5035"
"am 1240","kezy(nueva vida)","spanish christian","4880 santa rosa rd #300 camarillo&nbsp;93012","(805) 482-4797"
"am 640","kfi(more stimulating talk radio)","talk","3400 w olive ave #550burbank 91505","(818) 559-2252"
"am 1650","kfox(radio seoul)","korean programming","4525 wilshire blvd los angeles &nbsp;90010","(310) 936-0606"
"am 1280","kfrn(family radio)","christian programming","3550 long beach bl ste d4 long beach 90807","(562) 427-7773"
"am 980","kfwb(news 98)","news","5670 wilshire blvd #200los angeles 90036","(323) 525-0980"
"am 540/1260","kgil(retro 1260)","adult standards/oldies","1500 cotner ave los angeles90025","(310) 478-5540"
"am 930","khj(la ranchera)","spanish regional","1845 w empire ave burbank 91504","(323) 729-5300"
"am 670","kirn(radio iran)","iranian programming","3301 barham blvdlos angeles 90068","(323) 851-5476"
"am 830","klaa(am 830)","sports","angel stadium2000 gene autry way anaheim 92806","(714) 940-2500"
"am 570","klac(am 570 sports)","sports","3400 w olive ste # 550 burbank91505","(818) 559-2252"
"am 1390","kltx(nueva vida)","spanish christian","4880 santa rosa rd #300 camarillo&nbsp;93012","(805) 482-4797"
"am 1540","kmpc(radio korea)","korean programming","3700 wilshire bl #510 los angeles 90010","(213) 251-1990"
"am 1430","kmrb","cantonese programming","747 east green st pasadena91101","(626) 773-2742"
"am 1070","knx(news radio)","news","5670 wilshire blvd #200 los angeles90036","(323) 569-1070"
"am 870","krla(news talk)","talk","701 n brand #550 glendale 91203","(818) 956-5552"
"am 1130","ksdo(nueva vida)","spanish christian","4880 santa rosa rd #300 camarillo&nbsp;93012","(805) 482-4797"
"am 1510","kspa(talk from the spa)","talk","1563 s state college anaheim 92806","(714) 502-9494"
"am 710","kspn(710 espn)","sports","800 w olympic blvd los angeles 90015","(213) 284-7100"
"am 1020","ktnq(1020 radio am)","spanish news/talk","655 n central ave #2500 glendale91203","(818) 500-4500"
"am 1340","ktpi(magic 1340 am)","adult standards","352 e ave k-4 lancaster93535","(661) 942-1121"
"am 1460","ktym","urban gospel","6803 west blvd inglewood 90302","(310) 672-3700"
"am 1470","kuty(la mera mera 1470)","mexican regional","570 east avenue q-9 palmdale93550","(661) 947-3107"
"am 1480","kvnr(little saigon radio)","vietnamese programming","15781 brookhurst st #101 westminster92683","(714) 918-4444"
"am 1380","koss(news talk 1380)","news/talk","570 e ave q-9 palmdale 93550","(661) 947-3107"
"am 1330","kwkw(espn desportes)","spanish language sports","3301 barham blvd ste 201 los angeles90068","(323)  851-5959"
"am 1190","kxmx(multi-cultural radio)","foreign language/talk","701 n brand blvdglendale 91203","(818) 956-5552"
"am 1150","ktlk(k-talk)","talk","3400 w olive ste # 550 burbank91505","(818) 559-2252"
"am 1230","kypa(am 1230 jbc)","korean news/talk","747 e. green st. &nbsp;#400pasadena&nbsp; 91101","(818) 844-8882"
