"&nbsp;","1998        data country","gdp        per capita","gdp        growth rate","gdp","inflation","population","popul.        growth","infant        mortality"
"1","united states","$30200","3.80%","$8083.0","2.00%","270311756","0.87%","6.44"
"2","norway","$27400","3.50%","$120.5","2.00%","4419955","0.44%","5.01"
"3","singapore","$24600","6.00%","$84.6","1.80%","3490356","1.20%","3.87"
"4","japan","$24500","0.90%","$3080.0","1.70%","125931533","0.20%","4.10"
"5","u. a. emirates","$24000","5.00%","$54.2","3.60%","2303088","1.78%","14.77"
"6","switzerland","$23800","0.40%","$172.4","-0.10%","7260357","0.22%","4.92"
"7","denmark","$23200","3.00%","$122.5","2.20%","5333617","0.49%","5.17"
"8","belgium","$23200","2.30%","$236.3","1.70%","10174922","0.09%","6.27"
"9","france","$22700","2.30%","$1320.0","2.00%","58804944","0.31%","5.69"
"10","kuwait","$22300","1.00%","$46.3","3.20%","1913285","4.10%","10.74"
"11","netherlands","$22000","3.25%","$343.9","2.00%","15731112","0.50%","5.17"
"12","canada","$21700","3.50%","$658.0","1.80%","30675398","1.09%","5.59"
"13","italy","$21500","1.50%","$1240.0","1.90%","56782748","-0.08%","6.40"
"14","australia","$21400","3.30%","$394.0","1.00%","18613087","0.93%","5.26"
"15","austria","$21400","2.10%","$174.1","1.30%","8133611","0.05%","5.16"
"16","united kingdom","$21200","3.50%","$1242.0","3.10%","58970119","0.25%","5.87"
"17","{germany|(1)}","$20800","2.40%","$1740.0","1.80%","82079454","0.02%","5.20"
"18","finland","$20000","4.60%","$102.1","1.20%","5149242","0.20%","3.82"
"19","sweden","$19700","2.10%","$176.2","2.00%","8886738","0.26%","3.93"
"20","ireland","$18600","6.00%","$59.9","1.60%","3619480","0.36%","6.04"
"21","new zealand","$17700","2.50%","$63.4","2.00%","3625388","1.04%","6.37"
"22","israel","$17500","1.90%","$96.7","9.00%","5643966","1.91%","8.02"
"23","qatar","$16700","10.00%","$11.2","2.50%","697126","3.82%","18.09"
"24","spain","$16400","3.30%","$642.2","2.10%","39133996","0.08%","6.51"
"25","portugal","$15200","3.30%","$149.5","2.30%","9927556","-0.07%","6.87"
"26","{cyprus|(2)}","$15000","2.50%","$9.8","3.50%","614165","0.55%","6.53"
"27","taiwan","$14200","6.80%","$308.0","0.90%","21908135","0.94%","6.34"
"28","korea south","$13700","6.00%","$631.2","5.00%","46416796","1.01%","7.79"
"29","bahrain","$13700","2.70%","$8.2","-0.20%","616342","2.09%","15.54"
"30","greece","$13000","3.70%","$137.4","6.00%","10662138","0.43%","7.26"
"31","chile","$11600","7.10%","$168.5","6.00%","14787781","1.27%","10.39"
"32","malaysia","$11100","7.40%","$227.0","36.00%","20932901","2.11%","22.45"
"33","czech republic","$10800","0.70%","$111.9","10.00%","10286470","-0.11%","6.79"
"34","trinidad&amp;tobago","$10400","3.10%","$13.2","3.40%","1116595","-1.27%","18.84"
"35","mauritius","$10300","5.40%","$11.7","6.50%","1168256","1.20%","16.54"
"36","saudi arabia","$10300","4.00%","$206.5","0.00%","20785955","3.41%","41.34"
"37","slovenia","$10000","3.25%","$19.5","9.70%","1971739","-0.08%","5.34"
"38","argentina","$9700","8.40%","$348.2","0.30%","36265463","1.30%","19.03"
"39","uruguay","$8900","5.10%","$29.1","15.20%","3284841","0.71%","14.11"
"40","thailand","$8800","-0.40%","$525.0","5.60%","60037366","0.97%","30.82"
"41","slovakia","$8600","5.90%","$46.3","6.00%","5392982","0.08%","9.73"
"42","puerto rico","$8600","3.00%","$32.9","5.50%","3857070","0.68%","12.09"
"43","venezuela","$8300","5.00%","$185.0","38.00%","22803409","1.77%","27.52"
"44","oman","$8000","3.50%","$17.2","1.00%","2363591","3.45%","25.55"
"45","mexico","$7700","7.30%","$694.3","15.70%","98552776","1.77%","25.82"
"46","hungary","$7400","4.40%","$73.2","18.00%","10208127","-0.23%","9.70"
"47","poland","$7250","6.90%","$280.7","15.00%","38606922","-0.04%","13.18"
"48","panama","$6700","3.60%","$18.0","1.20%","2735943","1.56%","24.00"
"49","libya","$6700","0.50%","$38.0","30.00%","5690727","3.68%","55.81"
"50","syria","$6600","4.60%","$106.1","15.00%","16673282","3.23%","37.60"
"51","world","$6500","4.00%","$38000.0","25.00%","5926466814","1.30%","58.00"
"52","estonia","$6450","10.00%","$9.3","11.20%","1421335","-0.99%","13.98"
"53","brazil","$6300","3.00%","$1040.0","4.80%","169806557","1.24%","36.96"
"54","colombia","$6200","3.10%","$231.1","17.70%","38580949","1.89%","25.44"
"55","south africa","$6200","3.00%","$270.0","9.70%","42834520","1.42%","52.04"
"56","turkey","$6100","7.20%","$388.3","99.00%","64566511","1.60%","38.27"
"57","tunisia","$6100","5.60%","$56.5","4.60%","9380404","1.43%","32.64"
"58","iran","$5500","3.20%","$371.2","23.00%","68959931","2.04%","48.95"
"59","costa rica","$5500","3.00%","$19.6","11.20%","3604642","1.95%","13.10"
"60","romania","$5300","-6.60%","$114.2","151.00%","22395848","-0.32%","18.83"
"61","belarus","$4800","8.50%","$50.4","65.00%","10409050","-0.05%","14.16"
"62","jordan","$4800","5.30%","$20.7","3.00%","4434978","2.54%","33.29"
"63","dominican rep.","$4700","7.00%","$38.3","10.90%","7998766","1.63%","44.26"
"64","russia","$4700","0.40%","$692.0","11.00%","146861022","-0.31%","23.26"
"65","indonesia","$4600","4.00%","$960.0","50.00%","212941810","1.49%","59.23"
"66","croatia","$4500","4.40%","$22.7","3.70%","4671584","0.13%","8.00"
"67","peru","$4420","7.30%","$110.2","6.70%","26111110","1.97%","43.42"
"68","egypt","$4400","5.20%","$267.1","4.90%","66050004","1.86%","69.23"
"69","lebanon","$4400","4.00%","$15.2","9.00%","3505794","1.62%","31.64"
"70","ecuador","$4400","3.40%","$53.4","31.00%","12336572","1.86%","32.07"
"71","latvia","$4260","6.00%","$10.4","7.40%","2385396","-1.41%","17.44"
"72","lithuania","$4230","6.00%","$15.4","8.60%","3600158","-0.45%","14.75"
"73","bulgaria","$4100","-7.40%","$35.6","1.00%","8240426","-0.60%","12.78"
"74","guatemala","$4000","4.10%","$45.8","9.00%","12007580","2.71%","47.68"
"75","algeria","$4000","2.50%","$120.4","7.00%","30480793","2.14%","45.44"
"76","paraguay","$3900","2.60%","$21.9","6.20%","5291020","2.68%","37.39"
"77","sri lanka","$3800","6.00%","$72.1","9.60%","18933558","1.12%","16.33"
"78","swaziland","$3800","3.00%","$3.9","9.50%","966462","1.96%","103.37"
"79","namibia","$3700","3.00%","$6.2","8.00%","1622328","1.60%","66.76"
"80","jamaica","$3660","-1.40%","$9.5","17.00%","2634678","0.70%","14.47"
"81","morocco","$3500","-2.20%","$107.0","3.00%","29114497","1.89%","52.99"
"82","china","$3460","8.80%","$4250.0","2.80%","1236914658","0.83%","45.46"
"83","armenia","$2750","2.70%","$9.5","13.20%","3421775","-0.36%","40.77"
"84","ukraine","$2500","-3.20%","$124.9","10.00%","50125108","-0.64%","21.80"
"85","moldova","$2400","-2.00%","$10.8","11.20%","4457729","0.04%","43.72"
"86","serbia","$2280","7.00%","$24.3","7.00%","11206039","0.02%","17.11"
"87","bosnia &amp; herzeg.","$1690","35.00%","$4.4","?","3365727","3.63%","30.80"
"88","india","$1600","5.00%","$1534.0","7.00%","984003683","1.71%","63.14"
"89","georgia","$1570","11.80%","$8.1","7.10%","5108527","-0.92%","51.07"
"90","azerbaijan","$1460","5.80%","$11.9","3.70%","7855576","0.70%","81.64"
"91","albania","$1370","-8.00%","$4.5","40.00%","3330754","0.97%","45.01"
"92","{f.y.r.o.m.|(3)}","$960","1.50%","$2.0","3.50%","2009387","0.68%","19.49"
