"company","industry","overall score"
"abbott laboratories","pharmaceuticals","6.68"
"adobe systems","computer software","7.31"
"aetna","health care: insurance and managed care","6.79"
"alcoa","metals","7.24"
"apple","computers","7.95"
"aramark","diversified outsourcing services","6.60"
"archer daniels midland","food production","7.20"
"automatic data processing","financial data services","6.69"
"avnet","wholesalers: office equipment and electronics","6.55"
"basf","chemicals","7.04"
"becton dickinson","medical and other precision equipment","6.90"
"berkshire hathaway","insurance: property and casualty","7.12"
"bmw","motor vehicles","6.94"
"c.h. robinson worldwide","trucking transportation logistics","7.14"
"caterpillar","industrial and farm equipment","7.06"
"cisco systems","network and other communications equipment","7.83"
"coca-cola","beverages","6.98"
"costco wholesale","specialty retailers","6.67"
"cvs/caremark","food and drug stores","6.67"
"davita","health care: medical facilities","6.54"
"e.on","energy","7.06"
"emcor group","engineering and construction","6.42"
"exxon mobil","petroleum refining","7.36"
"fmc technologies","oil and gas equipment services","7.94"
"fpl group","electric & gas utilities","7.05"
"general electric","electronics","7.07"
"goldman sachs group","megabanks","7.66"
"google","internet services and retailing","7.70"
"herman miller","home equipment furnishings","6.39"
"ibm","information technology services","7.60"
"intel","semiconductors","7.96"
"international paper","forest and paper products","6.12"
"marriott international","hotels casinos resorts","7.81"
"mcdonald's","food services","8.08"
"mckesson","wholesalers: health care","7.28"
"medco health solutions","health care: pharmacy and other services","6.57"
"nestl&eacute;","consumer food products","7.63"
"new york life","insurance: life and health","6.72"
"nike","apparel","8.15"
"northern trust","superregional banks","6.94"
"occidental petroleum","mining crude-oil production","7.27"
"philip morris international","tobacco","7.72"
"procter &amp; gamble","soaps and cosmetics","7.94"
"robert bosch","motor vehicle parts","6.90"
"robert half international","temporary help","6.12"
"singapore airlines","airlines","6.68"
"sysco","wholesalers: food and grocery","7.77"
"toll brothers","homebuilders","6.77"
"united technologies","aerospace and defense","7.32"
"ups","delivery","8.20"
"verizon communications","telecommunications","6.67"
"visa","consumer credit card and services","7.21"
"w.w. grainger","wholesalers: diversified","7.55"
"wal-mart stores","general merchandisers","7.14"
"walt disney","entertainment","8.00"
