"dauer","gebäudename","stadt","etagen","höhe"
"2007 - heute","burj khalifa","dubai","163","828 m"
"2004 - 2007","taipei 101","taipei","101","509 m"
"1998 - 2004","petronas towers","kuala lumpur","88","452 m"
"1974 - 1998","willis tower","chicago","108","442 m"
"1972 - 1974","world trade center","new york city","110","417 m"
"1931 - 1972","empire state building","new york city","102","381 m"
"1930 - 1931","chrysler building","new york city","77","319 m"
"1930 - 1930","the trump building","new york city","70","283 m"
"1913 - 1930","woolworth building","new york city","57","241 m"
"1909 - 1913","metropolitan life tower","new york city","50","213 m"
"1908 - 1909","singer building","new york city","47","187 m"
"1901 - 1908","philadelphia city hall","philadelphia","9","167 m"
