"date","movie","year","director"
"NULL","NULL","NULL","NULL"
"2012-01-23","blue valentine","2010","derek cianfrance"
"2012-01-21","dogtooth","2009","giorgos lanthimos"
"2012-01-20","serendipity","2001","peter chelsom"
"2012-01-19","tinker tailor soldier spy","2011","tomas alfredson"
"2012-01-15","transit","2012","antonio negret"
"2012-01-14","the tree of life","2011","terrence malick"
"2012-01-12","the girl who played with fire","2009","daniel alfredson"
"2012-01-11","the girl with the dragon tattoo","2009","niels arden oplev"
"2012-01-10","mission: impossible - ghost protocol","2011","brad bird"
"2012-01-08","30 days of night","2007","david slade"
"2012-01-07","the muppets","2011","james bobin"
"2012-01-07","turn me on dammit!","2011","jannicke systad jacobsen"
"2012-01-05","young adult","2011","jason reitman"
"2012-01-03","never let me go","2010","mark romanek"
"2012-01-02","the guard","2011","john michael mcdonagh"
"2011-12-30","the notebook","2004","nick cassavetes"
"2011-12-28","heathers","1988","michael lehmann"
"2011-12-23","the french connection","1971","william friedkin"
"2011-12-17","drive","2011","nicolas winding refn"
"2011-12-16","the muppet christmas carol","1992","brian henson"
"2011-12-11","friends with benefits","2011","will gluck"
"2011-12-10","pearl jam twenty","2011","cameron crowe"
"2011-12-08","monsters","2010","gareth edwards"
"2011-12-06","let the right one in","2008","tomas alfredson"
"2011-12-04","melancholia","2011","lars von trier"
"2011-11-29","submarine","2010","richard ayoade"
"2011-11-27","the muppet movie","1979","james frawley"
"2011-11-26","our idiot brother","2011","jesse peretz"
"2011-11-23","crazy stupid love.","2011","glenn ficarra &amp; john requa"
"2011-11-21","hanna","2011","joe wright"
"2011-11-18","the skin i live in","2011","pedro almodóvar"
"2011-10-27","moneyball","2011","bennett miller"
"2011-10-19","50/50","2011","jonathan levine"
"2011-10-18","the green hornet","2011","michel gondry"
"2011-10-02","welcome to the rileys","2010","jake scott"
"2011-09-28","contagion","2011","steven soderbergh"
"2011-09-25","heavenly creatures","1994","peter jackson"
"2011-08-25","new york i love you","2009","fatih akin yvan attal randall balsmeyer allen hughes shunji iwai wen jiang shekhar kapur joshua marston mira nair natalie portman brett ratner"
"2011-08-19","cowboys &amp; aliens","2011","jon favreau"
"2011-08-16","daredevil","2003","mark steven johnson"
"2011-08-11","midnight in paris","2011","woody allen"
"2011-07-31","cedar rapids","2011","miguel arteta"
"2011-07-28","horrible bosses","2011","seth gordon"
"2011-07-24","the brothers bloom","2008","rian johnson"
"2011-07-15","devil","2010","john erick dowdle"
"2011-07-10","the adjustment bureau","2011","george nolfi"
"2011-07-08","hall pass","2011","bobby farrelly &amp; peter farrelly"
"2011-07-07","super 8","2011","j.j. abrams"
"2011-06-26","green lantern","2011","martin campbell"
"2011-06-18","battle los angeles","2011","jonathan liebesman"
"2011-06-17","the taking of pelham 123","2009","tony scott"
"2011-05-27","the machinist","2004","brad anderson"
"2011-05-26","bridesmaids","2011","paul feig"
"2011-05-14","no strings attached","2011","ivan reitman"
"2011-05-10","smokin' aces","2006","joe carnahan"
"2011-04-26","the devil wears prada","2006","david frankel"
"2011-04-23","the rundown","2003","peter berg"
"2011-04-10","toy story 3","2010","lee unkrich"
"2011-04-07","rango","2011","gore verbinski"
"2011-03-27","due date","2010","todd phillips"
"2011-03-13","somewhere","2010","sofia coppola"
"2011-03-10","the king's speech","2010","tom hooper"
"2011-03-09","just go with it","2011","dennis dugan"
"2011-01-27","the fighter","2010","david o. russell"
"2011-01-16","i love you phillip morris","2009","glenn ficarra &amp; john requa"
"2011-01-12","the expendables","2010","sylvester stallone"
"2011-01-07","cyrus","2010","jay duplass &amp; mark duplass"
"2011-01-01","death race 2","2010","roel reiné"
"2010-12-24","true grit","2010","ethan coen &amp; joel coen"
"2010-12-24","hot tub time machine","2010","steve pink"
"2010-12-21","beer wars","2009","anat baron"
"2010-12-19","black swan","2010","darren aronofsky"
"2010-12-17","into the wild","2007","sean penn"
"2010-12-12","the other guys","2010","adam mckay"
"2010-12-05","the kids are all right","2010","lisa cholodenko"
"2010-12-04","the town","2010","ben affleck"
"2010-11-26","pirate radio","2009","richard curtis"
"2010-11-15","pitch black","2000","david twohy"
"2010-11-13","yes man","2008","peyton reed"
"2010-11-12","unstoppable","2010","tony scott"
"2010-11-07","scott pilgrim vs. the world","2010","edgar wright"
"2010-11-02","red","2010","robert schwentke"
"2010-10-27","winter's bone","2010","debra granik"
"2010-10-25","the running man","1987","paul michael glaser"
"2010-10-20","the social network","2010","david fincher"
"2010-10-14","predators","2010","nimród antal"
"2010-10-13","the fifth element","1997","luc besson"
"2010-10-01","get him to the greek","2010","nicholas stoller"
"2010-09-23","robin hood","2010","ridley scott"
"2010-09-16","drugstore cowboy","1989","gus van sant"
"2010-09-04","step brothers","2008","adam mckay"
"2010-08-27","sunshine","2007","danny boyle"
"2010-08-18","inception","2010","christopher nolan"
"2010-08-14","paranormal activity","2007","oren peli"
"2010-08-06","a single man","2009","tom ford"
"2010-08-02","kick-ass","2010","matthew vaughn"
"2010-07-30","greenberg","2010","noah baumbach"
"2010-07-28","mary and max","2009","adam elliot"
"2010-07-21","humble pie","2007","chris bowman"
"2010-07-20","ghost writer","2010","roman polanski"
"2010-07-14","micmacs","2009","jean-pierre jeunet"
"2010-07-06","pandorum","2009","christian alvart"
"2010-07-02","no impact man","2009","laura gabbert &amp; justin schein"
"2010-06-22","city island","2009","raymond de felitta"
"2010-06-18","american psycho","2000","mary harron"
"2010-06-16","the book of eli","2010","albert hughes &amp; allen hughes"
"2010-06-12","she's out of my league","2010","jim field smith"
"2010-06-08","youth in revolt","2009","miguel arteta"
"2010-06-01","max payne","2008","john moore"
"2010-05-29","a knight's tale","2001","brian helgeland"
"2010-05-25","shutter island","2010","martin scorsese"
"2010-05-10","assassination of a high school president","2008","brett simon"
"2010-05-08","iron man 2","2010","jon favreau"
"2010-04-30","red road","2006","andrea arnold"
"2010-04-05","knowing","2009","alex proyas"
"2010-04-02","sherlock holmes","2009","guy ritchie"
"2010-03-22","where the wild things are","2009","spike jonze"
"2010-03-21","the hoax","2006","lasse hallström"
"2010-03-13","an education","2009","lone scherfig"
"2010-03-13","the reader","2008","stephen daldry"
"2010-03-07","fantastic mr. fox","2009","wes anderson"
"2010-03-05","he was a quiet man","2007","frank a. cappello"
"2010-02-19","the informant!","2009","steven soderbergh"
