"sequence","date","new?","title","country","director","year","grade","theater","shorts","additional info","ignore  this","ignore  this","&nbsp;"
"&nbsp;","&nbsp;","66.66%","&nbsp;","&nbsp;","&nbsp;","1992.82","2.78","35","0","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"1","1-jan-02","1","big momma's house","usa","gosnell","2000","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","a+","4.3"
"2","1-jan-02","&nbsp;","pi","usa","aronofsky","1998","a","&nbsp;","&nbsp;","&nbsp;","4","a","4"
"3","3-jan-02","&nbsp;","fight club","usa","fincher","1999","a-","&nbsp;","&nbsp;","&nbsp;","3.7","a-","3.7"
"4","5-jan-02","2","keeping the faith","usa","norton�","2000","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","b+","3.3"
"5","7-jan-02","3","royal tenenbaums","usa","anderson","2001","b","&nbsp;","&nbsp;","&nbsp;","3","b","3"
"6","8-jan-02","&nbsp;","matrix","usa","wachowski","1999","a","&nbsp;","&nbsp;","&nbsp;","4","b-","2.7"
"7","14-jan-02","4","berkeley in the sixties","usa","kitchell","1990","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","c+","2.3"
"8","15-jan-02","5","state and main","usa","mamet","2000","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","c","2"
"9","18-jan-02","&nbsp;","there's something about mary","usa","farrelly","1998","a+","&nbsp;","&nbsp;","&nbsp;","4.3","c-","1.7"
"10","19-jan-02","6","down to earth","usa","weitz","2001","c+","&nbsp;","&nbsp;","&nbsp;","2.3","d+","1.3"
"11","24-jan-02","7","proof of life","usa","hackford","2000","d","&nbsp;","&nbsp;","&nbsp;","1","d","1"
"12","24-jan-02","8","unbreakable","usa","shyamalan","2000","b+","&nbsp;","&nbsp;","&nbsp;","3.3","d-","0.7"
"13","29-jan-02","&nbsp;","family man","usa","ratner","2000","c+","&nbsp;","&nbsp;","&nbsp;","2.3","f+","0.3"
"14","29-jan-02","9","count of monte cristo","usa","reynolds","2002","b-","&nbsp;","&nbsp;","&nbsp;","2.7","f","0"
"15","29-jan-02","10","orange county","usa","kasdan","2002","b-","1","&nbsp;","&nbsp;","2.7","f-","-0.3"
"16","29-jan-02","11","pay it forward","usa","leder","2000","c-","&nbsp;","&nbsp;","&nbsp;","1.7","0","x"
"17","30-jan-02","&nbsp;","rushmore","usa","anderson","1998","a","&nbsp;","&nbsp;","&nbsp;","4","&nbsp;","&nbsp;"
"18","1-feb-02","12","black hawk down","usa","scott","2001","b-","1","&nbsp;","&nbsp;","2.7","&nbsp;","&nbsp;"
"19","4-feb-02","13","lord of the rings: the fellowship of the ring","new zealand","jackson","2001","b+","1","&nbsp;","&nbsp;","3.3","&nbsp;","&nbsp;"
"20","5-feb-02","&nbsp;","taxi driver","usa","scorsese","1976","a+","&nbsp;","&nbsp;","&nbsp;","4.3","&nbsp;","&nbsp;"
"21","6-feb-02","14","deuce bigelow male jigilo","usa","mitchell","1999","c-","&nbsp;","&nbsp;","&nbsp;","1.7","&nbsp;","&nbsp;"
"22","8-feb-02","15","my first mister","usa","lahti","2001","b","&nbsp;","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;"
"23","9-feb-02","&nbsp;","karate kid","usa","avildsen","1984","a-","&nbsp;","&nbsp;","&nbsp;","3.7","&nbsp;","&nbsp;"
"24","18-feb-02","16","faculty","usa","rodriguez","1998","d-","&nbsp;","&nbsp;","&nbsp;","0.7","&nbsp;","&nbsp;"
"25","19-feb-02","17","french exit","usa","kastner","1995","c-","&nbsp;","&nbsp;","&nbsp;","1.7","&nbsp;","&nbsp;"
"26","19-feb-02","18","super troopers","usa","chandrasekhar","2001","a","1","&nbsp;","&nbsp;","4","&nbsp;","&nbsp;"
"27","22-feb-02","&nbsp;","what's the worst that could happen?","usa","weisman","2001","b","&nbsp;","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;"
"28","24-feb-02","&nbsp;","austin powers: international man of mystery","usa","roach","1997","a","&nbsp;","&nbsp;","&nbsp;","4","&nbsp;","&nbsp;"
"29","25-feb-02","&nbsp;","das boot","germany","peterson","1981","a","&nbsp;","&nbsp;","&nbsp;","4","&nbsp;","&nbsp;"
"30","26-feb-02","&nbsp;","super troopers","usa","chandrasekhar","2001","a","&nbsp;","&nbsp;","&nbsp;","4","&nbsp;","&nbsp;"
"31","1-mar-02","&nbsp;","great escape","usa","sturges","1963","a","&nbsp;","&nbsp;","&nbsp;","4","&nbsp;","&nbsp;"
"32","5-mar-02","&nbsp;","american movie: the making of northwestern","usa","smith","1999","a+","&nbsp;","&nbsp;","&nbsp;","4.3","&nbsp;","&nbsp;"
"33","11-mar-02","19","dude where's my car?","usa","leiner","2000","f","&nbsp;","&nbsp;","&nbsp;","0","&nbsp;","&nbsp;"
"34","11-mar-02","&nbsp;","heat","usa","mann","1995","a-","&nbsp;","&nbsp;","&nbsp;","3.7","&nbsp;","&nbsp;"
"35","11-mar-02","&nbsp;","dark days","usa","singer","2000","a","&nbsp;","&nbsp;","&nbsp;","4","&nbsp;","&nbsp;"
"36","12-mar-02","20","time machine","usa","wells","2002","c-","1","&nbsp;","&nbsp;","1.7","&nbsp;","&nbsp;"
"37","14-mar-02","21","last of the mohicans","usa","mann","1992","d","&nbsp;","&nbsp;","&nbsp;","1","&nbsp;","&nbsp;"
"38","15-mar-02","&nbsp;","american beauty","usa","mendes","1999","a","&nbsp;","&nbsp;","&nbsp;","4","&nbsp;","&nbsp;"
"39","16-mar-02","22","m*a*s*h","usa","altman","1970","c+","&nbsp;","&nbsp;","&nbsp;","2.3","&nbsp;","&nbsp;"
"40","18-mar-02","&nbsp;","jay and silent bob strike back","usa","smith","2001","b","&nbsp;","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;"
"41","18-mar-02","23","hurricane","usa","jewison","1999","b-","&nbsp;","&nbsp;","&nbsp;","2.7","&nbsp;","&nbsp;"
"42","19-mar-02","&nbsp;","rat race","usa","zucker","2001","c+","&nbsp;","&nbsp;","&nbsp;","2.3","&nbsp;","&nbsp;"
"43","20-mar-02","24","session 9","usa","anderson","2001","b","&nbsp;","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;"
"44","22-mar-02","&nbsp;","easy rider","usa","hopper","1969","a-","&nbsp;","&nbsp;","&nbsp;","3.7","&nbsp;","&nbsp;"
"45","23-mar-02","25","35up","uk","apted","1991","b","&nbsp;","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;"
"46","24-mar-02","26","amadeus","usa","forman","1984","b+","&nbsp;","&nbsp;","&nbsp;","3.3","&nbsp;","&nbsp;"
"47","26-mar-02","27","sorority boys","usa","wolodarsky","2002","c-","1","&nbsp;","&nbsp;","1.7","&nbsp;","&nbsp;"
"48","27-mar-02","28","bring it on","usa","reed","2000","d+","&nbsp;","&nbsp;","&nbsp;","1.3","&nbsp;","&nbsp;"
"49","27-mar-02","29","mexican","usa","verbinski","2001","c-","&nbsp;","&nbsp;","&nbsp;","1.7","&nbsp;","&nbsp;"
"50","28-mar-02","30","smoke signals","usa","eyre","1998","b-","&nbsp;","&nbsp;","&nbsp;","2.7","&nbsp;","&nbsp;"
"51","28-mar-02","31","closet","france","verber","2001","b-","&nbsp;","&nbsp;","le placard","2.7","&nbsp;","&nbsp;"
"52","29-mar-02","32","all the right moves","usa","chapman","1983","d+","&nbsp;","&nbsp;","&nbsp;","1.3","&nbsp;","&nbsp;"
"53","31-mar-02","33","say it isn't so","usa","rogers","2001","c-","&nbsp;","&nbsp;","&nbsp;","1.7","&nbsp;","&nbsp;"
"54","1-apr-02","&nbsp;","rosemary's baby","usa","polanski","1968","c","&nbsp;","&nbsp;","&nbsp;","2","&nbsp;","&nbsp;"
"55","1-apr-02","34","out cold","usa","malloy","2001","f+","&nbsp;","&nbsp;","&nbsp;","0.3","&nbsp;","&nbsp;"
"56","1-apr-02","35","death to smoochy","usa","devito","2002","c","1","&nbsp;","&nbsp;","2","&nbsp;","&nbsp;"
"57","1-apr-02","36","audition","japan","miike","1999","b+","&nbsp;","&nbsp;","&nbsp;","3.3","&nbsp;","&nbsp;"
"58","2-apr-02","37","texas rangers","usa","miner","2001","f","&nbsp;","&nbsp;","&nbsp;","0","&nbsp;","&nbsp;"
"59","2-apr-02","&nbsp;","insider","usa","mann","1999","b+","&nbsp;","&nbsp;","&nbsp;","3.3","&nbsp;","&nbsp;"
