"pos","game","platform","year","genre","publisher","north america","europe","japan","rest of world","global"
"1","wii sports","wii","2006","sports","nintendo","39.42","28.03","3.77","8.62","79.84"
"2","super mario bros.","nes","1985","platform","nintendo","29.08","3.58","6.81","0.77","40.24"
"3","mario kart wii","wii","2008","racing","nintendo","13.21","11.73","3.44","3.17","31.55"
"4","pok�mon red / green / blue version","gb","1996","role-playing","nintendo","11.27","8.89","10.22","1.00","31.37"
"5","wii sports resort","wii","2009","sports","nintendo","14.21","10.47","2.85","3.15","30.69"
"6","tetris","gb","1989","puzzle","nintendo","23.20","2.26","4.22","0.58","30.26"
"7","wii play","wii","2006","misc","nintendo","13.69","9.07","2.93","2.83","28.52"
"8","duck hunt","nes","1984","shooter","nintendo","26.93","0.63","0.28","0.47","28.31"
"9","new super mario bros.","ds","2006","platform","nintendo","9.62","8.37","6.43","2.43","26.85"
"10","nintendogs","ds","2005","simulation","nintendo","9.01","10.71","1.93","2.72","24.37"
"11","new super mario bros. wii","wii","2009","platform","nintendo","11.70","5.86","4.50","2.16","24.22"
"12","pok�mon gold / silver version","gb","1999","role-playing","nintendo","9.00","6.18","7.20","0.71","23.10"
"13","mario kart ds","ds","2005","racing","nintendo","9.55","7.28","4.06","2.20","23.08"
"14","wii fit","wii","2007","sports","nintendo","8.90","8.13","3.60","2.08","22.70"
"15","wii fit plus","wii","2009","sports","nintendo","8.70","7.79","2.49","2.20","21.17"
"16","grand theft auto: san andreas","ps2","2004","action","take-two interactive","9.43","8.48","0.41","2.49","20.81"
"17","super mario world","snes","1990","platform","nintendo","12.78","3.75","3.54","0.55","20.61"
"18","brain age: train your brain in minutes a day","ds","2005","misc","nintendo","4.71","9.04","4.16","2.04","19.95"
"19","super mario land","gb","1989","platform","nintendo","10.83","2.71","4.18","0.42","18.14"
"20","pok�mon diamond / pearl version","ds","2006","role-playing","nintendo","6.30","4.29","6.04","1.34","17.97"
"21","super mario bros. 3","nes","1988","platform","nintendo","9.54","3.44","3.84","0.46","17.28"
"22","grand theft auto: vice city","ps2","2002","action","take-two interactive","8.41","5.49","0.47","1.78","16.15"
"23","kinect adventures!","x360","2010","misc","microsoft","10.47","3.59","0.20","1.65","15.91"
"24","pok�mon ruby / sapphire version","gba","2002","role-playing","nintendo","6.06","3.90","5.38","0.50","15.85"
"25","brain age 2: more training in minutes a day","ds","2005","misc","nintendo","3.40","5.30","5.32","1.18","15.20"
"26","gran turismo 3: a-spec","ps2","2001","racing","sony computer entertainment","6.85","4.99","1.87","1.16","14.88"
"27","pok�mon yellow: special pikachu edition","gb","1998","role-playing","nintendo","5.89","5.04","3.12","0.59","14.64"
"28","call of duty: black ops","x360","2010","shooter","activision","8.72","3.19","0.07","1.31","13.29"
"29","call of duty: modern warfare 3","x360","2011","shooter","activision","8.08","3.72","0.07","1.41","13.28"
"30","grand theft auto iii","ps2","2001","action","capcom","6.99","4.51","0.30","1.30","13.10"
"31","pok�mon black / white version","ds","2010","role-playing","nintendo","4.19","2.54","5.53","0.74","13.00"
"32","call of duty: modern warfare 2","x360","2009","shooter","activision","8.12","3.26","0.08","1.24","12.70"
"33","super mario 64","n64","1996","platform","nintendo","6.91","2.85","1.91","0.23","11.89"
"34","animal crossing: wild world","ds","2005","simulation","nintendo","2.42","3.17","5.33","0.83","11.74"
"35","halo 3","x360","2007","shooter","microsoft","7.54","2.63","0.13","1.15","11.46"
"36","gran turismo 4","ps2","2004","racing","sony computer entertainment","3.01","5.63","1.10","1.62","11.36"
"37","call of duty: black ops","ps3","2010","shooter","activision","5.45","3.69","0.40","1.75","11.28"
"38","the sims","pc","2000","simulation","electronic arts","11.22","0.00","0.00","0.00","11.22"
"39","super mario land 2: 6 golden coins","gb","1992","platform","nintendo","6.16","2.04","2.69","0.29","11.18"
"40","gran turismo","ps","1997","racing","sony computer entertainment","4.22","3.87","2.54","0.52","11.15"
"41","super smash bros. brawl","wii","2008","fighting","nintendo","5.48","2.20","2.35","0.91","10.93"
"42","pok�mon heart gold / soul silver version","ds","2009","role-playing","nintendo","3.63","2.45","3.96","0.77","10.81"
"43","call of duty: modern warfare 3","ps3","2011","shooter","activision","4.66","3.80","0.35","1.79","10.60"
"44","super mario all-stars","snes","1993","platform","nintendo","5.99","2.15","2.12","0.29","10.55"
"45","pok�mon firered / leafgreen version","gba","2004","role-playing","nintendo","4.34","2.65","3.15","0.35","10.49"
"46","super mario galaxy","wii","2007","platform","nintendo","4.97","3.01","1.20","1.00","10.17"
"47","mario kart 64","n64","1996","racing","nintendo","5.55","1.94","2.23","0.15","9.87"
"48","call of duty: modern warfare 2","ps3","2009","shooter","activision","4.74","3.21","0.37","1.51","9.83"
"49","final fantasy vii","ps","1997","role-playing","sony computer entertainment","3.01","2.47","3.28","0.96","9.72"
"50","super mario 64 ds","ds","2004","platform","nintendo","4.52","2.84","1.25","0.93","9.54"
"total","total","total","total","total","total","462.06","256.81","143.65","70.32","932.83"
