"english name","latin name","hungarian name"
"american bald eagle","haliaeetus leucocephalus","fehérfejű rétisas"
"asiatic elephant","elephas maximus","ázsiai elefánt"
"asiatic wild ass/ onager","equus hemionus onager","onager"
"bactrian camel","camelu ferus f. bactrianus","kétpúpú teve"
"black-tailed prairie dog","cynomis ludovicianus","társas prérikutya"
"brush-tailed bettong","bettongia penicillata","ecsetfarkú patkánykenguru"
"capybara","hydrochaeris hydrochaeris","vízidisznó"
"cigája sheep","ovis ammon f. aries","cigája juh"
"common brushtail possum","trichosurus vulpecula","közönséges rókakuzu"
"common eland","taurotragus oryx","jávorantilop"
"common palm civet","paradoxurus hermaphroditus","maláji pálmasodró"
"common squirrel monkey","saimiri sciureus","közönséges mókusmajom"
"cormorant","phalacrocorax carbo","kárókatona"
"eagle owl","bubo bubo","uhu"
"egyptian rousette","rousettus aegyptiacus","nílusi repülőkutya"
"emu","dromaius novaehollandiae","emu"
"fennec or desert fox","fennecus zerda","sivatagi róka"
"giraffe","giraffa camelopardalis","zsiráf"
"grant's zebra","equus burchelli boehmi","böhm-zebra"
"grey meerkat","suricata suricatta","szurikáta"
"ground cuscus","phalanger gymnotis","egyszínű v. földi kuszkusz"
"harbour seal","phoca vitulina","borjúfóka"
"himalayan black bear","selenarctos thibetanus","örvösmedve"
"hippopotamus","hippopotamus amphibius","nílusi víziló"
"hungarian brindled cattle","bos primigenius f. taurus","magyar tarkamarha"
"jackass pinguin","spheniscus demersus","pápaszemes pingvin"
"lama","lama guanacoe f. glama","láma"
"lesser panda","ailurus fulgens","vörös macskamedve"
"lion","panthera leo","oroszlán"
"mandrill","mandrillus sphinx","mandrill"
"orang-utan","pongo pygmaeus","orangután"
"ostrich","struthio camelus","strucc"
"owl monkey","aotus trivirgatus","éji majom"
"patagonian cavy or mara","dolichotis patagonum","nagy mara"
"polar bear","ursus maritimus","jegesmedve"
"red kangaroo","macropus rufus","vörös óriáskenguru"
"reindeer","rangifer tarandus","rénszarvas"
"ring-tailed coati","nasua nasua","ormányosmedve"
"ring-tailed lemur","lemur catta","közönséges maki"
"sacred baboon","papio hamadryas","galléros pávián"
"siamang","symphalangus syndactylus","sziamang"
"siberian tiger","neofelis tigris altaica","szibériai tigris"
"springhare","pedetes capensis","afrikai ugrónyúl"
"square-lipped rhinoceros","ceratotherium simum","szélesszájú orrszarvú"
"western grey kangaroo","macropus fuliginosus","nyugati szürke óriáskenguru"
"western lowland gorilla","gorilla gorilla gorilla","nyugati síkvidéki gorilla"
"wolf","canis lupus","farkas"
