"rang","museum","stadt","facebook-fans"
"1","moma   the museum of modern art","new york","542187"
"2","metropolitan museum of art","new york","301109"
"3","acropolis museum","athen","225498"
"4","musée du louvre","paris","150473"
"5","guggenheim museum","new york","142369"
"6","tate modern","london","114937"
"7","design museum","london","78717"
"8","city museum","st louis","68755"
"9","museo del prado","madrid","63036"
"10","centre   pompidou","paris","59343"
"11","creation museum","petersburg","59339"
"12","victoria &amp; albert museum","london","54598"
"13","the   getty museum","los angeles","54579"
"14","whitney museum of american art","new york","54143"
"15","british museum","london","51298"
"16","new museum","new york","44599"
"17","salvador dali museum","saint petersburg","41260"
"18","natural history museum","london","29105"
"19","national museum of the american indian","washington d.c.","28897"
"20","american museum of natural history","new york","28788"
