"site","board","child health","obs &amp; gyn","psych","med","surg"
"ayrshire central","nhs ayrshire &amp; arran","&nbsp;","&nbsp;","yes","&nbsp;","&nbsp;"
"the ayr hospital","nhs ayrshire &amp; arran","&nbsp;","&nbsp;","&nbsp;","yes","yes"
"crosshouse hospital","nhs ayrshire &amp; arran","yes","yes","&nbsp;","yes","yes"
"dykebar hospital","nhs greater glasgow &amp; clyde","&nbsp;","&nbsp;","yes","&nbsp;","&nbsp;"
"dumfries &amp; galloway royal infirmary","nhs dumfries &amp; galloway","&nbsp;","&nbsp;","&nbsp;","yes","yes"
"forth valley royal hospital","nhs forth valley","&nbsp;","yes","&nbsp;","yes","yes"
"gartnavel general&nbsp;","nhs greater glasgow &amp; clyde","&nbsp;","&nbsp;","&nbsp;","yes","yes"
"gartnavel royal hospital","nhs greater glasgow &amp; clyde","&nbsp;","&nbsp;","yes","&nbsp;","&nbsp;"
"glasgow royal infirmary","nhs greater glasgow &amp; clyde","&nbsp;","&nbsp;","&nbsp;","yes","yes"
"golden jubilee national hospital","nhs greater glasgow &amp; clyde","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"hairmyres hospital","nhs lanarkshire","&nbsp;","&nbsp;","&nbsp;","yes","yes"
"inverclyde royal hospital","nhs greater glasgow &amp; clyde","&nbsp;","yes","&nbsp;","yes","yes"
"leverndale hospital","nhs greater glasgow &amp; clyde","&nbsp;","&nbsp;","yes","&nbsp;","&nbsp;"
"monklands hospital","nhs lanarkshire","&nbsp;","&nbsp;","&nbsp;","yes","yes"
"parkhead hospital","nhs greater glasgow &amp; clyde","&nbsp;","&nbsp;","yes","&nbsp;","&nbsp;"
"princess royal maternity","nhs greater glasgow &amp; clyde","&nbsp;","yes","&nbsp;","&nbsp;","&nbsp;"
"queen mothers hospital","nhs greater glasgow &amp; clyde","&nbsp;","yes","&nbsp;","&nbsp;","&nbsp;"
"royal alexandra hospital","nhs greater glasgow &amp; clyde","yes","yes","&nbsp;","yes","yes"
"ravenscraig","nhs greater glasgow &amp; clyde","&nbsp;","&nbsp;","yes","&nbsp;","&nbsp;"
"yorkhill","nhs greater glasgow &amp; clyde","yes","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"southern general hospital","nhs greater glasgow &amp; clyde","&nbsp;","yes","yes","yes","yes"
"stobhill hospital","nhs greater glasgow &amp; clyde","&nbsp;","&nbsp;","yes","yes","yes"
"victoria infirmary","nhs greater glasgow &amp; clyde","&nbsp;","&nbsp;","&nbsp;","yes","yes"
"wishaw general hospital","nhs lanarkshire","&nbsp;","yes","&nbsp;","yes","yes"
"western infirmary","nhs greater glasgow &amp; clyde","&nbsp;","&nbsp;","&nbsp;","yes","yes"
