"rank","title of great novel","year","author","religious affiliation of author"
"1","don quixote","1605 1630","miguel de cervantes","catholic"
"2","war and peace","1869","leo tolstoy","russian orthodox"
"3","ulysses","1922","james joyce","catholic (lapsed)"
"4","in search of lost time","1913-27","marcel proust","jewish catholic"
"5","the brothers karamazov","1880","feodor dostoevsky","russian orthodox"
"6","moby-dick","1851","herman melville","transcendentalist"
"7","madame bovary","1857","gustave flaubert","catholic"
"8","middlemarch","1871-72","george eliot","anglican; agnostic"
"9","the magic mountain","1924","thomas mann","lutheran"
"10","the tale of genji","11th century","murasaki shikibu","buddhist/shinto culture"
"11","emma","1816","jane austen","anglican"
"12","bleak house","1852-53","charles dickens","anglican"
"13","anna karenina","1877","leo tolstoy","russian orthodox"
"14","adventures of huckleberry finn","1884","mark twain","presbyterian"
"15","tom jones","1749","henry fielding","&nbsp;"
"16","great expectations","1860-61","charles dickens","anglican"
"17","absalom absalom!","1936","william faulkner","presbyterian"
"18","the ambassadors","1903","henry james","anglican"
"19","one hundred years of solitude","1967","gabriel garcia marquez","catholic"
"20","the great gatsby","1925","f. scott fitzgerald","catholic"
"21","to the lighthouse","1927","virginia woolf","neo-pagan"
"22","crime and punishment","1866","feodor dostoevsky","russian orthodox"
"23","the sound and the fury","1929","william faulkner","presbyterian"
"24","vanity fair","1847-48","william makepeace thackeray","&nbsp;"
"25","invisible man","1952","ralph ellison","&nbsp;"
"26","finnegans wake","1939","james joyce","catholic (lapsed)"
"27","the man without qualities","1930-43","robert musil","catholic"
"28","gravity's rainbow","1973","thomas pynchon","catholic; agnostic"
"29","the portrait of a lady","1881","henry james","anglican"
"30","women in love","1920","d. h. lawrence","&nbsp;"
"31","the red and the black","1830","stendhal","catholic"
"32","tristram shandy","1760-67","laurence sterne","anglican (church of ireland clergyman)"
"33","dead souls","1842","nikolai gogol","russian orthodox"
"34","tess of the d'urbervilles","1891","thomas hardy","&nbsp;"
"35","buddenbrooks","1901","thomas mann","lutheran"
"36","le pere goriot","1835","honore de balzac","catholic"
"37","a portrait of the artist as a young man","1916","james joyce","catholic (lapsed)"
"38","wuthering heights","1847","emily bronte","anglican"
"39","the tin drum","1959","gunter grass","catholic"
"40","molloy; malone dies; the unnamable","1951-53","samuel beckett","church of ireland (anglican)"
"41","pride and prejudice","1813","jane austen","anglican"
"42","the scarlet letter","1850","nathaniel hawthorne","transcendentalist"
"43","fathers and sons","1862","ivan turgenev","russian orthodox; agnostic"
"44","nostromo","1904","joseph conrad","catholic; atheist"
"45","beloved","1987","toni morrison","&nbsp;"
"46","an american tragedy","1925","theodore dreiser","catholic; congregationalist; chrisitan science"
"47","lolita","1955","vladimir nabokov","russian orthodox"
"48","the golden notebook","1962","doris lessing","&nbsp;"
"49","clarissa","1747-48","samuel richardson","&nbsp;"
"50","dream of the red chamber","1791","cao xueqin","&nbsp;"
"51","the trial","1925","franz kafka","jewish"
"52","jane eyre","1847","charlotte bronte","anglican"
"53","the red badge of courage","1895","stephen crane","methodist"
"54","the grapes of wrath","1939","john steinbeck","episcopalian"
"55","petersburg","1916/1922","andrey bely","russian orthodox; theosophy; spiritualism"
"56","things fall apart","1958","chinue achebe","&nbsp;"
"57","the princess of cleves","1678","madame de lafayette","&nbsp;"
"58","the stranger","1942","albert camus","catholic; existentialism"
"59","my antonia","1918","willa cather","episcopalian"
"60","the counterfeiters","1926","andre gide","&nbsp;"
"61","the age of innocence","1920","edith wharton","&nbsp;"
"62","the good soldier","1915","ford madox ford","catholic; agnostic"
"63","the awakening","1899","kate chopin","catholic"
"64","a passage to india","1924","e. m. forster","&nbsp;"
"65","herzog","1964","saul bellow","orthodox jew (lapsed); anthroposophist"
