"name","date","previous names","capital","government","languages"
"argentina","1816","&nbsp;","buenos aires","federal republic","spanishitaliangerman"
"bolivia","1825","alto-peru","la paz","republic","spanishaymaraquechuaguarani"
"bouvet island","&nbsp;","&nbsp;","&nbsp;","colony (norway)","&nbsp;"
"brazil","1822","&nbsp;","brasilia","federal republic","portuguesetupiarawakguarani"
"chile","1818","&nbsp;","santiago","republic","spanishgermanmapuche"
"colombia","1819","new granada","bogota","republic","spanisharawakcarib"
"ecuador","1830","new granada","quito","republic","spanishquechua"
"falkland islands","&nbsp;","&nbsp;","stanley","dependency (uk)","english"
"french guiana","&nbsp;","&nbsp;","cayenne","colony (france)","french"
"guyana","&nbsp;","&nbsp;","georgetown","constitutional monarchy","englisharawak"
"paraguay","1811","&nbsp;","asuncion","republic","spanishguarani"
"peru","1824","&nbsp;","lima","republic","spanishquechua"
"south georgia","&nbsp;","&nbsp;","grytviken","dependency (uk)","&nbsp;"
"suriname","&nbsp;","&nbsp;","paramaribo","republic","dutchpidgin english"
"uruguay","1828","&nbsp;","montevideo","republic","spanish"
"venezuela","1821","new grenada","caracas","republic","spanish"
