"world rank","city","country","city           population","metro           population","mayor"
"n/r","macallen","usa","110000","1058000","n/k"
"437","maceio","brazil","922000","1100000","jos&eacute; c&iacute;cero soares de almeida"
"152","macheng","china","1880000","","n/k"
"73","madrid","spain","3213000","5300000","alberto ruiz-gallard&oacute;n"
"355","madurai","india","1130000","","thenmozhi gopinathan"
"n/r","magdeburg","germany","230000","","lutz tr&uuml;mper"
"324","maiduguri","nigeria","1200000","1200000","n/k"
"360","makasar","indonesia","1113000","","ilham arief sirajuddin"
"523","malang","indonesia","742000","921000","n/k"
"n/r","malmo","sweden","244000","1340000","ilmar reepalu"
"332","managua","nicaragua","1185000","1342000","daisy torres"
"173","manaus","brazil","1739000","1924000","amazonino mendes"
"n/r","manchester","uk","464000","2240230","mavis smitheman"
"425","mandalay","myanmar (burma)","961000","1300000","phone zaw han"
"7","manila metro","philippines","11550000","13503000","alfredo s lim"
"n/r","mannheim","germany","311000","1456000","peter kurz"
"313","maputo","mozambique","1244000","1640000","david simango"
"164","maracaibo","venezuela","1799000","1868000","eveling trejo"
"n/r","maracay","venezuela","479000","1125000","humberto prieto"
"380","marrakech","morocco","1071000","","n/k"
"464","marseille","france","852000","1605000","jean-claude gaudin"
"81","mashhad","iran","2910000","3000000","mohammad pejman"
"511","masqat-matrah","oman","776000","776000","n/k"
"n/r","matamoros","mexico","370000","780000","n/k"
"n/r","mataram","indonesia","330000","1081000","n/k"
"444","mbuji-mayi","congo d.r.","905000","1054000","n/k"
"177","mecca","saudi arabia","1700000","2500000","osama al-bar"
"141","medan","indonesia","1990000","2390000","rahudman harahap"
"128","medellin","colombia","2223000","3312000","alonso salazar jaramillo"
"291","medina","saudi arabia","1300000","1300000","abdulaziz bin majid"
"306","meerut","india","1277000","","n/k"
"61","melbourne","australia","3635000","33635000","robert doyle"
"555","memphis","usa","670000","1281000","ac wharton"
"n/r","mendoza","argentina","113000","849000","v&iacute;ctor fayad"
"525","merida","mexico","734000","890000","c&eacute;sar boj&oacute;rquez zapata"
"411","mexicali","mexico","1000000","1000000","n/k"
"14","mexico city","mexico","8841000","21163000","marcelo ebrard"
"n/r","miami","usa","386000","5413000","tom&aacute;s regalado"
"292","mianyang","china","1300000","5200000","liu dong"
"289","milan","italy","1302000","4051000","letizia moratti"
"569","milwaukee","usa","604000","1740000","tom barrett"
"n/r","minneapolis","usa","392000","3503000","r t rybak"
