"name of attraction","category","visitor 2009","visitor 2010","% change 09-10"
"british museum","museums/art galleries","5569981","5842000","4.9"
"tate modern","museums/art galleries","4747537","5061172","6.6"
"national gallery","museums/art galleries","4780030","4954914","3.7"
"natural history museum","museums/art galleries","4105106","4647613","13.2"
"science museum","museums/art galleries","2753493","2757917","0.2"
"victoria and albert museum","museums/art galleries","2269880","2629065","15.8"
"national portrait gallery","museums/art galleries","1961843","1819442","-7.3"
"tate britain","museums/art galleries","1501837","1665291","10.9"
"royal observatory greenwich","museums/art galleries","1569886","1576640","0.4"
"british library","museums/art galleries","1379475","1454612","5.4"
"old royal naval college","historic properties","544522","1330260","144.3"
"imperial war museum","museums/art galleries","887246","1069358","20.5"
"ashmolean museum","museums/art galleries","227752","1042350","357.7"
"merseyside maritime museum","museums/art galleries","946699","1027475","8.5"
"museums sheffield: millennium    gallery","museums/art galleries","770644","879598","14.1"
"national maritime museum","museums/art galleries","669199","804988","20.3"
"holkham nnr","wildlife","800000","800000","0"
"world museum liverpool","museums/art galleries","606394","748065","23.4"
"birmingham museum &amp; art    gallery","museums/art galleries","644259","729231","13.2"
"national railway museum","museums/art galleries","767863","619952","-19.3"
