"rank","title","category","publisher"
"1","the legend of zelda: twilight princess","action adventure","nintendo"
"2","mario party 7","kids/family","nintendo"
"3","paper mario: the thousand-year door","action adventure","nintendo"
"4","super smash bros. melee","fighting","nintendo"
"5","legend of zelda: collector's edition","rpg","nintendo"
"6","mario kart: double dash","racing","nintendo"
"7","naruto: clash of ninja 2","fighting","d3p"
"8","super mario strikers","sports","nintendo"
"9","resident evil 4 (2 disc game)","action adventure","capcom"
"10","super mario sunshine","action adventure","nintendo"
