"anaximander","c. 611-547 b.c.","&nbsp;"
"pythagoras","c. 581-497 b.c.","&nbsp;"
"hippocrates of cos","c. 460-377 b.c.","&nbsp;"
"democritus of abdera","c. 460-370 b.c.","&nbsp;"
"plato","c. 427-347 b.c.","platonism / greek philosophy"
"aristotle","c. 384-322 b.c.","platonism / greek philosophy"
"euclid","c. 330-260 b.c.","platonism / greek philosophy"
"archimedes","c. 287-212 b.c.","greek philosophy"
"hipparchus","c. 170-125 b.c.","&nbsp;"
"zhang heng","78-139 a.d.","&nbsp;"
"ptolemy","90-168 a.d.","&nbsp;"
"galen of pergamum","130-201 a.d.","&nbsp;"
"al-khwarizmi","800-850","islam"
"johannes gutenberg","1400-1468","catholic"
"leonardo da vinci","1452-1519","catholic"
"nicolas copernicus","1473-1543","catholic (priest)"
"andreas vesalius","1514-1564","catholic"
"william gilbert","1540-1603","&nbsp;"
"francis bacon","1561-1626","anglican"
"galileo galileo","1564-1642","catholic"
"johannes kepler","1571-1630","lutheran"
"william harvey","1578-1657","anglican (nominal)"
"johann van helmont","1579-1644","&nbsp;"
"rene descartes","1596-1650","catholic"
"blaise pascal","1623-1662","jansenist"
"robert boyle","1627-1691","anglican"
"christiann huygens","1629-1695","calvinist"
"anton van leeuwenhoek","1632-1723","dutch reformed"
"robert hooke","1635-1703","anglican"
"sir isaac newton","1642-1727","anglican (rejected trinitarianism i.e. athanasianism; believed in the arianism of the primitive church)"
"edmund halley","1656-1742","&nbsp;"
"thomas newcomen","1663-1729","baptist"
"daniel fahrenheit","1686-1736","&nbsp;"
"benjamin franklin","1706-1790","presbyterian; deist"
"joseph black","1728-1799","&nbsp;"
"henry cavendish","1731-1810","&nbsp;"
"joseph priestley","1733-1804","unitarian"
"james watt","1736-1819","presbyterian (lapsed)"
"charles de coulomb","1736-1806","&nbsp;"
"joseph montgolfier","1740-1810","&nbsp;"
"karl wilhelm scheele","1742-1786","&nbsp;"
"antoine lavoisier","1743-1794","catholic"
"count alessandro volta","1745-1827","catholic"
"edward jenner","1749-1823","anglican"
"john dalton","1766-1844","quaker"
"andre-marie ampere","1755-1836","&nbsp;"
"amedo avogadro","1776-1856","catholic"
"joseph gay-lussac","1778-1850","&nbsp;"
"charles babbage","1791-1871","anglican"
"michael faraday","1791-1867","sandemanian"
"charles darwin","1809-1881","anglican (nominal); unitarian"
"james joule","1818-1920","&nbsp;"
"louis pasteur","1822-1895","catholic"
"johann gregor mendel","1822-1884","catholic (augustinian monk)"
"jean-joseph lenoir","1822-1900","&nbsp;"
"lord kelvin","1824-1907","anglican"
"james clerk maxwell","1831-1879","presbyterian; anglican; baptist"
"alfred nobel","1833-1896","&nbsp;"
"wilhelm gottlieb daimler","1834-1900","&nbsp;"
"dmitri mendeleev","1834-1907","&nbsp;"
"wilhelm conrad roentgen","1845-1923","&nbsp;"
"thomas alva edison","1847-1931","congregationalist; agnostic"
"alexander graham bell","1847-1922","unitarian/universalist"
"antoine-henri becquerel","1852-1908","catholic"
"paul ehrlich","1854-1915","jewish"
"nikola tesla","1856-1943","&nbsp;"
"sir john joseph thomson","1856-1940","&nbsp;"
"sigmund freud","1856-1939","jewish; atheist; freudian psychoanalysis (freudianism)"
"heinrich rudolf hertz","1857-1894","lutheran"
"max planck","1858-1947","protestant"
"leo baekeland","1863-1944","&nbsp;"
"thomas hunt morgan","1866-1945","&nbsp;"
"marie curie","1867-1934","catholic (lapsed)"
"ernest rutherford","1871-1937","&nbsp;"
"the wright brothers","wilbur: 1867-1912; orville: 1871-1948","united brethren"
"guglielmo marconi","1847-1937","catholic and anglican"
"frederick soddy","1877-1956","&nbsp;"
"albert einstein","1879-1955","jewish"
"alexander fleming","1881-1955","catholic"
"robert goddard","1882-1945","&nbsp;"
"neils bohr","1885-1962","jewish lutheran"
"erwin schrodinger","1887-1961","catholic"
"henry moseley","1887-1915","&nbsp;"
"edwin hubble","1889-1953","&nbsp;"
"sir james chadwick","1891-1974","&nbsp;"
"frederick banting","1891-1941","&nbsp;"
"louis de broglie","1892-1987","&nbsp;"
"enrico fermi","1901-1954","catholic"
"werner heisenberg","1901-1954","lutheran"
"linus carl pauling","1901-1994","lutheran"
"robert oppenheimer","1904-1967","jewish"
"sir frank whittle","1907-1996","&nbsp;"
"edward teller","1908-","jewish"
"william shockley","1910-1989","&nbsp;"
"alan turing","1912-1954","jewish"
"jonas salk","1914-1995","jewish"
"rosalind franklin","1920-1958","jewish"
"james dewey watson","1928-","&nbsp;"
"stephen hawking","1942-","atheist"
"tim berners-lee","1955-","unitarian"
