"world rank","city","country","city            population","metro            population","mayor"
"178","ecatepec","mexico","1688000","1690000","eruviel &aacute;vila villegas"
"526","edmonton","canada","730000","1035000","stephen mandel"
"n/r","einhoven","netherlands","212000","440000","r van gijzel"
"286","ekaterinburg","russia","1323000","1389000","eugene porunov"
"n/r","erfurt","germany","203000","","andreas bausewein"
"197","esfahan","iran","1584000","2600000","morteza saqaeian nejad"
"579","essen","germany","580000","","reinhard pa&szlig;"
"385","ezhou","china","1064000","","n/k"
"107","faisalabad","pakistan","2510000","5081000","rana zahid tauseef"
"387","faridabad","india","1055000","2193000","n/k"
"426","feicheng","china","960000","","n/k"
"310","fengcheng","china","1250000","","n/k"
"405","fes","morocco","1009000","","n/k"
"438","fez","morocco","921000","921000","n/k"
"n/r","florence","italy","375000","825000","matteo renzi"
"108","fortaleza","brazil","2506000","3415000","luizianne lins"
"557","frankfurt","germany","665000","2717000","petra roth"
"395","freetown","sierra leone","1032000","1032000","herbert-george williams"
"n/r","freiburg","germany","220000","","dieter salomon"
"n/r","fresno","usa","500000","1000000","ashley swearengin"
"234","fukuoka","japan","1450000","2230000","hiroshi yoshida"
"323","fuqing","china","1200000","","n/k"
"238","fushun","china","1445000","2300000","wang yang"
"541","fuxin","china","690000","969000","n/k"
"174","fuyang","china","1720000","","sun yunfei"
"91","fuzhou (fujian)","china","2710000","6630000","yuan rongxiang"
"399","fuzhou (jiangxi)","china","1020000","3700000","x&igrave;e y&igrave;s&reg;&#x2022;"
"185","gaozhou","china","1650000","","n/k"
"n/r","gaza","palestine","410000","1000000","n/k"
"434","gaziantep","turkey","927000","1912000","n/k"
"n/r","gdansk","poland","457000","866000","pawel adamowicz"
"n/r","gelsenkirchen","germany","262000","","frank baranowski"
"n/r","gent","belgium","233000","","dani&euml;l termont"
"420","ghaziabad","india","970000","","damyanti goel"
"127","giza","egypt","2225000","2600000","n/k"
"578","glasgow","uk","581000","1200000","n/k"
"301","goiania","brazil","1282000","2064000","&iacute;ris rezende machado"
"391","gongzhuling","china","1050000","","n/k"
"n/r","gothenburg","sweden","506000","916000","anneli hulth&eacute;n"
"378","goyang","south korea","1073000","","n/k"
"n/r","grand rapids","usa","193000","777000","george heartwell"
"n/r","greensboro","usa","256000","710000","bill knight"
"198","guadalajara","mexico","1580000","3600000","jorge aristoteles sandoval"
"341","guangyuan","china","1160000","3037000","n/k"
"28","guangzhou","china","6458000","10182000","wan qingliang"
"300","guarulhos","brazil","1283000","1500000","sebasti&atilde;o moreira"
"372","guatemala city","guatemala","1090000","2564000","alvaro arz&uacute;"
"131","guayaquil","ecuador","2196000","2686000","jaime nebot"
"215","guigang","china","1500000","4400000","n/k"
"280","guilin","china","1340000","","li zhigang"
"245","guiping","china","1420000","","n/k"
"67","guiyang","china","3450000","","yuan zhou"
"249","gujranwala","pakistan","1416000","1900000","fayyaz ahmad chattha"
"492","guwahati","india","808000","820000","dolly borah"
"542","gwalior","india","690000","866000","sameeksha gupta"
"250","gwangju","south korea","1415000","1500000","kang un-tae"
"354","haicheng","china","1130000","","n/k"
"n/r","haifa","israel","276000","975000","yona yahav"
"474","haikou","china","830000","","n/k"
"429","haimen","china","950000","","n/k"
"151","haiphong","vietnam","1885000","1885000","trinh quang su"
