"country","pop. dens.","area","population"
"&nbsp;","(/km�)","(km�)","(2002-07-01 est.)"
"mauritius","588","2040","1200206"
"mayotte (fr.)","457","374","170879"
"reunion (fr.)","296","2512","743981"
"comoros","283","2170","614382"
"rwanda","281","26338","7398074"
"burundi","229","27830","6373002"
"seychelles","176","455","80098"
"s�o tom� and pr�ncipe","170","1001","170372"
"nigeria","141","923768","129934911"
"gambia","129","11300","1455842"
"uganda","105","236040","24699073"
"cape verde","101","4033","408760"
"togo","93","56785","5285501"
"malawi","90","118480","10701824"
"ghana","85","239460","20244154"
"sierra leone","78","71740","5614743"
"lesotho","73","30355","2207954"
"egypt","71","1001450","70712345"
"morocco (excluding western sahara)","70","446550","31167783"
"swaziland","65","17363","1123605"
"benin","60","112620","6787625"
"ethiopia","60","1127127","67673031"
"tunisia","60","163610","9815644"
"senegal","54","196190","10589571"
"kenya","53","582650","31138735"
"c�te d'ivoire","52","322460","16804784"
"burkina faso","46","274200","12603185"
"tanzania","39","945087","37187939"
"guinea-bissau","37","36120","1345479"
"eritrea","37","121320","4465651"
"south africa","36","1219912","43647658"
"cameroon","34","475440","16184748"
"guinea","32","245857","7775065"
"liberia","30","111370","3288198"
"zimbabwe","29","390580","11376676"
"madagascar","28","587040","16473477"
"mozambique","24","801590","19607519"
"democratic republic of the congo","24","2345410","55225478"
"djibouti","21","23000","472810"
"equatorial guinea","18","28051","498144"
"saint helena (uk)","18","410","7317"
"sudan","15","2505810","37090298"
"algeria","14","2381740","32277942"
"zambia","13","752614","9959037"
"somalia","12","637657","7753310"
"mali","9.1","1240000","11340480"
"republic of the congo","8.7","342000","2958448"
"angola","8.5","1246700","10593171"
"niger","8.4","1267000","10639744"
"chad","7.0","1284000","8997237"
"central african republic","5.8","622984","3642739"
"gabon","4.6","267667","1233353"
"libya","3.1","1759540","5368585"
"mauritania","2.7","1030700","2828858"
"botswana","2.7","600370","1591232"
"namibia","2.2","825418","1820916"
"western sahara (morocco)","1.0","266000","256177"
