"#","media","mix"
"1","dainik jagran","30.250"
"2","ndtv","25.000"
"3","dainik bhaskar","24.800"
"4","cnn editions (international)","12.800"
"5","cnn","12.000"
"6","times of india","12.000"
"7","aajtak tv","9.000"
"8","rajasthan patrika","7.400"
"9","dina thanthi","7.000"
"10","eenadu","6.750"
"11","times now","6.000"
"12","ddinews","5.600"
"13","ibn live","5.500"
"14","wall street journal usa","5.500"
"15","amar ujala","5.400"
"16","punjab kesari","5.000"
"17","dinamalar","5.000"
"18","dinakaran","5.000"
"19","anandabazar patrika","5.000"
"20","zee news","4.800"
"&nbsp;","more media >>","&nbsp;"
