"#","citations","journal"
"1","1780","science"
"2","1732","nature"
"3","1080","proceedings of the national academy of sciences of the united states of america"
"4","1053","royal gazette"
"5","948","new england journal of medicine"
"6","794","the astrophysical journal"
"7","653","the journal of biological chemistry"
"8","593","the lancet"
"9","511","journal of the american medical association"
"10","490","british medical journal"
"11","416","zootaxa"
"12","409","bulletins of american paleontology"
"13","376","icarus international journal of solar system studies"
"14","361","cell"
"15","358","journal of the american chemical society"
"16","315","the astronomical journal"
"17","312","molecular and cellular biology"
"18","311","nucleic acids research"
"19","310",""
"20","302","annals of internal medicine"
"21","300","astronomy &amp; astrophysics"
"22","254","tissue antigens"
"23","253","pediatrics"
"24","241","the cochrane database of systematic reviews"
"25","232","neurology"
"26","202","the american journal of psychiatry"
"27","202","physical review letters"
"28","192","international journal of systematic and evolutionary microbiology"
"29","188","the journal of virology"
"30","185","the american journal of clinical nutrition"
"31","185","the new york times"
"32","181","monthly notices of the royal astronomical society"
"33","177","clinical infectious diseases"
"34","172","australian systematic botany"
"35","166","hm magazine"
"36","166","the american journal of human genetics"
"37","165","the journal of bacteriology"
"38","165","the embo journal"
"39","164","blood"
"40","162","journal of molecular biology"
"41","155","nature genetics"
"42","153","circulation"
"43","146","the journal of vertebrate paleontology"
"44","143","archives of internal medicine"
"45","142","white dwarf"
"46","134","the journal of neuroscience"
"47","132","copeia"
"48","130","the journal of immunology"
"49","129","the journal of clinical investigation"
"50","129","current biology"
"51","128","biochimica et biophysica acta"
"52","123","american family physician"
"53","123","the journal of nutrition"
"54","122","gastroenterology"
"55","122","biochemistry"
"56","121","the journal of clinical psychiatry"
"57","117","environmental health perspectives"
"58","117","biochemical and biophysical research communications"
"59","112","the journal of infectious diseases"
"60","110","the american journal of gastroenterology"
"61","109","angewandte chemie international edition"
"62","108","physical review"
"63","107","the medical journal of australia"
"64","106","american journal of botany"
"65","105","gut"
"66","105","biochemical journal"
"67","105","journal of geophysical research"
"68","104","rolling stone"
"69","103","american journal of medicine"
"70","102","human immunology"
"71","100","scientific american"
"72","98","the journal of pharmacology and experimental therapeutics"
"73","96","journal of clinical microbiology"
"74","93","molecular phylogenetics and evolution"
"75","93","genes &amp; development"
"76","92","febs letters"
"77","91","antimicrobial agents and chemotherapy"
"78","90","time"
"79","89","journal of organic chemistry"
"80","89","applied and environmental microbiology"
"81","87","nature medicine"
"82","87","cancer research"
"83","85","geology"
"84","85","chest"
"85","85","the journal of clinical endocrinology &amp; metabolism"
"86","84","biological psychiatry"
"87","84","rna"
"88","82","molecular biology and evolution"
"89","82","neuron"
"90","81","journal of paleontology"
"91","80","doctor who magazine"
"92","79","annals of neurology"
"93","78","journal of the american veterinary medical association"
"94","78","new scientist"
"95","77","the journal of experimental medicine"
"96","77","journal of the national cancer institute"
"97","76","berichte der deutschen chemischen gesellschaft"
"98","75","the washington post"
"99","75","virology"
"100","74","annual review of the new york academy of sciences"
