"country","land area","gdp nominal (us$m)","per capitagdp (us$)","population","government","conscription"
"albania","27398","$9306","$2584.63","3600523","emerging democracy","yes"
"algeria","2381740","$90000","$2700.01","33333216","republic","yes"
"angola","1246700","$28610","$2332.92","12263596","republic; multiparty presidential regime","yes"
"argentina","2736690","$210000","$5210.67","40301927","republic","legal not practiced"
"australia","7617930","$644700","$31550.09","20434176","federal parliamentary democracy","no (banned as enshrined by parliament in 1972"
"austria","82444","$310100","$37818.07","8233300","federal republic","yes"
"bahamas","10070","$6159","$20150.17","305655","constitutional parliamentary democracy","no"
"bangladesh","133910","$69340","$460.89","150448339","parliamentary democracy","no"
"belgium","30528","$316200","$31400","10584534","democracy","no (abolished in 1994)"
"belize","22806","$1141","$3875.88","294385","parliamentary democracy","legal not practiced"
"bhutan","47000","$840.5","$361.06","2327849","(possibly outdated) absolute monarchy; special treaty relationship with india; note - transition to a constitutional monarchy is expected in 2008constitutional monarchy; special treaty relationship with india","yes (selective)"
"bolivia","1084390","$10330","$1132.78","9119152","republic","yes (only when there are few volunteers)"
"bosnia and herzegovina","51129","$9217","$2024.74","4552198","emerging federal democratic republic","no"
"brazil","8456510","$967000","$5089.19","190010647","federal republic","yes"
"burma","657740","$9600","$202.64","47373958","military junta","officially prohibited de facto still practiced"
"china","9326410","$2518000","$1904.90","1321851888","socialist republic","yes (selective)"
"croatia","56414","$37420","$7863.44","4443350","presidential/parliamentary democracy","no (abolished by law in 2008)"
"cuba","110860","$40000","$3510.61","11394043","socialist republic","yes (both sexes)"
"djibouti","22980","$702","$1414.26","496374","republic","no"
"el salvador","20720","$15160","$2181.90","6948073","republic","legal not practiced"
"finland","304473","$199000","$35111.80","5246100","republic","yes"
"france","640053","$2149000","$33758.81","60873000","republic","no (conscription suspended since 2001)"
"gambia","10000","$462.5","$273.94","1688359","republic","no"
"germany","349223","$2872000","$34853.95","82400996","federal republic","yes"
"greece","130800","$256300","$24000","10706290","parliamentary republic","yes"
"grenada","344","$454","$5046.07","89971","parliamentary democracy","no (no military service)"
"hungary","93030","$207000","$11369.91","10064000","parliamentary democracy","no"
"iran","1636000","$193500","$2958.83","68251090","theocratic republic","yes"
"india","2973190","$804000","$657.60","1094583000","federal republic","no"
"israel","20330","$140300","$21830.87","6426679","parliamentary democracy","yes (both sexes)"
"jamaica","10831","$9230","$3319.99","2780132","constitutional parliamentary democracy","no"
"japan","374744","$4883000","$38318.03","127433494","constitutional monarchy with a parliamentary government","no"
"jordan","92300","$300000","$2068.33","6053193","constitutional monarchy","no"
"korea north","120410","$40000","$1800","23301725","juche socialist republic","yes"
"korea south","98190","$897400","$18297.56","49044790","republic","yes"
"kuwait","17820","$60720","$24234.11","2505559","constitutional emirate","yes"
"lebanon","10230","$19890","$5066.87","3925502","republic","no (abolished in 2007)"
"libya","1759540","$34200","$5665.15","6036914","jamahiriya (a state of the masses) in theory governed by the populace through local councils; in practice an authoritarian state","yes"
"luxembourg","2586","$34530","$71904.24","480222","constitutional monarchy","no"
"macedonia republic of","24856","$6225","$3027.85","2055915","parliamentary democracy","no"
"malaysia","328550","$132300","$5330.10","24821286","constitutional monarchy","yes (selective)"
"maldives","300","$906","$2455.08","369031","republic","no"
"malta","316","$5447","$13553.80","401880","republic","no"
"moldova","33371","$2574","$595.77","4320490","republic","yes"
"netherlands","33883","$612700","$36975.10","16570613","constitutional monarchy","legal not practiced"
"new zealand","268021","$98390","$23079.36","4098900","parliamentary democracy","no"
"qatar","11437","$30760","$33905.44","907229","emirate","no"
"romania","238392","$256900","$10661","22276056","democracy","no (ended in 2007)"
"russia","16995800","$733600","$5188.94","141377752","federation","yes"
"rwanda","24948","$1968","$198.64","9907509","republic; presidential multiparty system","no"
"saudi arabia","2149690","$276900","$10032.23","27601038","absolute monarchy","no"
"seychelles","455","$712","$8694.06","81895","republic","yes"
"singapore","692","$137762","$30723.61","4553009","parliamentary republic","yes"
"slovenia","20151","$37920","$18872.76","2009245","parliamentary republic","no"
"south africa","1219912","$201400","$3994.61","46888200","republic","no"
"spain","499542","$1084000","$23480.26","43398150","parliamentary monarchy","no"
"syria","184050","$24260","$1356.90","19043380","republic under an authoritarian military-dominated regime","yes"
"swaziland","17203","$2195","$1937.22","1131000","monarchy","no"
"switzerland","41285","$386100","$51107.52","7508700","formally a confederation but similar in structure to a federal republic","yes"
"taiwan(republic of china)","32260","$681800","$29600","22858872","multiparty democracy","yes (alternative service available"
"thailand","511770","$197700","$3038.35","64232760","constitutional monarchy","yes"
"tonga","718","$244","$2086.88","116921","constitutional monarchy","no"
"trinidad and tobago","5128","$14900","$14101.73","1056608","parliamentary democracy","no"
"turkey","780580","$635600","$9000","71158647","republican parliamentary democracy","yes"
"united kingdom","241590","$2346000","$38600.61","60776238","constitutional monarchy","no (except bermuda regiment )"
"united states","9161923","$13210000","$42137.52","296410400","federal republic","no"
