"nom du plan d'eau","superficie nette                        (kilom�tres carr�s)","superficie totale                        (kilom�tres carr�s)","altitude                        (m�tres)"
"nettilling                         lake","5063","5542","30"
"dubawnt                         lake","3629","3833","236"
"amadjuak                         lake","3058","3115","113"
"nueltin                         lake","2033","2279","278"
"baker                         lake","1783","1887","2"
"yathkyed                         lake","1334","1449","140"
"aberdeen                         lake","1095","1100","80"
"napaktulik                         lake","1030","1080","381"
"garry                         lake","916","976","148"
"contwoyto                         lake","933","957","564"
"ennadai                         lake","669","681","311"
"tulemalu                         lake","662","668","279"
"kamilukuak                         lake","631","638","266"
"kaminak                         lake","554","600","53"
"ferguson                         lake","562","588","11"
"tebesjuak                         lake","501","575","146"
"qamanirjuaq                         lake","548","549","92"
"lake hazen","537","542","158"
"princess                         mary lake","471","524","116"
"south                         henik lake","513","513","184"
"angikuni                         lake","437","510","257"
"hall lake","474","491","6"
"tehek                         lake","455","481","133"
"mallery                         lake","467","479","158"
"macalpine                         lake","421","447","176"
"bluenose                         lake","391","401","557"
