"{|scientific name}","{|common names (abridged)}","{|family}","{|habit}"
"abutilon indicum","english: abutilon indian abutilon indian mallow","malvaceae","shrub"
"abutilon theophrasti","english: abutilon-hemp butterprint buttonweed china-jute indian-mallow     tientsin-jute velvetleaf velvetweed","malvaceae","herb"
"acacia aulacocarpa","english: brown salwood brush ironbark wattle hickory wattle; other: &#257;kasia     (cook islands)","fabaceae","tree"
"acacia auriculiformis","english: papuan wattle auri earleaf acacia northern black wattle ear-pod     wattle; other: &#257;kasia (cook islands)","fabaceae","tree"
"acacia boliviana","english: bolivian wattle","fabaceae","shrub"
"acacia confusa","english: formosa koa formosa acacia","fabaceae","tree"
"acacia crassicarpa","english: northern wattle papua new guinea red wattle; other: &#257;kasia (cook     islands)","fabaceae","tree"
"acacia farnesiana","english: ellington curse klu sweet acacia; other: titima (cook islands);     kolu (hawai'i)","fabaceae","shrub"
"{acacia|glauca}","english: redwood","fabaceae","tree"
"acacia longifolia","english: sydney golden wattle golden wattle long-leaved wattle     long-leaved acacia sallow wattle coast wattle golden rods","fabaceae","tree"
"acacia mangium","english: mangium brown salwood black wattle hickory wattle; other: &#257;kasia     (cook islands)","fabaceae","tree"
"acacia mearnsii","english: black wattle; other: &#257;kasia (cook islands)","fabaceae","tree"
"acacia melanoxylon","english: australian blackwood blackwood acacia","fabaceae","tree"
"acacia nilotica","english: prickly acacia black thorn egyptian thorn nile acacia algaroba     babul gum arabic tree","fabaceae","tree"
"acacia sinuata","english: chikakai piquant sappan sappan soap pod","fabaceae","shrub"
"acalypha alopecuroides","english: foxtail copperleaf","euphorbiaceae","herb"
"acanthocereus tetragonus","english: barbed-wire cactus sword-pear triangle cactus","cactaceae","succulent"
"acmella uliginosa","&nbsp;","asteraceae","herb"
"adiantum raddianum","english: delta maidenhair fern","pteridaceae","fern"
"aeschynomene americana","&nbsp;","fabaceae","herb"
"aeschynomene indica","english: budda pea curly-indigo hard sola indian joint-vetch kat sola     northern joint-vetch sensitive jointed vetch sensitive vetch","fabaceae","herb"
"agave americana","english: american aloe century plant","agavaceae","succulent"
"agave sisalana","english: sisal sisal hemp; other: malina (hawai'i)","agavaceae","succulent"
"ageratina riparia","english: spreading mistflower creeping croftonweed river eupatorium;     other: hamakua pamakani (hawai�i)","asteraceae","herb"
"ailanthus altissima","english: tree of heaven varnishtree","simaroubaceae","tree"
"ajuga reptans","&nbsp;","lamiaceae","herb"
"albizia chinensis","english: chinese albizia silktree; other: �arapitia (cook islands);     tamaligi uliuli tamaligi ena�ena (samoa)","fabaceae","tree"
"albizia lebbeck","english: siris-tree rain tree east indian walnut kokko woman's-tongue     tree soros-tree raom tree; other: �arapitia (cook islands (miti�aro)); 'ohai     (hawai�i); tamaligi pa�epa�e (samoa); kasia (tonga)","fabaceae","tree"
"alstonia macrophylla","english: devil-tree","apocynaceae","tree"
"alternanthera caracasana","english: mat chaff flower","amaranthaceae","herb"
"alternanthera philoxeroides","english: alligator weed","amaranthaceae","herb"
"alternanthera pungens","english: khaki weed","amaranthaceae","herb"
"alternanthera sessilis","english: joyweed sessile joyweed; other: mata kura (cook islands (�atiu));     fisi�i�anoa (tonga)","amaranthaceae","herb"
"amaranthus cruentus","english: bush greens purple amaranth red amaranth red shank","amaranthaceae","herb"
"amaranthus dubius","english: amaranth spleen amaranth","amaranthaceae","herb"
"amaranthus hybridus","english: green amaranth green pigweed hybrid amaranth slim amaranth     smooth amaranth smooth pigweed","amaranthaceae","herb"
"amaranthus interruptus","english: amaranth","amaranthaceae","herb"
"amaranthus spinosus","english: edlebur needle burr spiny amaranth thorny pigweed; other: pakai     kuku (hawai�i)","amaranthaceae","herb"
"ammannia auriculata","&nbsp;","lythraceae","herb"
"anagallis arvensis","english: bird's-eye poor-man's weatherglass red chickweed scarlet     pimpernel shepherd's-weatherglass","primulaceae","herb"
"andropogon gayanus","english: gamba grass tambuki grass","poaceae","grass"
"andropogon glomeratus","english: bush beardgrass bushy bluestem","poaceae","grass"
"andropogon virginicus","english: broomsedge yellow bluestem whisky grass","poaceae","grass"
"araujia sericifera","english: moth plant moth catcher white bladder flower","ascelepiadaceae","vine"
"archontophoenix alexandrae","english: alexandra palm king palm","arecaceae","tree     (palm)"
"ardisia crenata","english: hen's eyes hilo holly coral berry australian holly     scratchthroat","myrsinaceae","shrub"
"ardisia elliptica","english: shoebutton ardisia; other: venevene tinit&#333; (cook islands); ati     popa�a atiu (french polynesia); togo vao (samoa)","myrsinaceae","shrub"
"argyreia nervosa","english: elephant creeper hawaiian baby woodrose  silver morning glory     woolly morning glory","convolvulaceae","vine"
"aristolochia odoratissima","english: duck swan","aristolochiaceae","herb"
"arthrostemma ciliatum","english: arthrostemma everblooming eavender","melastomataceae","herb"
"arundinaria graminea","&nbsp;","poaceae","grass"
"arundo donax","english: giant reed spanish reed wild cane; other: fiso palagi (samoa);     kaho folalahi (tonga)","poaceae","grass"
"asclepias curassavica","english: bastard ipecac blood flower bloodflower milkweed butterfly weed     false ipecac milkweed; other: tirika tiare moko (cook islands); laulele     lauhele nu�umela pua �anuhe (hawai�i); pepetoa vaomumu vao fualele     (samoa); lou pepe tu�ulapepe (tonga)","asclepiadaceae","herb"
"asparagus densiflorus","english: asparagus fern sprengeri fern smilax regal fern","liliaceae","herb"
"austroeupatorium inulaefolium","","asteraceae","herb"
