"year","player","#","team","rwar w/tm"
"1937","rogers hornsby","n/a","cardinals","88.3"
"1939","lou gehrig","4","yankees","118.4"
"NULL","NULL","NULL","NULL","NULL"
"year","player","#","team","rwar w/tm"
"1940","willard hershberger","5","reds","2.0"
"1944","carl hubbell","11","giants","64.4"
"1948","babe ruth","3","yankees","149.3"
"1949","mel ott","4","giants","109.3"
"NULL","NULL","NULL","NULL","NULL"
"year","player","#","team","rwar w/tm"
"1952","joe dimaggio","5","yankees","83.6"
"1956","honus wagner","33","pirates","134.5"
"1957","bob feller","19","indians","63.3"
"NULL","NULL","NULL","NULL","NULL"
"year","player","#","team","rwar w/tm"
"1962","robin roberts","36","phillies","82.7"
"1963","stan musial","6","cardinals","127.8"
"1965","warren spahn","21","braves","89.0"
"1965","jim umbricht","32","astros","3.4"
"1969","eddie mathews","41","braves","92.7"
"1969","mickey mantle","7","yankees","120.2"
"NULL","NULL","NULL","NULL","NULL"
"year","player","#","team","rwar w/tm"
"1970","lou boudreau","5","indians","54.6"
"1972","willie mays","24","giants","153.0"
"1972","frank robinson","20","orioles","35.1"
"1972","pie traynor","20","pirates","37.1"
"1972","sandy koufax","32","dodgers","48.7"
"1972","roy campanella","39","dodgers","36.2"
"1972","jackie robinson","42","dodgers","63.2"
"1972","yogi berra","8","yankees","61.9"
"1972","bill dickey","8","yankees","54.4"
"1973","roberto clemente","21","pirates","83.8"
"1973","gil hodges","14","mets","0.5"
"1974","harmon killebrew","3","twins","61.4"
"1974","whitey ford","16","yankees","56.8"
"1974","dizzy dean","17","cardinals","38.6"
"NULL","NULL","NULL","NULL","NULL"
"year","player","#","team","rwar w/tm"
"1975","bob gibson","45","cardinals","91.8"
"1975","juan marichal","27","giants","63.5"
"1975","willie mccovey","44","giants","60.6"
"1975","earl averill","3","indians","45.1"
"1975","luke appling","4","white sox","69.3"
"1975","don wilson","40","astros","29.0"
"1976","nellie fox","2","white sox","42.7"
"1976","hank aaron","44","brewers","0.4"
"1977","hank aaron","44","braves","141.6"
"1977","brooks robinson","5","orioles","69.1"
"1978","jim gilliam","19","dodgers","39.1"
"1979","richie ashburn","1","phillies","52.3"
"1979","thurman munson","15","yankees","43.4"
"1979","lou brock","20","cardinals","37.8"
"NULL","NULL","NULL","NULL","NULL"
"year","player","#","team","rwar w/tm"
"1980","duke snider","4","dodgers","66.5"
"1980","al kaline","6","tigers","91.0"
"1982","willie stargell","8","pirates","57.5"
"1982","ernie banks","14","cubs","64.4"
"1983","minnie mi&ntilde;oso","9","white sox","42.7"
"1983","ted lyons","16","white sox","62.9"
"1983","billy pierce","19","white sox","48.0"
"1983","charlie gehringer","2","tigers","80.9"
"1983","hank greenberg","5","tigers","53.7"
"1984","phil niekro","35","braves","86.7"
"1984","bill terry","3","giants","55.4"
"1984","ken boyer","14","cardinals","53.5"
"1984","joe cronin","4","red sox","26.9"
"1984","ted williams","9","red sox","125.3"
"1984","pee wee reese","1","dodgers","66.7"
"1984","don drysdale","53","dodgers","69.8"
"1984","roger maris","9","yankees","27.9"
"1984","elston howard","32","yankees","28.7"
"1984","johnny bench","5","reds","71.3"
"1984","luis aparicio","11","white sox","31.5"
"NULL","NULL","NULL","NULL","NULL"
"year","player","#","team","rwar w/tm"
"1985","jim palmer","22","orioles","63.1"
"1985","phil rizzuto","10","yankees","41.8"
"1986","billy martin","1","yankees","7.2"
"1987","ralph kiner","4","pirates","42.0"
"1987","bill mazeroski","9","pirates","26.9"
"1987","dick howser","10","royals","9.8"
"1987","rod carew","29","twins","62.7"
"1987","billy williams","26","cubs","55.2"
"1988","christy mathewson","n/a","giants","91.1"
"1988","bobby doerr","1","red sox","47.7"
"1988","tom seaver","41","mets","76.4"
"1989","steve garvey","6","padres","35.9"
"1989","steve carlton","32","phillies","66.1"
"1989","carl yastrzemski","8","red sox","88.7"
"1989","harold baines","3","white sox","23.3"
"NULL","NULL","NULL","NULL","NULL"
"year","player","#","team","rwar w/tm"
"1990","catfish hunter","27","athletics","26.8"
"1990","red schoendienst","2","cardinals","32.8"
"1990","mel harder","18","indians","38.3"
"1990","mike schmidt","20","phillies","108.3"
"1991","tony oliva","6","twins","42.4"
"1991","rod carew","29","angels","16.4"
"1992","nolan ryan","30","angels","41.0"
"1992","rollie fingers","34","brewers","7.7"
"1992","jos&eacute; cruz","25","astros","49.0"
"1992","mike scott","33","astros","21.3"
"1993","rollie fingers","34","athletics","11.0"
"1993","rusty staub","10","expos","18.3"
"1993","reggie jackson","44","yankees","16.9"
"1994","dale murphy","3","braves","45.7"
"1994","george brett","5","royals","85.0"
"1994","robin yount","19","brewers","76.9"
"1994","larry doby","14","indians","41.5"
"NULL","NULL","NULL","NULL","NULL"
"year","player","#","team","rwar w/tm"
"1995","frank white","20","royals","26.9"
"1995","kent hrbek","14","twins","35.3"
"1996","ozzie smith","1","cardinals","58.3"
"1996","enos slaughter","9","cardinals","48.8"
"1996","nolan ryan","34","rangers","13.8"
"1996","nolan ryan","34","astros","22.9"
"1997","andre dawson","10","expos","43.6"
"1997","randy jones","35","padres","19.6"
"1997","kirby puckett","34","twins","44.8"
"1997","hal newhouser","16","tigers","56.6"
"1997","don mattingly","23","yankees","39.8"
"1997","carlton fisk","72","white sox","29.6"
"1998","frank robinson","20","reds","61.5"
"1998","joe morgan","8","reds","61.3"
"1998","eddie murray","33","orioles","54.8"
"1998","bob lemon","21","indians","51.0"
"1998","ted kluszewski","18","reds","29.7"
"1998","jim fregosi","11","angels","44.1"
"1998","don sutton","20","dodgers","48.7"
"1999","paul molitor","4","brewers","60.6"
"1999","orlando cepeda","30","giants","28.9"
"NULL","NULL","NULL","NULL","NULL"
"year","player","#","team","rwar w/tm"
"2000","ty cobb","n/a","tigers","153.8"
"2000","wade boggs","12","rays","0.4"
"2000","tony perez","24","reds","43.8"
"2000","willie horton","23","tigers","25.0"
"2000","carlton fisk","27","red sox","37.7"
"2001","grover cleveland alexander","n/a","phillies","54.5"
"2001","chuck klein","n/a","phillies","30.9"
"2001","dave winfield","31","padres","30.4"
"2001","jim bunning","14","phillies","30.8"
"2001","cal ripken jr.","8","orioles","89.9"
"2002","larry dierker","49","astros","34.0"
"2002","tony gwynn","19","padres","68.4"
"2003","gary carter","8","expos","52.6"
"2003","ron guidry","49","yankees","44.4"
"2003","ron santo","10","cubs","68.5"
"2004","reggie jackson","9","athletics","49.2"
"2004","tim raines","30","expos","46.5"
"NULL","NULL","NULL","NULL","NULL"
"year","player","#","team","rwar w/tm"
"2005","jimmy wynn","24","astros","44.4"
"2005","gaylord perry","36","giants","36.8"
"2005","dennis eckersley","43","athletics","15.8"
"2005","ryne sandberg","23","cubs","62.1"
"2006","bruce sutter","42","cardinals","7.3"
"2007","paul waner","11","pirates","69.4"
"2007","dave concepci&oacute;n","13","reds","33.6"
"2007","jeff bagwell","5","astros","79.9"
"2008","craig biggio","7","astros","66.2"
"2008","johnny pesky","6","red sox","30.6"
"2009","greg maddux","31","cubs","31.7"
"2009","ferguson jenkins","31","cubs","53.7"
"2009","greg maddux","31","braves","61.7"
"2009","jim rice","14","red sox","41.5"
"2009","rickey henderson","24","athletics","75.3"
"2010","monte irvin","20","giants","18.1"
"2010","tom glavine","47","braves","58.9"
"NULL","NULL","NULL","NULL","NULL"
"year","player","#","team","rwar w/tm"
"2010","luis gonzalez","20","diamondbacks","25.6"
"2010","frank thomas","35","white sox","70.6"
"2011","bert blyleven","28","twins","44.8"
