"common name","scientific name","season"
"jefferson salamander","ambystoma jeffersonianum","all"
"spotted salamander","ambystoma maculatum","all"
"marbled salamander","ambystoma opacum","all"
"mole salamander","ambystoma talpoideum","all"
"smallmouth salamander","ambystoma texanum","all"
"tiger salamander","ambystoma tigrinum","all"
"streamside salamander","ambystoma barbouri","all"
"three-toed amphiuma","amphiuma tridactylum","all"
"hellbender","cryptobranchus alleganiensis","all"
"green salamander","aneides aeneus","all"
"dusky salamander","desmognathus fuscus","all"
"seal salamander","desmognathus monticola","all"
"allegheny mountain dusky salamander","desmognathus ochrophaeus","all"
"black mountain salamander","desmognathus welteri","all"
"longtail salamander","eurycea longicauda","all"
"cave salamander","eurycea lucifuga","all"
"southern two-lined salamander","eurycea cirrigera","all"
"three-lined salamander","eurycea guttolineata","all"
"spring salamander","gyrinophilus porphyriticus","all"
"four-toed salamander","hemidactylium scutatum","all"
"redback salamander","plethodon cinereus","all"
"northern zigzag salamander","plethodon dorsalis","all"
"slimy salamander","plethodon glutinosus","all"
"mississippi slimy salamander","plethodon mississippi","all"
"ravine salamander","plethodon richmondi","all"
"wehrle's salamander","plethodon wehrlei","all"
"cumberland plateau salamander","plethodon kentucki","all"
"mud salamander","pseudotriton montanus","all"
"red salamander","pseudotriton ruber","all"
"mudpuppy","necturus maculosus","all"
"eastern newt","notophthalmus viridescens","all"
"lesser siren","siren intermedia","all"
"american toad","bufo americanus","all"
"woodhouse's toad","bufo woodhousii","all"
"northern cricket frog","acris crepitans","all"
"bird-voiced treefrog","hyla avivoca","all"
"cope's gray treefrog","hyla chrysoscelis","all"
"green treefrog","hyla cinerea","all"
"barking treefrog","hyla gratiosa","all"
"gray treefrog","hyla versicolor","all"
"mountain chorus frog","pseudacris brachyphona","all"
"upland chorus frog","pseudacris feriarum","all"
"spring peeper","pseudacris crucifer","all"
"eastern narrowmouth toad","gastrophryne carolinensis","all"
"eastern spadefoot","scaphiopus holbrookii","all"
"crawfish frog","rana areolata","all"
"bullfrog","rana catesbeiana","all"
"green frog","rana clamitans","all"
"pickerel frog","rana palustris","all"
"northern leopard frog","rana pipiens","all"
"wood frog","rana sylvatica","all"
"southern leopard frog","rana sphenocephala","all"
"common loon","gavia immer","w"
"pied-billed grebe","podilymbus podiceps","b"
"pied-billed grebe","podilymbus podiceps","w"
"horned grebe","podiceps auritus","w"
"double-crested cormorant","phalacrocorax auritus","w"
"least bittern","ixobrychus exilis","b"
"great blue heron","ardea herodias","b"
"great blue heron","ardea herodias","w"
"great egret","ardea alba","b"
"little blue heron","egretta caerulea","b"
"cattle egret","bubulcus ibis","w"
"cattle egret","bubulcus ibis","b"
"green heron","butorides virescens","b"
"black-crowned night-heron","nycticorax nycticorax","b"
"yellow-crowned night-heron","nyctanassa violacea","b"
"tundra swan","cygnus columbianus","w"
"greater white-fronted goose","anser albifrons","w"
"snow goose","chen caerulescens","w"
"canada goose","branta canadensis","b"
"canada goose","branta canadensis","w"
"wood duck","aix sponsa","b"
"wood duck","aix sponsa","w"
"green-winged teal","anas crecca","w"
"american black duck","anas rubripes","w"
"mallard","anas platyrhynchos","b"
"mallard","anas platyrhynchos","w"
"northern pintail","anas acuta","w"
"blue-winged teal","anas discors","b"
"northern shoveler","anas clypeata","b"
"gadwall","anas strepera","w"
"american wigeon","anas americana","w"
"canvasback","aythya valisineria","w"
"redhead","aythya americana","w"
"ring-necked duck","aythya collaris","w"
"greater scaup","aythya marila","w"
"lesser scaup","aythya affinis","w"
"oldsquaw","clangula hyemalis","w"
"white-winged scoter","melanitta fusca","w"
"common goldeneye","bucephala clangula","w"
"bufflehead","bucephala albeola","w"
"hooded merganser","lophodytes cucullatus","b"
"hooded merganser","lophodytes cucullatus","w"
"common merganser","mergus merganser","w"
"red-breasted merganser","mergus serrator","w"
"ruddy duck","oxyura jamaicensis","w"
"black vulture","coragyps atratus","w"
"black vulture","coragyps atratus","b"
"turkey vulture","cathartes aura","b"
"turkey vulture","cathartes aura","w"
"osprey","pandion haliaetus","b"
"mississippi kite","ictinia mississippiensis","b"
"bald eagle","haliaeetus leucocephalus","w"
"bald eagle","haliaeetus leucocephalus","b"
"northern harrier","circus cyaneus","w"
"northern harrier","circus cyaneus","b"
"sharp-shinned hawk","accipiter striatus","b"
"sharp-shinned hawk","accipiter striatus","w"
"cooper's hawk","accipiter cooperii","b"
"cooper's hawk","accipiter cooperii","w"
"red-shouldered hawk","buteo lineatus","w"
"red-shouldered hawk","buteo lineatus","b"
"broad-winged hawk","buteo platypterus","b"
"red-tailed hawk","buteo jamaicensis","b"
"red-tailed hawk","buteo jamaicensis","w"
"rough-legged hawk","buteo lagopus","w"
"american kestrel","falco sparverius","w"
"american kestrel","falco sparverius","b"
"peregrine falcon","falco peregrinus","w"
"peregrine falcon","falco peregrinus","b"
"ruffed grouse","bonasa umbellus","b"
"ruffed grouse","bonasa umbellus","w"
"wild turkey","meleagris gallopavo","b"
"wild turkey","meleagris gallopavo","w"
"northern bobwhite","colinus virginianus","b"
"northern bobwhite","colinus virginianus","w"
"king rail","rallus elegans","b"
"common moorhen","gallinula chloropus","b"
"american coot","fulica americana","w"
"killdeer","charadrius vociferus","b"
"killdeer","charadrius vociferus","w"
"black-necked stilt","himantopus mexicanus","b"
"spotted sandpiper","actitis macularia","b"
