"number","fell name","height (m)","height (ft)","gps reference","guide","steve","justine","emily","sophie","diva"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"1","allen crags","785","2575","ny 23668 08529 ","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"2","angletarn pikes","567","1860","ny 41333 14830","NULL","NULL","&nbsp;","&nbsp;","&nbsp;","NULL"
"3","ard crags","581","1906","ny 20696 19766","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"4","armboth fell","479","1572","ny 29684 15965","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"5","arnison crag","433","1421","ny 39359 14968","the eastern fells","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"6","arthur's pike","532","1745","ny 46076 20677","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"7","bakestall","673","2208","ny 26647 30740","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"8","bannerdale crags","683","2241","ny 33616 29081","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"9","barf","468","1535","ny 21467 26740","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"10","barrow","455","1493","ny 22709 21822","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"11","base brown","646","2119","ny 22516 11461","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"12","beda fell","509","1670","ny 42895 17159","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"13","binsey","447","1467","ny 22513 35525","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"14","birkhouse moor","718","2356","ny 36344 15974","the eastern fells","NULL","&nbsp;","&nbsp;","&nbsp;","NULL"
"15","birks","622","2041","ny 38177 14486","the eastern fells","NULL","NULL","NULL","NULL","NULL"
"16","black fell","323","1060","ny 34023 01591","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"17","blake fell ","573","1880","ny 11043 19684","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"18","blea rigg","541","1775","ny 30165 07835","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"19","bleaberry fell","590","1936","ny 28565 19574","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"20","blencathra","868","2848","ny 32345 27712","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"21","bonscale pike","524","1719","ny 45348 20086","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"22","bowfell","902","2959","ny 24470 06443","NULL","NULL","NULL","NULL","NULL","NULL"
"23","bowscale fell","702","2303","ny 33343 30541","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"24","brae fell","586","1923","ny 28878 35159","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"25","brandreth","715","2346","ny 21489 11928","the western fells","NULL","NULL","NULL","NULL","NULL"
"26","branstree","713","2339","ny 47801 09975","NULL","NULL","&nbsp;","&nbsp;","&nbsp;","NULL"
"27","brim fell","796","2612","sd 27074 98556","NULL","NULL","NULL","NULL","NULL","NULL"
"28","brock crags","561","1841","ny 41665 13662","NULL","NULL","&nbsp;","&nbsp;","&nbsp;","NULL"
"29","broom fell ","511","1677","ny 19444 27190","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"30","buckbarrow","420","1378","ny 13572 06126","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"31","burnbank fell","475","1558","ny 10999 20950","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"32","calf crag","537","1762","ny 30162 10410","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"33","carl side","746","2448","ny 25497 28086","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"34","carrock fell","660","2165","ny 34176 33638","NULL","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"35","castle crag","290","951","ny 24934 15937","NULL","NULL","NULL","NULL","NULL","NULL"
"36","catbells","451","1480","ny 24406 19852","NULL","NULL","NULL","NULL","NULL","&nbsp;"
