"#","titel","system","reviews","durchschnitt"
"1","super mario bros. 3","nes","15","6"
"2","super smash bros.","nintendo 64","11","6"
"3","super smash bros. melee","nintendo gamecube","11","6"
"4","the legend of zelda: twilight princess","nintendo wii","11","6"
"5","new super mario bros. wii","nintendo wii","10","6"
"6","mafia","pc","10","6"
"7","the legend of zelda - link's awakening","gameboy","9","6"
"8","super smash bros. brawl","nintendo wii","8","6"
"9","the secret of monkey island","pc","7","6"
"10","worms armageddon","pc","7","6"
"11","the legend of zelda - a link to the past","super nes","7","6"
"12","the elder scrolls iii: morrowind","pc","6","6"
"13","golden sun","gameboy advance","6","6"
"14","the legend of zelda: a link to the past","gameboy advance","6","6"
"15","super mario galaxy 2","nintendo wii","6","6"
"16","wii fit","nintendo wii","5","6"
"17","paper mario 2","nintendo gamecube","5","6"
"18","donkey kong land 2","gameboy","5","6"
"19","crash team racing","sony playstation","5","6"
"20","fifa 09","sony playstation 2","5","6"
"21","pro evolution soccer 6","sony playstation 2","4","6"
"22","super mario all-stars + super mario world","super nes","4","6"
"23","final fantasy vii","sony playstation","4","6"
"24","command & conquer: der tiberiumkonflikt","pc","4","6"
"25","monkey island 2: lechuck's revenge","amiga","4","6"
"26","speedball ii: brutal deluxe","amiga","4","6"
"27","wario land 2","gameboy","4","6"
"28","banjo-tooie","nintendo 64","4","6"
"29","pok�mon stadium 2","nintendo 64","4","6"
"30","goldeneye 007","nintendo 64","4","6"
"31","mario party","nintendo 64","4","6"
"32","paper mario","nintendo 64","3","6"
"33","perfect dark","nintendo 64","3","6"
"34","anstoss 3","pc","3","6"
"35","conker's bad fur day","nintendo 64","3","6"
"36","street fighter ii","amiga","3","6"
"37","the secret of monkey island","amiga","3","6"
"38","lemmings","amiga","3","6"
"39","ms flight simulator 2004 das jahrhundert der luftfahrt","pc","3","6"
"40","resident evil 3: nemesis","sony playstation","3","6"
"41","beyond good & evil","sony playstation 2","3","6"
"42","die sims 2","sony playstation 2","3","6"
"43","crash bandicoot","sony playstation","3","6"
"44","tomb raider ii: starring lara croft","pc","3","6"
"45","fifa 07","xbox","3","6"
"46","monster hunter freedom","sony psp","3","6"
"47","call of duty: modern warfare 2","sony playstation 3","3","6"
"48","colin mcrae: dirt","sony playstation 3","3","6"
"49","grand theft auto iv","xbox 360","3","6"
"50","pro evolution soccer 4","sony playstation 2","3","6"
"51","soul calibur ii","sony playstation 2","3","6"
"52","spyro - a hero's tail","sony playstation 2","3","6"
"53","wrc 3","sony playstation 2","3","6"
"54","gran turismo 3 a-spec","sony playstation 2","3","6"
"55","super mario world","super nes","17","5.94"
"56","super mario all-stars","super nes","12","5.91"
"57","pok�mon - crystal edition","gameboy color","9","5.88"
"58","age of empires ii","pc","8","5.87"
"59","final fantasy x","sony playstation 2","8","5.87"
"60","tomb raider 7: legend","sony playstation 2","7","5.85"
