"country","currency","alphabetic code&nbsp;&nbsp;&nbsp;&nbsp;","numeric code&nbsp;&nbsp;&nbsp;&nbsp;","symbol&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","subdivision"
"afghanistan","afghani","afa","4","af","100 puls"
"albania","lek","all","8","l","100 qindarka (qintars)"
"algeria","algerian dinar","dzd","12","da","100 centimes"
"american samoa","us dollar","usd","840","$","100 cents"
"andorra","euro","eur","978","&euro;","100 euro-cents"
"angola","new kwanza","aon","24","kz","100 lwei"
"anguilla","east caribbean dollar","xcd","951","ec$","100 cents"
"antarctica","no universal currency","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"antigua and barbuda","east caribbean dollar","xcd","951","ec$","100 cents"
"argentina","argentine peso","ars","32","$","100 centavos"
"armenia","armenian dram","amd","51","&nbsp;","100 luma"
"aruba","aruban guilder","awg","533","af.","100 cents"
"australia","australian dollar","aud","36","a$","100 cents"
"austria","euro","eur","978","&euro;","100 euro-cents"
"azerbaijan","azerbaijanian manat","azm","31","&nbsp;","100 gopik"
"bahamas","bahamian dollar","bsd","44","b$","100 cents"
"bahrain","bahraini dinar","bhd","48","bd","1000 fils"
"bangladesh","taka","bdt","50","tk","100 paisa (poisha)"
"barbados","barbados dollar","bbd","52","bds$","100 cents"
"belarus","belarussian ruble","byr","974","br","&nbsp;"
"belgium","euro","eur","978","&euro;","100 euro-cents"
"belize","belize dollar","bzd","84","bz$","100 cents"
"benin","cfa franc bceao","xof","952","cfaf","100 centimes"
"bermuda","bermudian dollar","bmd","60","bd$","100 cents"
"bhutan","ngultrum","btn","64","nu","100 chetrum"
"bhutan (other)","indian rupee","inr","356","rs","100 paise"
"bosnia and herzegovina","convertible marks","bam","977","km","100 fennig"
"botswana","pula","bwp","72","p","100 thebe"
"bouvet island","norwegian krone","nok","578","nkr","100 &oslash;re"
"brazil","brazilian real","brl","986","r$","100 centavos"
"british indian ocean territory","pound sterling","gbp","826","&pound;","100 pence"
"british indian ocean territory (other)","us dollar","usd","840","$","100 cents"
"brunei darussalam","brunei dollar","bnd","96","b$","100 sen (a.k.a. 100 cents)"
"bulgaria","lev","bgl","100","lv","100 stotinki"
"burkina faso","cfa franc bceao","xof","952","cfaf","100 centimes"
"burundi","burundi franc","bif","108","fbu","100 centimes"
