"name","reign","full name","family","spouse"
"arcadius","395-408","&nbsp;","son of theodosius the great","&nbsp;"
"theodosius ii","408-50","&nbsp;","son of arcadius","eudoxia"
"marcian","450-7","&nbsp;","&nbsp;","&nbsp;"
"leo i","457-74","&nbsp;","&nbsp;","&nbsp;"
"leo ii","474","&nbsp;","grandson of leo ii son of zeno + ariadne","&nbsp;"
"zeno","474-491","&nbsp;","father of leo ii","ariadne dau leo i"
"anastasius","491-518","&nbsp;","&nbsp;","&nbsp;"
"glycerinus","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"justin i","518-27","&nbsp;","&nbsp;","&nbsp;"
"justinian i","527-65","flavius petrus sabbatius justinianus","nephew of justin","theodora"
"justin ii","-578","&nbsp;","nephew of justinian ii","sophia neice of theodora"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"maurice","-602","&nbsp;","&nbsp;","&nbsp;"
"phocas","602-10","&nbsp;","&nbsp;","&nbsp;"
"heraclius","610-41","&nbsp;","&nbsp;","&nbsp;"
"constantine iii","-641","&nbsp;","&nbsp;","&nbsp;"
"constans ii","641-88","&nbsp;","son of constantine iii","&nbsp;"
"constantine iv","c 673","&nbsp;","&nbsp;","&nbsp;"
"justinian ii","685-695 dep","&nbsp;","&nbsp;","&nbsp;"
"leontius","695","&nbsp;","deposed justinian ii","&nbsp;"
"tiberius ii","697/8","&nbsp;","deposed leontius","&nbsp;"
"justinian ii restored","704/5-11","&nbsp;","&nbsp;","theodora (a khazar)"
"philippicus (bardan)","711-3","&nbsp;","killed justinian ii","&nbsp;"
"anastasius ii","713-6","&nbsp;","&nbsp;","&nbsp;"
"theodosius ii","716-7 abd","&nbsp;","&nbsp;","&nbsp;"
"leo iii the isaurian","717-","&nbsp;","&nbsp;","&nbsp;"
"constantine v copronymus","720-75 co-emp","&nbsp;","&nbsp;","&nbsp;"
"leo iv","775-","&nbsp;","son of constantine v","irene"
"constantine vi","780-97dep","&nbsp;","son of leo iv + irene","&nbsp;"
"irene","797","&nbsp;","deposed constantine vi","&nbsp;"
"nicephorus i","802-11","&nbsp;","&nbsp;","&nbsp;"
"michael i rangabe","811-13","&nbsp;","&nbsp;","&nbsp;"
"leo v the armenian","813-20","&nbsp;","&nbsp;","&nbsp;"
"michael ii","820-9","&nbsp;","&nbsp;","&nbsp;"
"theophilus","829-42","&nbsp;","son of michael ii","theodora"
"michael iii","842-67","&nbsp;","&nbsp;","&nbsp;"
