"lake","location","basin countries","residence time"
"klingnauer stausee","aargau","switzerland","000000.0000.13 days"
"lake hévíz","hévíz","hungary","000000.00328 hours"
"stausee ferden","ferden valais","switzerland","000000.00436 hours"
"lake wohlen / wohlensee","canton of berne","switzerland","000000.0062.1 days"
"lake st. clair","great lakes","canada united states","000000.0197 days (2-30 days)"
"lake arapuni","north island","new zealand","000000.0191 week"
"milton pond","strafford county new hampshire; york county maine","united states","000000.03011.1 days"
"gibson lake","gibson generating station montgomery township indiana","united states","000000.0382 weeks"
"råcksta träsk","NULL","sweden","000000.0482-3 weeks"
"lake sagami","kanagawa","japan","000000.0500.05 year"
"lake cristallina","ticino","switzerland","000000.0582-4 weeks"
"northeast pond","strafford county new hampshire; york county maine","united states","000000.06523.7 days"
"brandy pond","naples maine","united states","000000.09334 days"
"champagne pool","waiotapu north island","new zealand","000000.09334 days"
"prospect reservoir","prospect new south wales","australia","000000.09730-40 days"
"sicklasjön","NULL","sweden","000000.1000.1 year"
"devils lake","lincoln county oregon","united states","000000.1500.15 years"
"lough derg","NULL","ireland","000000.1500.15 years"
"derwent water","lake district","united kingdom","000000.15155 days"
"lake biel / bielersee / lac de bienne","canton of berne","switzerland","000000.15958 days"
"veluwemeer","NULL","netherlands","000000.1672 months"
"hacksjön","NULL","sweden","000000.2000.2 years"
"kamloops lake","british columbia","canada","000000.200ca. 0.2 years (20-340 days)"
"malham tarn","yorkshire dales england","united kingdom","000000.21211 weeks"
"lac d'anterne","passy haute-savoie","france","000000.24790 days"
"graham lake","hancock county maine","united states","000000.2503 months"
"grand lac de clairvaux","jura department franche-comté","france","000000.2503 months"
"laduviken","NULL","sweden","000000.2503 months"
"esthwaite water","lake district cumbria","united kingdom","000000.2600.26 years"
"trehörningen","huddinge southern stockholm county","sweden","000000.2700.27 years"
"lac de divonne","divonne-les-bains ain","france","000000.274100 days"
"lake lesina / lago di lesina","province of foggia puglia","italy","000000.274100 days"
"seeweidsee","canton of zurich","switzerland","000000.274100 days"
"hüttnersee","hütten canton of zurich","switzerland","000000.329120 days"
"lake lauerz / lauerzersee","canton of schwyz","switzerland","000000.3380.3378 years"
"morris lake","halifax regional municipality nova scotia","canada","000000.3454.1 months"
"sobradinho","NULL","brazil","000000.3500.35 years"
"stump pond /balch pond","carroll county new hampshire; york county maine","united states","000000.373136 days"
"magelungen","NULL","sweden","000000.3754-5 months"
"russell lake","halifax regional municipality nova scotia","canada","000000.3834.6 months"
"loweswater","lake district cumbria","united kingdom","000000.411150 days"
"lappkärret","NULL","sweden","000000.4175 months"
"lough feeagh","county mayo","ireland","000000.4700.47 year"
"egelsee","bubikon canton of zurich","switzerland","000000.493180 days"
"lac de vouglans","NULL","france","000000.493180 days"
"mettmenhaslisee","canton of zurich","switzerland","000000.493180 days"
"albysjön","NULL","sweden","000000.5000.5 year"
"chesuncook lake","piscataquis county maine","united states","000000.5006 months"
"clinton lake","dewitt county illinois","united states","000000.5006 months"
"flagstaff lake","somerset county and franklin county maine","united states","000000.5006 months"
"lake coeur d'alene","northern idaho","united states","000000.5000.5 years"
"lac de saint-point","doubs department franche-comté","france","000000.548200 days"
"kyrksjön","NULL","sweden","000000.5837 months"
"newnan's lake","gainesville florida","united states","000000.6000.6 years"
"staples pond","temple maine","united states","000000.6838.2 months"
"lac cornu","chamonix-mont-blanc haute-savoie","france","000000.685250 days"
"lac du brévent","chamonix haute-savoie","france","000000.685250 days"
"lake silvaplana / silvaplanersee / lej da silvaplauna","engadin grisons","switzerland","000000.685250 days"
"loch awe","argyll and bute scotland","united kingdom","000000.7000.7 year"
"långsjön","NULL","sweden","000000.7929-10 months"
"lake sarnen / sarnersee","obwalden","switzerland","000000.8000.8 years"
"lake lovozero","kola peninsula murmansk oblast","russia","000000.83310 months"
"drevviken","NULL","sweden","000000.87510-11 months"
"mörtsjön","NULL","sweden","000000.900&lt; 1 year"
"judarn","bromma stockholm","sweden","000000.91711 months"
"coniston water","lake district cumbria","united kingdom","000000.932340 days"
"ullswater","lake district england","united kingdom","000000.959350 days"
"khanka lake","heilongjiang province china and primorsky krai russia","china russia","0000001.0001 year"
"lake monona","dane county wisconsin","united states","0000001.1001.1 years"
"long lake","maine","united states","0000001.1001.1 years"
"mooselookmeguntic lake","franklin county maine","united states","0000001.1001.1 years"
"greifensee","canton of zurich","switzerland","0000001.118408 days"
"nainital lake","uttarakhand","india","0000001.1601.16 years"
"manasbal lake","kashmir valley","india","0000001.2001.2 years"
"lake zurich / zürichsee","NULL","switzerland","0000001.205440 days"
"tegernsee","bavaria","germany","0000001.2801.28 years"
"deer creek reservoir","utah","united states","0000001.3001.3 year"
"orlången","NULL","sweden","0000001.3301.33 years"
"haweswater reservoir","lake district cumbria","united kingdom","0000001.370500 days"
"loch shiel","lochaber highland scotland","united kingdom","0000001.3701.37 year"
"lake walen /walensee / lake walenstadt","st. gallen glarus","switzerland","0000001.4261.4258 years"
"keoka lake","maine","united states","0000001.5001.5 years"
"lake murten /lac de morat /murtensee","canton of fribourg/vaud","switzerland","0000001.6001.6 years"
"oeschinen lake","bernese oberland","switzerland","0000001.6101.61 years"
"lac de lessy","haute-savoie","france","0000001.644600 days"
"east grand lake","maine / new brunswick","canada united states","0000001.7001.7 years"
"lake ikeda","kyūshū island","japan","0000001.7001.7 years"
"faaker see","carinthia","austria","0000001.8001.8 years"
"ossiacher see / lake ossiach","carinthia","austria","0000001.8001.8 years"
"varese lake/lago di varese","province of varese lombardy","italy","0000001.8001.8 years"
"long lost lake","clearwater county minnesota","united states","0000001.8001.8 years"
"ältasjön","NULL","sweden","0000001.8001.8 years"
"lake thun / thunersee","canton of berne","switzerland","0000001.874684 days"
"green lake","maine","united states","0000001.9001.9 years"
"gömmaren","NULL","sweden","0000001.9001.9 yrs"
"loch lomond","dunbartonshire central scotland","scotland united kingdom","0000001.9001.9 years"
"lake balaton","hungary","hungary","0000002.0002 years"
"lake rotoroa","hamilton waikato north island","new zealand","0000002.000approx. 2 years"
"lake tutira","hawke's bay north island","new zealand","0000002.0002 years"
"türlersee","canton of zurich","switzerland","0000002.000730 days"
"pfäffikersee","canton of zurich","switzerland","0000002.0852.085 years"
"caniapiscau reservoir","quebec","canada","0000002.2002.2 years"
"lake sils / silsersee /lej da segl","engadin grisons","switzerland","0000002.2002.2 years"
"wilersee","canton of zug","switzerland","0000002.2002.2 years"
"great pond","maine","united states","0000002.3002.3 years"
"moberly lake","british columbia","canada","0000002.4002.4 years"
"päijänne","NULL","finland","0000002.5002.5 years"
"lake erie","north america","canada united states","0000002.6002.6 years"
"rangeley lake","franklin county maine","united states","0000002.6002.6 years"
"lake brienz / brienzersee","canton of berne","switzerland","0000002.6902.69 years"
"ammersee / lake ammer","upper bavaria","germany","0000002.7002.7 years"
"großer plöner see","schleswig-holstein","germany","0000003.0003 years"
"paudash lake","haliburton county ontario","canada","0000003.0003 years"
"moosehead lake","maine","united states","0000003.1003.1 years"
"trekanten","NULL","sweden","0000003.1003.1 years"
"great east lake","carroll county new hampshire; york county maine","united states","0000003.3003.3 years"
"lake champlain","north america","canada united states","0000003.3003.3 years"
"flathead lake","montana","united states","0000003.4003.4 years"
"lake lucerne /vierwaldstättersee","central switzerland","switzerland","0000003.4003.4 years"
"lake winnipeg","manitoba canada","canada united states","0000003.5003.5 years"
"lac de paladru","isère","france","0000003.6003.6 years"
"lake hallwil / hallwilersee","aargau","switzerland","0000003.9003.9 years"
"flaten","southern stockholm","sweden","0000004.0004 years"
"lake annecy / lac d'annecy","haute-savoie","france","0000004.0004 years"
"lake maggiore / verbano / lago maggiore","lombardy and piedmont italy; canton ticino switzerland","italy switzerland","0000004.0004 years"
"todos los santos lake","NULL","chile","0000004.0004 years"
